sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,156.109,0.404,4.950,0.403,0.116,0.729,0.404,0.833
1,154.665,0.092,4.950,-0.125,-0.053,-0.715,0.092,0.721
2,156.916,0.434,4.950,0.699,0.133,1.536,0.434,1.596
3,155.370,0.450,5.000,-0.212,0.138,-0.011,0.450,0.450
4,154.996,-0.954,5.000,-0.345,-0.609,-0.384,-0.954,1.028
5,155.199,1.479,5.000,-0.272,0.686,-0.181,1.479,1.490
6,155.139,1.516,5.000,-0.293,0.705,-0.241,1.516,1.535
7,154.893,-0.083,4.950,-0.042,-0.149,-0.488,-0.083,0.495
8,155.354,0.068,4.950,0.126,-0.067,-0.026,0.068,0.073
9,155.935,0.586,4.950,0.339,0.215,0.555,0.586,0.807
10,155.178,0.174,4.950,0.062,-0.009,-0.202,0.174,0.267
11,156.276,-0.080,4.950,0.464,-0.148,0.896,-0.080,0.899
12,154.816,-0.327,4.950,-0.070,-0.281,-0.564,-0.327,0.652
13,154.529,0.506,4.950,-0.175,0.171,-0.852,0.506,0.991
14,155.319,0.175,5.000,-0.230,-0.008,-0.061,0.175,0.186
15,155.655,0.494,4.950,0.237,0.165,0.275,0.494,0.565
16,156.221,0.512,4.950,0.444,0.175,0.841,0.512,0.984
17,155.197,0.622,4.950,0.069,0.234,-0.183,0.622,0.649
18,154.754,0.576,5.000,-0.433,0.205,-0.627,0.576,0.851
19,155.791,-0.695,4.950,0.287,-0.482,0.411,-0.695,0.807
20,154.982,1.210,4.950,-0.009,0.553,-0.398,1.210,1.274
21,155.961,-0.132,4.950,0.349,-0.176,0.580,-0.132,0.595
22,156.103,-0.107,4.950,0.401,-0.162,0.723,-0.107,0.731
23,155.033,0.585,4.950,0.009,0.214,-0.348,0.585,0.680
24,155.172,-0.157,4.950,0.060,-0.189,-0.208,-0.157,0.260
25,157.111,-0.254,4.950,0.771,-0.243,1.730,-0.254,1.749
26,154.997,-0.121,4.950,-0.004,-0.169,-0.383,-0.121,0.402
27,156.400,0.712,4.950,0.510,0.284,1.020,0.712,1.244
28,155.133,0.641,4.950,0.046,0.244,-0.247,0.641,0.687
29,154.820,-0.171,5.000,-0.409,-0.193,-0.560,-0.171,0.586
# CEP,0.721,P95,1.535,L_pat,1.210,W_pat,1.210
