sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,155.275,0.169,5.000,-0.380,0.090,-0.105,0.169,0.199
1,155.848,-0.866,4.950,0.172,-0.471,0.467,-0.866,0.985
2,155.549,0.296,4.950,0.062,0.161,0.169,0.296,0.341
3,155.345,-0.843,4.950,-0.012,-0.458,-0.035,-0.843,0.844
4,154.576,-1.051,5.000,-0.629,-0.557,-0.804,-1.051,1.323
5,155.656,-0.135,5.000,-0.243,-0.072,0.275,-0.135,0.307
6,155.277,0.125,4.950,-0.038,0.068,-0.103,0.125,0.162
7,155.669,-0.530,4.950,0.106,-0.288,0.289,-0.530,0.603
8,154.921,-0.027,4.950,-0.168,-0.015,-0.460,-0.027,0.460
9,156.129,-0.270,4.950,0.274,-0.147,0.749,-0.270,0.796
10,156.618,0.309,4.950,0.453,0.169,1.237,0.309,1.275
11,155.404,-0.231,4.950,0.009,-0.125,0.023,-0.231,0.232
12,155.145,-0.293,4.950,-0.086,-0.159,-0.236,-0.293,0.376
13,155.838,1.207,4.950,0.169,0.656,0.458,1.207,1.291
14,155.674,-0.074,4.950,0.107,-0.040,0.294,-0.074,0.303
15,156.058,0.324,4.950,0.248,0.176,0.678,0.324,0.751
16,156.004,0.797,4.950,0.229,0.434,0.624,0.797,1.012
17,155.897,0.236,4.950,0.189,0.128,0.516,0.236,0.568
18,154.991,-0.536,4.950,-0.142,-0.291,-0.389,-0.536,0.663
19,155.010,-0.372,4.950,-0.135,-0.202,-0.371,-0.372,0.525
20,156.314,-0.602,4.950,0.342,-0.328,0.934,-0.602,1.111
21,155.179,0.277,5.000,-0.414,0.147,-0.201,0.277,0.343
22,155.593,-0.412,5.000,-0.265,-0.219,0.213,-0.412,0.464
23,156.822,-0.151,4.950,0.528,-0.082,1.442,-0.151,1.450
24,155.694,-1.132,5.000,-0.228,-0.603,0.314,-1.132,1.175
25,154.247,0.467,5.000,-0.748,0.248,-1.133,0.467,1.226
26,155.479,0.379,5.000,-0.306,0.202,0.099,0.379,0.391
27,154.863,-0.489,4.950,-0.189,-0.265,-0.518,-0.489,0.712
28,155.166,0.670,4.950,-0.078,0.363,-0.214,0.670,0.703
29,156.229,0.347,4.950,0.311,0.189,0.849,0.347,0.917
# CEP,0.663,P95,1.291,L_pat,0.995,W_pat,1.051
