sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,156.169,-0.634,4.950,0.379,-0.255,0.789,-0.634,1.012
1,155.316,-1.357,4.950,0.067,-0.647,-0.065,-1.357,1.358
2,155.061,0.618,4.950,-0.026,0.426,-0.319,0.618,0.696
3,156.508,-0.793,4.950,0.503,-0.342,1.127,-0.793,1.378
4,154.686,-0.315,4.950,-0.164,-0.081,-0.694,-0.315,0.762
5,153.818,0.788,5.000,-0.813,0.505,-1.562,0.788,1.749
6,155.708,0.126,4.950,0.210,0.159,0.328,0.126,0.351
7,155.987,-0.352,4.950,0.312,-0.101,0.607,-0.352,0.701
8,155.319,0.300,4.950,0.067,0.253,-0.062,0.300,0.307
9,155.758,-0.437,4.950,0.228,-0.147,0.377,-0.437,0.577
10,155.033,0.184,5.000,-0.379,0.186,-0.347,0.184,0.393
11,155.461,-0.770,4.950,0.119,-0.328,0.081,-0.770,0.774
12,156.067,0.186,4.950,0.341,0.192,0.687,0.186,0.712
13,155.492,-0.112,4.950,0.130,0.029,0.112,-0.112,0.158
14,155.595,0.624,4.950,0.169,0.429,0.215,0.624,0.660
15,154.871,0.663,4.950,-0.096,0.449,-0.509,0.663,0.836
16,155.348,0.071,4.950,0.078,0.128,-0.033,0.071,0.078
17,156.403,-0.040,4.950,0.464,0.069,1.022,-0.040,1.023
18,155.501,-0.467,4.950,0.134,-0.164,0.120,-0.467,0.482
19,155.145,-0.077,4.950,0.004,0.048,-0.235,-0.077,0.247
20,154.708,-0.536,4.950,-0.156,-0.200,-0.672,-0.536,0.859
21,155.906,0.437,4.950,0.282,0.328,0.526,0.437,0.684
22,155.350,-0.526,5.000,-0.265,-0.192,-0.030,-0.526,0.527
23,155.804,0.479,4.950,0.245,0.351,0.423,0.479,0.640
24,155.251,-0.372,5.000,-0.300,-0.110,-0.129,-0.372,0.393
25,156.094,0.923,4.950,0.352,0.593,0.714,0.923,1.167
26,155.953,-0.805,4.950,0.300,-0.348,0.572,-0.805,0.988
27,156.215,-0.184,4.950,0.395,-0.010,0.834,-0.184,0.854
28,154.906,0.062,4.950,-0.084,0.124,-0.474,0.062,0.478
29,155.298,-0.593,5.000,-0.283,-0.227,-0.082,-0.593,0.599
# CEP,0.684,P95,1.358,L_pat,0.954,W_pat,0.805
