sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,154.136,-0.403,4.950,-0.156,0.081,-1.244,-0.403,1.308
1,154.828,-1.242,4.950,0.097,-0.375,-0.552,-1.242,1.359
2,154.419,-1.663,4.950,-0.051,-0.602,-0.961,-1.663,1.921
3,154.842,-1.306,5.000,-0.241,-0.401,-0.538,-1.306,1.412
4,155.023,-0.793,4.950,0.168,-0.131,-0.357,-0.793,0.870
5,155.132,0.128,4.950,0.209,0.370,-0.248,0.128,0.279
6,154.020,-0.100,4.950,-0.198,0.245,-1.360,-0.100,1.364
7,154.461,-1.302,4.950,-0.037,-0.406,-0.920,-1.302,1.594
8,154.710,-0.949,5.000,-0.289,-0.211,-0.670,-0.949,1.162
9,154.523,-0.848,4.950,-0.015,-0.160,-0.857,-0.848,1.206
10,155.713,-0.728,4.950,0.421,-0.095,0.333,-0.728,0.800
11,155.289,-1.197,4.950,0.266,-0.351,-0.091,-1.197,1.201
12,154.721,-1.591,4.950,0.059,-0.564,-0.659,-1.591,1.722
13,155.922,-1.643,4.950,0.499,-0.595,0.542,-1.643,1.730
14,154.343,-0.135,4.950,-0.080,0.227,-1.037,-0.135,1.045
15,155.010,-1.084,4.950,0.164,-0.289,-0.370,-1.084,1.146
16,154.495,0.486,4.950,-0.024,0.563,-0.886,0.486,1.010
17,154.900,-0.151,5.000,-0.221,0.214,-0.481,-0.151,0.504
18,154.651,-1.343,4.950,0.033,-0.429,-0.729,-1.343,1.528
19,155.211,0.005,4.950,0.237,0.303,-0.170,0.005,0.170
20,154.442,0.129,4.950,-0.044,0.370,-0.938,0.129,0.947
21,154.854,0.038,4.950,0.107,0.321,-0.526,0.038,0.527
22,154.286,-0.586,5.000,-0.441,-0.018,-1.094,-0.586,1.242
23,156.444,0.045,4.950,0.690,0.327,1.064,0.045,1.065
24,155.720,-0.175,4.950,0.424,0.206,0.340,-0.175,0.383
25,154.784,-0.120,5.000,-0.262,0.230,-0.596,-0.120,0.608
26,154.689,0.018,5.000,-0.296,0.304,-0.691,0.018,0.692
27,154.681,-0.491,4.950,0.043,0.033,-0.699,-0.491,0.854
28,154.012,-0.526,4.950,-0.201,0.015,-1.368,-0.526,1.466
29,154.240,-0.834,4.950,-0.118,-0.152,-1.140,-0.834,1.413
# CEP,1.146,P95,1.722,L_pat,0.789,W_pat,1.591
