sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,153.667,-1.297,4.950,0.213,-0.217,-1.713,-1.297,2.149
1,152.863,-0.459,4.950,-0.080,0.239,-2.517,-0.459,2.558
2,153.009,-0.180,5.000,-0.368,0.382,-2.371,-0.180,2.378
3,152.976,0.096,5.000,-0.380,0.529,-2.405,0.096,2.407
4,152.805,0.001,4.950,-0.101,0.488,-2.575,0.001,2.575
5,152.532,-0.692,4.950,-0.201,0.112,-2.848,-0.692,2.931
6,153.392,-1.112,5.000,-0.231,-0.114,-1.989,-1.112,2.279
7,153.282,-2.048,5.000,-0.270,-0.612,-2.099,-2.048,2.932
8,154.168,-1.604,4.950,0.397,-0.384,-1.212,-1.604,2.011
9,153.691,-1.149,4.950,0.222,-0.136,-1.689,-1.149,2.043
10,153.233,-1.642,4.950,0.055,-0.403,-2.148,-1.642,2.703
11,152.921,-1.019,5.000,-0.401,-0.064,-2.460,-1.019,2.662
12,153.432,-1.241,4.950,0.127,-0.186,-1.948,-1.241,2.310
13,152.985,-0.970,4.950,-0.036,-0.038,-2.395,-0.970,2.584
14,153.456,-1.940,5.000,-0.207,-0.555,-1.924,-1.940,2.732
15,153.583,0.621,4.950,0.185,0.827,-1.797,0.621,1.902
16,154.775,-0.291,4.950,0.620,0.332,-0.605,-0.291,0.671
17,153.140,-1.221,4.950,0.021,-0.175,-2.240,-1.221,2.551
18,154.230,-2.642,4.950,0.423,-0.950,-1.150,-2.642,2.881
19,153.980,-0.775,4.950,0.328,0.068,-1.400,-0.775,1.600
20,151.771,-0.642,5.000,-0.812,0.136,-3.609,-0.642,3.666
21,153.013,-0.700,4.950,-0.026,0.108,-2.367,-0.700,2.469
22,152.638,-0.514,4.950,-0.163,0.209,-2.742,-0.514,2.790
23,153.173,-1.781,5.000,-0.309,-0.469,-2.207,-1.781,2.836
24,153.476,-1.015,4.950,0.144,-0.063,-1.904,-1.015,2.157
25,152.973,-0.958,4.950,-0.040,-0.032,-2.407,-0.958,2.590
26,154.250,-1.371,4.950,0.427,-0.257,-1.130,-1.371,1.777
27,153.915,0.142,4.950,0.305,0.567,-1.465,0.142,1.472
28,152.654,-1.442,4.950,-0.157,-0.294,-2.727,-1.442,3.084
29,153.357,-1.320,4.950,0.100,-0.229,-2.024,-1.320,2.416
# CEP,2.469,P95,2.932,L_pat,0.828,W_pat,1.940
