sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,155.116,0.975,4.950,-0.095,0.529,-0.264,0.975,1.010
1,154.950,0.405,4.950,-0.157,0.220,-0.430,0.405,0.591
2,155.189,-0.458,4.950,-0.070,-0.248,-0.191,-0.458,0.496
3,156.052,-1.253,4.950,0.247,-0.682,0.672,-1.253,1.422
4,155.538,0.813,5.000,-0.285,0.433,0.158,0.813,0.828
5,155.355,-0.809,4.950,-0.009,-0.439,-0.025,-0.809,0.809
6,156.334,-0.404,4.950,0.349,-0.220,0.954,-0.404,1.036
7,154.933,1.293,4.950,-0.162,0.701,-0.447,1.293,1.368
8,155.912,-0.106,4.950,0.194,-0.058,0.532,-0.106,0.542
9,156.172,0.228,4.950,0.290,0.124,0.792,0.228,0.824
10,155.318,0.778,4.950,-0.022,0.422,-0.063,0.778,0.781
11,155.100,0.400,4.950,-0.102,0.217,-0.280,0.400,0.488
12,155.586,0.084,5.000,-0.268,0.045,0.205,0.084,0.222
13,154.956,0.039,5.000,-0.494,0.021,-0.424,0.039,0.426
14,154.696,-0.085,5.000,-0.587,-0.045,-0.684,-0.085,0.689
15,155.873,0.209,4.950,0.180,0.113,0.492,0.209,0.535
16,155.763,-0.615,4.950,0.140,-0.334,0.383,-0.615,0.724
17,156.770,-0.095,4.950,0.509,-0.052,1.390,-0.095,1.393
18,155.734,0.059,4.950,0.130,0.032,0.354,0.059,0.359
19,154.575,-0.029,5.000,-0.631,-0.016,-0.805,-0.029,0.806
20,156.163,0.602,4.950,0.287,0.328,0.783,0.602,0.988
21,154.834,0.056,4.950,-0.200,0.030,-0.546,0.056,0.549
22,156.062,-0.089,4.950,0.250,-0.048,0.682,-0.089,0.688
23,155.119,0.232,4.950,-0.095,0.126,-0.261,0.232,0.349
24,155.921,1.614,4.950,0.200,0.878,0.541,1.614,1.702
25,157.215,0.658,4.950,0.673,0.359,1.835,0.658,1.949
26,155.314,-0.240,5.000,-0.366,-0.128,-0.066,-0.240,0.249
27,156.056,-0.328,4.950,0.247,-0.179,0.675,-0.328,0.751
28,156.402,-0.348,4.950,0.374,-0.190,1.022,-0.348,1.080
29,156.037,-0.421,4.950,0.241,-0.229,0.657,-0.421,0.780
# CEP,0.751,P95,1.422,L_pat,1.106,W_pat,1.253
