sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,159.831,-1.108,4.950,1.706,4.465,4.450,-1.108,4.586
1,151.434,0.901,5.000,-1.663,5.301,-3.947,0.901,4.048
2,155.562,2.599,5.000,-0.150,6.272,0.181,2.599,2.605
3,156.343,1.614,5.000,0.112,5.767,0.963,1.614,1.879
4,156.775,-0.348,4.950,0.588,4.828,1.395,-0.348,1.438
5,147.717,3.665,5.000,-2.928,6.664,-7.664,3.665,8.495
6,156.544,-1.285,4.950,0.487,4.316,1.164,-1.285,1.734
7,159.779,2.283,4.950,1.754,6.322,4.399,2.283,4.956
8,153.306,3.823,5.000,-0.935,6.867,-2.074,3.823,4.350
9,156.684,0.710,4.950,0.573,5.400,1.304,0.710,1.484
10,154.973,1.715,5.000,-0.380,5.793,-0.407,1.715,1.762
11,159.233,-0.573,4.950,1.493,4.748,3.853,-0.573,3.895
12,153.434,-2.166,5.000,-0.995,3.721,-1.946,-2.166,2.912
13,156.865,-0.543,4.950,0.618,4.724,1.485,-0.543,1.581
14,154.458,1.076,5.000,-0.578,5.447,-0.922,1.076,1.417
15,155.864,-0.906,5.000,-0.105,4.421,0.484,-0.906,1.027
16,155.989,-2.572,4.950,0.265,3.609,0.608,-2.572,2.643
17,149.655,-0.384,5.000,-2.315,4.603,-5.725,-0.384,5.738
18,151.698,-0.555,5.000,-1.592,4.544,-3.683,-0.555,3.724
19,156.218,3.438,4.950,0.461,6.866,0.838,3.438,3.539
20,154.596,-1.750,5.000,-0.573,3.956,-0.784,-1.750,1.918
21,158.305,1.210,4.950,1.182,5.705,2.925,1.210,3.165
22,154.751,0.505,5.000,-0.483,5.150,-0.629,0.505,0.806
23,154.186,2.966,5.000,-0.638,6.436,-1.194,2.966,3.197
24,155.095,3.327,5.000,-0.303,6.647,-0.285,3.327,3.340
25,156.773,2.553,4.950,0.645,6.400,1.393,2.553,2.908
26,155.265,-0.415,4.950,0.032,4.766,-0.115,-0.415,0.430
27,160.481,-5.156,4.950,1.897,2.243,5.101,-5.156,7.253
28,151.867,-2.602,5.000,-1.559,3.473,-3.513,-2.602,4.372
29,154.528,-0.826,5.000,-0.584,4.444,-0.852,-0.826,1.187
# CEP,2.908,P95,5.738,L_pat,3.469,W_pat,3.665
