sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,155.207,-0.860,4.950,0.272,4.632,-0.173,-0.860,0.877
1,155.124,-2.253,5.000,-0.127,3.799,-0.257,-2.253,2.268
2,155.094,-0.896,4.950,0.230,4.611,-0.286,-0.896,0.941
3,156.120,-1.567,4.950,0.597,4.263,0.740,-1.567,1.733
4,153.017,3.460,5.000,-0.783,6.779,-2.363,3.460,4.190
5,149.151,1.234,5.000,-2.207,5.539,-6.229,1.234,6.350
6,153.026,1.889,5.000,-0.813,5.954,-2.355,1.889,3.019
7,156.347,-3.304,4.950,0.657,3.321,0.966,-3.304,3.442
8,152.325,-1.266,5.000,-1.117,4.283,-3.055,-1.266,3.307
9,157.331,-1.029,4.950,1.052,4.575,1.950,-1.029,2.205
10,150.486,0.806,5.000,-1.740,5.340,-4.894,0.806,4.960
11,154.870,-2.773,4.950,0.121,3.591,-0.511,-2.773,2.820
12,155.694,-0.326,4.950,0.461,4.930,0.314,-0.326,0.453
13,158.319,-3.123,4.950,1.387,3.444,2.939,-3.123,4.288
14,159.715,1.533,4.950,1.988,6.024,4.334,1.533,4.598
15,146.232,-2.952,5.000,-3.295,3.330,-9.148,-2.952,9.613
16,156.275,-0.937,4.950,0.664,4.608,0.895,-0.937,1.296
17,154.838,0.973,5.000,-0.178,5.506,-0.542,0.973,1.114
18,152.006,-5.143,5.000,-1.273,2.239,-3.374,-5.143,6.151
19,157.135,0.450,4.950,1.007,5.378,1.755,0.450,1.812
20,156.358,3.332,4.950,0.782,6.925,0.978,3.332,3.472
21,151.540,3.567,5.000,-1.310,6.802,-3.840,3.567,5.241
22,152.198,-1.757,5.000,-1.169,4.023,-3.182,-1.757,3.635
23,157.766,2.265,4.950,1.279,6.379,2.386,2.265,3.289
24,154.924,-4.032,4.950,0.126,2.909,-0.456,-4.032,4.058
25,154.796,0.719,4.950,0.150,5.478,-0.584,0.719,0.926
26,153.561,2.563,5.000,-0.606,6.320,-1.819,2.563,3.143
27,155.360,-0.583,5.000,-0.017,4.690,-0.020,-0.583,0.584
28,151.959,2.959,5.000,-1.173,6.493,-3.421,2.959,4.523
29,155.050,-3.701,4.950,0.176,3.090,-0.330,-3.701,3.716
# CEP,3.289,P95,6.151,L_pat,4.340,W_pat,3.701
