sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,159.489,0.917,4.950,2.038,5.715,4.109,0.917,4.210
1,154.495,0.977,4.950,0.189,5.646,-0.885,0.977,1.318
2,151.153,0.083,5.000,-1.374,5.004,-4.227,0.083,4.228
3,156.317,-0.359,4.950,0.835,4.956,0.936,-0.359,1.003
4,153.260,0.310,5.000,-0.616,5.160,-2.120,0.310,2.143
5,152.804,0.807,5.000,-0.771,5.413,-2.576,0.807,2.700
6,154.884,-0.590,4.950,0.303,4.805,-0.496,-0.590,0.771
7,151.457,-1.209,5.000,-1.286,4.332,-3.923,-1.209,4.105
8,154.375,-1.686,4.950,0.099,4.204,-1.005,-1.686,1.963
9,155.786,1.371,4.950,0.672,5.885,0.405,1.371,1.430
10,159.529,-0.547,4.950,2.024,4.911,4.149,-0.547,4.184
11,159.939,-2.708,4.950,2.142,3.726,4.558,-2.708,5.302
12,154.769,-2.258,5.000,-0.112,3.823,-0.611,-2.258,2.339
13,157.708,-1.060,4.950,1.338,4.597,2.328,-1.060,2.558
14,152.948,0.481,5.000,-0.725,5.244,-2.432,0.481,2.479
15,148.934,-1.545,5.000,-2.187,4.121,-6.447,-1.545,6.629
16,151.137,1.891,5.000,-1.348,5.951,-4.244,1.891,4.646
17,154.957,1.432,5.000,0.016,5.784,-0.423,1.432,1.493
18,155.755,2.890,4.950,0.695,6.706,0.375,2.890,2.914
19,154.126,-1.659,5.000,-0.336,4.132,-1.254,-1.659,2.079
20,156.661,-2.458,4.950,0.929,3.817,1.281,-2.458,2.772
21,154.533,-0.338,5.000,-0.169,4.838,-0.847,-0.338,0.912
22,155.942,-4.747,4.950,0.637,2.560,0.561,-4.747,4.780
23,155.930,-0.009,4.950,0.698,5.139,0.550,-0.009,0.550
24,152.341,-2.211,5.000,-0.984,3.816,-3.039,-2.211,3.759
25,156.915,-1.921,4.950,1.030,4.114,1.534,-1.921,2.458
26,149.093,0.523,5.000,-2.100,5.200,-6.287,0.523,6.308
27,150.570,0.142,5.000,-1.581,5.026,-4.810,0.142,4.812
28,154.832,3.082,5.000,0.006,6.655,-0.549,3.082,3.130
29,152.845,-1.070,5.000,-0.787,4.425,-2.535,-1.070,2.752
# CEP,2.700,P95,5.302,L_pat,4.859,W_pat,2.890
