sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,157.361,-0.876,4.950,0.925,5.693,1.981,-0.876,2.166
1,157.684,1.036,4.950,1.088,6.739,2.304,1.036,2.526
2,156.422,-2.187,4.950,0.554,4.963,1.042,-2.187,2.423
3,150.071,-0.977,5.000,-2.055,5.393,-5.309,-0.977,5.398
4,156.277,-1.268,4.950,0.518,5.459,0.897,-1.268,1.553
5,155.181,-1.443,5.000,-0.236,5.238,-0.200,-1.443,1.456
6,154.679,1.727,5.000,-0.352,6.901,-0.701,1.727,1.864
7,151.338,-0.441,5.000,-1.595,5.695,-4.042,-0.441,4.066
8,156.687,-0.837,4.950,0.677,5.701,1.307,-0.837,1.552
9,157.018,-4.557,4.950,0.737,3.683,1.638,-4.557,4.843
10,155.363,-3.759,4.950,0.140,4.094,-0.017,-3.759,3.759
11,153.803,0.739,5.000,-0.689,6.362,-1.577,0.739,1.742
12,153.161,0.074,5.000,-0.933,6.000,-2.219,0.074,2.220
13,156.119,-3.524,4.950,0.421,4.232,0.739,-3.524,3.601
14,156.616,-2.038,4.950,0.628,5.048,1.236,-2.038,2.383
15,153.361,1.875,5.000,-0.823,6.949,-2.019,1.875,2.755
16,160.897,-1.812,4.950,2.222,5.252,5.517,-1.812,5.807
17,155.173,-1.306,4.950,0.111,5.417,-0.207,-1.306,1.322
18,149.625,-3.857,5.000,-2.256,3.886,-5.755,-3.857,6.928
19,155.517,-0.367,4.950,0.256,5.930,0.137,-0.367,0.392
20,155.239,-0.620,5.000,-0.199,5.675,-0.141,-0.620,0.636
21,155.799,0.913,5.000,0.035,6.497,0.419,0.913,1.005
22,158.178,-0.640,4.950,1.233,5.838,2.797,-0.640,2.870
23,153.251,-2.780,5.000,-0.951,4.500,-2.129,-2.780,3.502
24,155.627,-2.731,4.950,0.252,4.655,0.247,-2.731,2.742
25,153.911,-2.531,5.000,-0.710,4.642,-1.469,-2.531,2.927
26,157.131,-1.509,4.950,0.828,5.344,1.751,-1.509,2.311
27,152.732,-4.394,5.000,-1.158,3.644,-2.649,-4.394,5.131
28,150.747,-4.085,5.000,-1.861,3.781,-4.633,-4.085,6.177
29,160.607,0.923,4.950,2.174,6.749,5.226,0.923,5.307
# CEP,2.526,P95,5.807,L_pat,3.857,W_pat,4.085
