sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,154.738,0.617,4.950,0.127,5.423,-0.642,0.617,0.890
1,153.478,-2.059,5.000,-0.715,3.881,-1.902,-2.059,2.803
2,153.709,-1.272,5.000,-0.622,4.300,-1.671,-1.272,2.100
3,149.736,1.391,5.000,-1.997,5.631,-5.644,1.391,5.813
4,155.377,-1.503,4.950,0.325,4.286,-0.003,-1.503,1.503
5,155.188,0.740,5.000,-0.056,5.389,-0.192,0.740,0.764
6,155.312,-0.540,5.000,-0.033,4.712,-0.068,-0.540,0.544
7,152.574,-4.131,5.000,-1.062,2.777,-2.806,-4.131,4.994
8,156.001,-1.666,4.950,0.552,4.207,0.621,-1.666,1.778
9,155.000,-1.088,4.950,0.193,4.505,-0.381,-1.088,1.153
10,154.697,-1.323,4.950,0.078,4.374,-0.683,-1.323,1.489
11,155.131,-0.373,5.000,-0.096,4.798,-0.249,-0.373,0.448
12,148.975,0.069,5.000,-2.289,4.931,-6.405,0.069,6.406
13,154.684,0.676,4.950,0.108,5.453,-0.696,0.676,0.970
14,155.062,0.120,5.000,-0.113,5.058,-0.318,0.120,0.340
15,157.782,1.061,4.950,1.258,5.724,2.401,1.061,2.625
16,161.660,-0.860,4.950,2.668,4.743,6.279,-0.860,6.338
17,155.584,-2.025,4.950,0.393,4.006,0.204,-2.025,2.035
18,155.483,-3.143,4.950,0.341,3.398,0.103,-3.143,3.145
19,154.859,-2.263,4.950,0.124,3.867,-0.522,-2.263,2.322
20,154.487,-1.837,4.950,-0.006,4.092,-0.893,-1.837,2.042
21,155.051,1.170,5.000,-0.098,5.614,-0.329,1.170,1.216
22,153.228,1.538,5.000,-0.747,5.774,-2.152,1.538,2.645
23,152.788,3.602,5.000,-0.862,6.848,-2.592,3.602,4.438
24,152.533,-0.310,5.000,-1.029,4.789,-2.848,-0.310,2.864
25,159.945,-1.254,4.950,2.019,4.496,4.564,-1.254,4.733
26,156.740,0.356,4.950,0.858,5.319,1.359,0.356,1.405
27,154.397,-1.832,5.000,-0.383,4.013,-0.984,-1.832,2.079
28,158.699,-1.026,4.950,1.560,4.600,3.319,-1.026,3.474
29,158.195,-1.437,4.950,1.366,4.366,2.815,-1.437,3.160
# CEP,2.079,P95,5.813,L_pat,2.773,W_pat,3.143
