sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,154.188,2.865,5.000,-1.520,6.213,-1.192,2.865,3.103
1,157.363,3.153,5.000,-0.376,6.430,1.983,3.153,3.724
2,154.085,1.408,5.000,-1.585,5.450,-1.295,1.408,1.913
3,159.858,-0.303,4.950,0.819,4.738,4.477,-0.303,4.488
4,161.860,2.022,4.950,1.607,6.046,6.480,2.022,6.788
5,158.908,-0.022,4.950,0.474,4.875,3.528,-0.022,3.528
6,158.428,1.400,5.000,-0.027,5.525,3.048,1.400,3.354
7,160.004,-0.118,4.950,0.876,4.841,4.624,-0.118,4.625
8,158.316,1.413,5.000,-0.067,5.530,2.936,1.413,3.259
9,155.131,2.786,5.000,-1.185,6.190,-0.249,2.786,2.797
10,161.410,-1.110,4.950,1.380,4.323,6.030,-1.110,6.131
11,155.042,1.731,5.000,-1.237,5.636,-0.338,1.731,1.764
12,157.538,-1.939,5.000,-0.401,3.740,2.157,-1.939,2.901
13,161.639,1.714,4.950,1.518,5.873,6.259,1.714,6.489
14,156.197,2.506,5.000,-0.809,6.065,0.817,2.506,2.635
15,155.186,1.650,5.000,-1.187,5.596,-0.194,1.650,1.662
16,157.878,-0.823,5.000,-0.263,4.337,2.498,-0.823,2.630
17,160.186,0.452,4.950,0.954,5.156,4.806,0.452,4.827
18,155.458,2.986,5.000,-1.064,6.301,0.077,2.986,2.987
19,155.778,-0.720,5.000,-1.015,4.360,0.398,-0.720,0.823
20,159.583,-4.271,4.950,0.666,2.573,4.202,-4.271,5.992
21,158.475,0.708,4.950,0.328,5.263,3.094,0.708,3.175
22,161.335,1.316,4.950,1.397,5.649,5.954,1.316,6.098
23,159.580,-0.586,4.950,0.712,4.580,4.200,-0.586,4.241
24,160.963,1.446,4.950,1.261,5.712,5.582,1.446,5.767
25,158.349,-0.008,4.950,0.269,4.873,2.969,-0.008,2.969
26,161.484,-1.000,4.950,1.410,4.385,6.104,-1.000,6.185
27,156.866,1.237,5.000,-0.593,5.410,1.486,1.237,1.934
28,158.099,-0.809,4.950,0.164,4.435,2.719,-0.809,2.837
29,150.653,-2.295,5.000,-2.853,3.472,-4.727,-2.295,5.255
# CEP,3.259,P95,6.185,L_pat,5.000,W_pat,2.986
