sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,156.336,-0.001,4.950,0.683,4.730,0.955,-0.001,0.955
1,153.914,0.688,5.000,-0.535,4.961,-1.466,0.688,1.619
2,155.993,0.700,4.950,0.569,5.104,0.613,0.700,0.930
3,154.078,-0.342,5.000,-0.493,4.420,-1.303,-0.342,1.347
4,153.341,-1.828,5.000,-0.777,3.624,-2.039,-1.828,2.738
5,154.440,0.507,5.000,-0.349,4.875,-0.940,0.507,1.069
6,156.120,1.495,4.950,0.631,5.538,0.740,1.495,1.668
7,150.984,3.887,5.000,-1.524,6.584,-4.396,3.887,5.868
8,154.865,-1.260,5.000,-0.222,3.944,-0.515,-1.260,1.361
9,155.759,2.124,4.950,0.511,5.871,0.379,2.124,2.157
10,159.052,-1.311,4.950,1.668,4.057,3.672,-1.311,3.899
11,154.221,2.237,5.000,-0.397,5.785,-1.159,2.237,2.519
12,152.853,3.133,5.000,-0.871,6.229,-2.528,3.133,4.026
13,155.492,-0.497,4.950,0.365,4.446,0.112,-0.497,0.510
14,155.219,0.665,5.000,-0.066,4.971,-0.161,0.665,0.684
15,154.461,0.475,5.000,-0.342,4.858,-0.919,0.475,1.034
16,153.479,0.098,5.000,-0.701,4.643,-1.901,0.098,1.903
17,154.758,-1.246,4.950,0.084,4.030,-0.622,-1.246,1.393
18,155.207,-1.711,5.000,-0.105,3.709,-0.173,-1.711,1.719
19,152.535,3.684,5.000,-0.973,6.511,-2.846,3.684,4.655
20,154.114,1.354,5.000,-0.452,5.317,-1.266,1.354,1.854
21,157.409,0.555,4.950,1.090,5.051,2.029,0.555,2.103
22,154.952,2.358,5.000,-0.131,5.863,-0.428,2.358,2.397
23,156.207,-2.436,4.950,0.601,3.403,0.827,-2.436,2.573
24,157.068,-0.268,4.950,0.949,4.596,1.688,-0.268,1.709
25,155.759,-1.227,4.950,0.452,4.054,0.379,-1.227,1.284
26,153.981,-1.198,5.000,-0.540,3.965,-1.399,-1.198,1.842
27,155.512,-3.505,4.950,0.333,2.814,0.132,-3.505,3.507
28,155.047,3.478,5.000,-0.073,6.457,-0.334,3.478,3.494
29,157.489,-0.665,4.950,1.098,4.387,2.108,-0.665,2.211
# CEP,1.842,P95,4.026,L_pat,2.206,W_pat,3.505
