sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,161.538,7.822,4.950,2.338,4.337,6.158,7.822,9.955
1,156.222,9.470,4.950,0.395,5.147,0.842,9.470,9.507
2,157.540,6.583,4.950,0.835,3.598,2.160,6.583,6.929
3,155.016,8.004,5.000,-0.415,4.249,-0.364,8.004,8.013
4,153.180,7.879,5.000,-1.075,4.156,-2.200,7.879,8.180
5,154.707,8.892,5.000,-0.512,4.713,-0.674,8.892,8.917
6,153.543,10.274,5.000,-0.907,5.422,-1.838,10.274,10.437
7,154.778,3.395,5.000,-0.548,1.802,-0.602,3.395,3.448
8,158.429,8.409,4.950,1.191,4.608,3.049,8.409,8.945
9,154.013,9.966,5.000,-0.743,5.268,-1.367,9.966,10.059
10,155.781,9.312,4.950,0.230,5.053,0.401,9.312,9.320
11,153.710,9.830,5.000,-0.854,5.192,-1.670,9.830,9.971
12,151.669,12.294,5.000,-1.537,6.443,-3.711,12.294,12.842
13,152.595,9.108,5.000,-1.266,4.793,-2.785,9.108,9.524
14,156.139,9.801,5.000,0.019,5.219,0.759,9.801,9.830
15,155.376,10.325,5.000,-0.247,5.483,-0.004,10.325,10.325
16,145.887,9.252,5.000,-3.635,4.766,-9.493,9.252,13.256
17,155.350,8.350,5.000,-0.289,4.436,-0.030,8.350,8.350
18,159.051,7.086,4.950,1.401,3.893,3.671,7.086,7.980
19,155.667,5.322,5.000,-0.213,2.833,0.286,5.322,5.330
20,155.677,5.967,4.950,0.143,3.240,0.297,5.967,5.974
21,151.094,13.843,5.000,-1.708,7.237,-4.286,13.843,14.492
22,156.740,8.924,4.950,0.576,4.859,1.360,8.924,9.027
23,155.385,6.298,4.950,0.040,3.416,0.005,6.298,6.298
24,152.752,10.059,5.000,-1.193,5.295,-2.628,10.059,10.397
25,149.734,9.865,5.000,-2.271,5.143,-5.646,9.865,11.366
26,150.830,9.537,5.000,-1.887,4.990,-4.550,9.537,10.567
27,152.429,12.649,5.000,-1.258,6.645,-2.951,12.649,12.988
28,157.658,7.950,4.950,0.898,4.345,2.278,7.950,8.270
29,150.447,7.788,5.000,-2.049,4.072,-4.934,7.788,9.219
# CEP,9.320,P95,12.988,L_pat,4.553,W_pat,12.294
