sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,162.147,0.720,4.950,2.925,5.839,6.766,0.720,6.805
1,155.718,-2.020,4.950,0.482,4.217,0.338,-2.020,2.048
2,156.583,0.224,4.950,0.839,5.450,1.203,0.224,1.223
3,154.749,-1.670,4.950,0.131,4.392,-0.631,-1.670,1.785
4,158.810,-0.693,4.950,1.647,4.992,3.430,-0.693,3.499
5,152.135,0.565,5.000,-1.117,5.441,-3.246,0.565,3.294
6,157.090,-3.100,4.950,0.972,3.647,1.710,-3.100,3.541
7,156.623,0.619,4.950,0.862,5.666,1.243,0.619,1.388
8,154.607,-0.686,5.000,-0.251,4.824,-0.773,-0.686,1.034
9,154.656,-1.127,5.000,-0.241,4.591,-0.724,-1.127,1.340
10,154.279,-2.089,5.000,-0.390,4.076,-1.101,-2.089,2.362
11,156.956,3.094,4.950,1.041,7.017,1.576,3.094,3.472
12,152.705,-2.928,5.000,-0.966,3.612,-2.675,-2.928,3.966
13,157.091,-0.669,4.950,1.010,4.974,1.711,-0.669,1.837
14,155.097,-2.223,4.950,0.250,4.097,-0.284,-2.223,2.241
15,156.612,1.807,4.950,0.883,6.311,1.232,1.807,2.187
16,155.691,-2.855,4.950,0.459,3.763,0.310,-2.855,2.872
17,156.508,-1.938,4.950,0.774,4.273,1.128,-1.938,2.242
18,157.822,-1.696,4.950,1.263,4.426,2.442,-1.696,2.973
19,154.152,0.863,5.000,-0.388,5.635,-1.229,0.863,1.501
20,149.501,-1.021,5.000,-2.081,4.569,-5.879,-1.021,5.967
21,153.118,-0.139,5.000,-0.777,5.088,-2.262,-0.139,2.266
22,153.536,-2.533,5.000,-0.663,3.831,-1.844,-2.533,3.134
23,156.264,-0.732,4.950,0.704,4.925,0.884,-0.732,1.148
24,156.207,1.414,4.950,0.725,6.088,0.827,1.414,1.638
25,154.111,-1.226,5.000,-0.438,4.531,-1.269,-1.226,1.765
26,154.957,-1.061,4.950,0.217,4.724,-0.423,-1.061,1.143
27,156.515,-4.021,4.950,0.748,3.138,1.135,-4.021,4.179
28,151.197,0.361,5.000,-1.456,5.318,-4.183,0.361,4.198
29,155.186,-2.590,4.950,0.278,3.900,-0.194,-2.590,2.597
# CEP,2.242,P95,4.198,L_pat,3.087,W_pat,3.094
