sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,153.411,-0.813,5.000,0.026,5.453,-1.969,-0.813,2.130
1,152.390,-2.853,5.000,-0.377,4.355,-2.990,-2.853,4.133
2,152.277,-2.399,5.000,-0.410,4.594,-3.103,-2.399,3.922
3,156.489,-2.284,4.950,1.488,4.820,1.109,-2.284,2.539
4,153.074,-0.998,5.000,-0.099,5.349,-2.306,-0.998,2.513
5,155.595,-5.259,4.950,1.113,3.177,0.215,-5.259,5.263
6,152.655,-0.880,5.000,-0.248,5.404,-2.725,-0.880,2.864
7,158.145,-2.548,4.950,2.100,4.704,2.764,-2.548,3.760
8,152.064,-1.410,5.000,-0.470,5.113,-3.316,-1.410,3.603
9,152.681,-6.739,4.950,0.027,2.342,-2.699,-6.739,7.259
10,152.446,0.087,5.000,-0.305,5.911,-2.934,0.087,2.935
11,155.608,-4.160,4.950,1.132,3.779,0.228,-4.160,4.166
12,155.778,-3.205,4.950,1.209,4.304,0.398,-3.205,3.229
13,153.925,2.911,5.000,0.294,7.437,-1.456,2.911,3.255
14,154.576,-5.309,4.950,0.737,3.139,-0.804,-5.309,5.369
15,152.115,-0.238,5.000,-0.431,5.733,-3.265,-0.238,3.273
16,158.547,-2.684,4.950,2.248,4.636,3.167,-2.684,4.151
17,153.313,-1.412,4.950,0.330,5.237,-2.067,-1.412,2.503
18,155.006,0.104,4.950,0.985,6.093,-0.374,0.104,0.389
19,153.315,-0.522,5.000,-0.003,5.606,-2.065,-0.522,2.130
20,146.261,-2.041,5.000,-2.549,4.690,-9.120,-2.041,9.345
21,152.235,-1.528,5.000,-0.411,5.053,-3.145,-1.528,3.497
22,153.842,-0.671,4.950,0.539,5.648,-1.538,-0.671,1.678
23,152.373,-0.511,5.000,-0.343,5.593,-3.007,-0.511,3.050
24,154.551,-1.063,4.950,0.793,5.450,-0.830,-1.063,1.348
25,152.737,-0.597,4.950,0.134,5.666,-2.643,-0.597,2.710
26,155.400,-0.713,4.950,1.114,5.657,0.020,-0.713,0.714
27,152.616,-3.549,4.950,0.039,4.069,-2.764,-3.549,4.499
28,154.583,-0.670,4.950,0.812,5.664,-0.798,-0.670,1.042
29,153.718,-1.412,4.950,0.479,5.245,-1.663,-1.412,2.181
# CEP,3.050,P95,5.369,L_pat,3.026,W_pat,5.259
