sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,155.426,-2.094,4.950,1.310,4.601,0.046,-2.094,2.094
1,150.944,-1.655,5.000,-0.670,4.671,-4.436,-1.655,4.735
2,151.908,0.410,5.000,-0.287,5.779,-3.472,0.410,3.497
3,148.154,1.785,5.000,-1.605,6.425,-7.226,1.785,7.443
4,148.755,1.154,5.000,-1.404,6.108,-6.625,1.154,6.725
5,147.929,0.747,5.000,-1.706,5.879,-7.451,0.747,7.488
6,149.839,0.653,5.000,-1.026,5.867,-5.541,0.653,5.579
7,153.263,-2.162,4.950,0.510,4.529,-2.117,-2.162,3.026
8,152.395,1.529,4.950,0.263,6.508,-2.985,1.529,3.354
9,151.908,1.190,5.000,-0.271,6.191,-3.472,1.190,3.670
10,149.812,-5.192,5.000,-1.120,2.791,-5.569,-5.192,7.614
11,148.471,-0.185,5.000,-1.530,5.402,-6.909,-0.185,6.912
12,155.361,0.431,4.950,1.335,5.979,-0.020,0.431,0.431
13,152.952,-0.144,4.950,0.432,5.617,-2.428,-0.144,2.432
14,153.064,1.486,4.950,0.508,6.500,-2.316,1.486,2.752
15,156.071,-4.409,4.950,1.516,3.341,0.691,-4.409,4.463
16,148.747,-1.937,5.000,-1.460,4.490,-6.633,-1.937,6.910
17,152.344,-3.531,4.950,0.152,3.773,-3.037,-3.531,4.657
18,149.348,0.665,5.000,-1.201,5.864,-6.032,0.665,6.069
19,149.942,0.331,5.000,-0.995,5.700,-5.438,0.331,5.448
20,145.030,-0.656,5.000,-2.758,5.100,-10.351,-0.656,10.371
21,153.651,2.603,4.950,0.752,7.118,-1.729,2.603,3.125
22,153.975,-2.222,4.950,0.772,4.507,-1.405,-2.222,2.629
23,145.923,-2.803,5.000,-2.474,3.999,-9.457,-2.803,9.864
24,151.788,-1.012,5.000,-0.356,5.025,-3.592,-1.012,3.732
25,155.355,-1.386,4.950,1.296,4.987,-0.026,-1.386,1.386
26,153.724,-0.491,4.950,0.710,5.444,-1.656,-0.491,1.727
27,153.591,-1.203,4.950,0.648,5.055,-1.789,-1.203,2.156
28,151.223,-1.153,5.000,-0.562,4.941,-4.157,-1.153,4.314
29,153.870,1.407,4.950,0.804,6.476,-1.510,1.407,2.064
# CEP,3.732,P95,7.614,L_pat,4.977,W_pat,3.531
