sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,156.912,-2.710,4.950,0.872,3.652,1.532,-2.710,3.112
1,156.793,1.074,4.950,0.892,5.711,1.413,1.074,1.775
2,154.631,-1.452,5.000,-0.293,4.218,-0.749,-1.452,1.634
3,155.822,1.183,4.950,0.536,5.750,0.442,1.183,1.263
4,155.997,-3.329,4.950,0.528,3.303,0.617,-3.329,3.385
5,155.958,-1.574,4.950,0.537,4.256,0.578,-1.574,1.677
6,153.394,-0.486,5.000,-0.723,4.710,-1.986,-0.486,2.045
7,151.975,-0.245,5.000,-1.227,4.815,-3.406,-0.245,3.414
8,152.687,0.705,5.000,-0.956,5.325,-2.693,0.705,2.784
9,150.912,2.401,5.000,-1.559,6.180,-4.468,2.401,5.073
10,154.335,-2.887,5.000,-0.418,3.453,-1.045,-2.887,3.071
11,152.592,-2.640,5.000,-1.040,3.563,-2.788,-2.640,3.840
12,154.904,-1.248,5.000,-0.192,4.330,-0.476,-1.248,1.336
13,157.734,-2.668,4.950,1.177,3.685,2.354,-2.668,3.558
14,156.200,-0.531,4.950,0.643,4.827,0.819,-0.531,0.976
15,153.526,-1.399,5.000,-0.689,4.230,-1.854,-1.399,2.322
16,157.235,0.548,4.950,1.045,5.433,1.855,0.548,1.934
17,154.499,-1.120,4.950,0.009,4.480,-0.881,-1.120,1.425
18,150.519,-0.944,5.000,-1.756,4.426,-4.861,-0.944,4.952
19,156.679,-1.407,4.950,0.805,4.358,1.299,-1.407,1.915
20,151.456,-0.129,5.000,-1.410,4.867,-3.924,-0.129,3.926
21,152.270,2.198,5.000,-1.077,6.101,-3.110,2.198,3.808
22,156.617,-0.365,4.950,0.800,4.925,1.236,-0.365,1.289
23,154.010,-1.024,5.000,-0.510,4.435,-1.370,-1.024,1.711
24,154.090,2.968,5.000,-0.407,6.544,-1.290,2.968,3.236
25,152.863,1.457,5.000,-0.879,5.724,-2.517,1.457,2.908
26,163.544,0.581,4.950,3.408,5.581,8.164,0.581,8.184
27,150.997,-0.231,5.000,-1.576,4.806,-4.384,-0.231,4.390
28,155.179,-2.857,5.000,-0.114,3.479,-0.201,-2.857,2.865
29,151.744,2.702,5.000,-1.255,6.355,-3.636,2.702,4.530
# CEP,2.865,P95,4.952,L_pat,4.642,W_pat,2.887
