sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,157.961,-1.964,5.000,-7.050,-0.985,2.581,-1.964,3.244
1,155.885,1.093,5.000,-7.757,0.545,0.505,1.093,1.204
2,155.753,-0.569,5.000,-7.802,-0.283,0.373,-0.569,0.680
3,160.540,-0.303,5.000,-6.172,-0.153,5.160,-0.303,5.169
4,156.124,-0.001,5.050,-7.887,-0.001,0.744,-0.001,0.744
5,152.334,0.933,5.050,-9.146,0.453,-3.047,0.933,3.186
6,155.496,0.241,5.050,-8.097,0.118,0.116,0.241,0.267
7,154.810,-0.302,5.050,-8.325,-0.148,-0.570,-0.302,0.645
8,152.137,0.624,5.050,-9.211,0.303,-3.243,0.624,3.302
9,154.317,0.223,5.050,-8.489,0.109,-1.063,0.223,1.087
10,155.547,-1.799,5.050,-8.078,-0.880,0.167,-1.799,1.807
11,150.645,-1.587,5.050,-9.703,-0.766,-4.735,-1.587,4.994
12,157.812,-1.203,5.000,-7.102,-0.603,2.432,-1.203,2.713
13,152.468,-0.833,5.050,-9.102,-0.404,-2.912,-0.833,3.029
14,158.113,-3.680,5.000,-6.992,-1.845,2.733,-3.680,4.584
15,155.581,-1.497,5.000,-7.859,-0.745,0.200,-1.497,1.511
16,158.143,0.847,5.000,-6.990,0.425,2.762,0.847,2.889
17,154.253,0.123,5.050,-8.510,0.060,-1.128,0.123,1.134
18,157.583,-3.468,5.000,-7.173,-1.736,2.203,-3.468,4.108
19,157.613,1.048,5.000,-7.170,0.525,2.233,1.048,2.466
20,154.340,-1.564,5.050,-8.480,-0.762,-1.040,-1.564,1.878
21,155.607,1.904,5.000,-7.849,0.948,0.227,1.904,1.918
22,154.296,0.302,5.050,-8.496,0.147,-1.085,0.302,1.126
23,155.340,-0.095,5.050,-8.149,-0.046,-0.040,-0.095,0.103
24,155.565,0.031,5.000,-7.866,0.015,0.185,0.031,0.187
25,156.847,-2.825,5.000,-7.426,-1.411,1.467,-2.825,3.183
26,156.053,-0.462,5.000,-7.701,-0.231,0.673,-0.462,0.817
27,155.333,-0.225,5.050,-8.151,-0.110,-0.047,-0.225,0.230
28,153.082,0.049,5.050,-8.899,0.024,-2.298,0.049,2.299
29,155.288,-3.205,5.050,-8.159,-1.566,-0.092,-3.205,3.206
# CEP,1.878,P95,4.584,L_pat,3.330,W_pat,3.205
