sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,156.668,-0.752,5.000,-7.354,-0.376,1.288,-0.752,1.492
1,154.930,-1.905,5.050,-8.148,-0.931,-0.451,-1.905,1.958
2,152.604,-1.277,5.050,-8.922,-0.620,-2.776,-1.277,3.055
3,154.762,-0.271,5.050,-8.206,-0.133,-0.618,-0.271,0.675
4,153.810,-2.596,5.050,-8.518,-1.265,-1.570,-2.596,3.034
5,153.775,-0.302,5.050,-8.534,-0.147,-1.605,-0.302,1.633
6,156.630,0.024,5.000,-7.367,0.012,1.250,0.024,1.250
7,154.521,-0.054,5.050,-8.286,-0.027,-0.859,-0.054,0.861
8,155.229,-2.508,5.050,-8.046,-1.227,-0.151,-2.508,2.513
9,158.910,0.689,5.000,-6.591,0.347,3.529,0.689,3.596
10,153.063,1.474,5.050,-8.769,0.717,-2.318,1.474,2.747
11,154.660,0.097,5.050,-8.240,0.048,-0.721,0.097,0.727
12,156.146,0.050,5.000,-7.532,0.025,0.766,0.050,0.767
13,159.020,0.746,5.000,-6.553,0.375,3.640,0.746,3.716
14,155.693,-1.673,5.050,-7.894,-0.819,0.313,-1.673,1.702
15,155.095,2.923,5.050,-8.090,1.429,-0.285,2.923,2.936
16,154.152,-0.965,5.050,-8.408,-0.471,-1.228,-0.965,1.562
17,160.435,-2.787,5.000,-6.063,-1.408,5.055,-2.787,5.772
18,159.121,1.653,5.000,-6.517,0.832,3.741,1.653,4.090
19,155.491,0.931,5.050,-7.963,0.456,0.110,0.931,0.938
20,154.095,-5.250,5.050,-8.410,-2.560,-1.285,-5.250,5.405
21,155.542,-1.939,5.050,-7.944,-0.949,0.161,-1.939,1.946
22,154.066,-0.608,5.050,-8.437,-0.297,-1.314,-0.608,1.448
23,152.324,-0.724,5.050,-9.015,-0.352,-3.056,-0.724,3.141
24,155.547,1.101,5.050,-7.943,0.539,0.167,1.101,1.114
25,155.347,0.450,5.050,-8.011,0.220,-0.033,0.450,0.451
26,153.789,1.884,5.050,-8.527,0.918,-1.591,1.884,2.466
27,150.253,0.104,5.050,-9.700,0.050,-5.128,0.104,5.129
28,157.901,-2.287,5.000,-6.931,-1.147,2.521,-2.287,3.404
29,157.290,-0.218,5.000,-7.143,-0.109,1.909,-0.218,1.922
# CEP,1.946,P95,5.129,L_pat,2.879,W_pat,2.787
