sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,157.073,-1.121,5.000,-7.383,-0.522,1.693,-1.121,2.031
1,151.809,-1.808,5.050,-9.346,-0.838,-3.572,-1.808,4.003
2,156.251,1.872,5.050,-7.870,0.955,0.871,1.872,2.065
3,150.801,-2.094,5.050,-9.678,-0.974,-4.579,-2.094,5.035
4,156.129,0.045,5.000,-7.704,0.061,0.748,0.045,0.750
5,153.942,2.699,5.050,-8.637,1.351,-1.439,2.699,3.058
6,155.957,-0.799,5.000,-7.762,-0.360,0.577,-0.799,0.985
7,157.780,-1.024,5.000,-7.143,-0.475,2.399,-1.024,2.609
8,160.629,-0.818,5.000,-6.170,-0.374,5.249,-0.818,5.313
9,160.551,2.288,5.000,-6.193,1.194,5.171,2.288,5.654
10,154.483,0.051,5.050,-8.462,0.062,-0.897,0.051,0.899
11,154.948,0.061,5.050,-8.307,0.067,-0.432,0.061,0.436
12,155.841,-2.127,5.050,-8.007,-1.003,0.461,-2.127,2.176
13,156.561,0.652,5.000,-7.557,0.364,1.180,0.652,1.348
14,151.688,-0.195,5.050,-9.388,-0.057,-3.692,-0.195,3.697
15,155.690,0.690,5.050,-8.060,0.375,0.310,0.690,0.757
16,155.315,0.413,5.050,-8.185,0.239,-0.066,0.413,0.418
17,153.356,2.788,5.050,-8.831,1.393,-2.024,2.788,3.445
18,156.060,1.167,5.000,-7.726,0.620,0.680,1.167,1.351
19,156.103,-1.167,5.050,-7.922,-0.534,0.723,-1.167,1.373
20,156.592,0.723,5.000,-7.546,0.399,1.211,0.723,1.411
21,152.944,-1.737,5.050,-8.971,-0.806,-2.436,-1.737,2.992
22,155.480,-0.612,5.050,-8.130,-0.262,0.100,-0.612,0.621
23,155.617,0.716,5.050,-8.084,0.388,0.237,0.716,0.755
24,153.736,-0.655,5.050,-8.710,-0.282,-1.644,-0.655,1.770
25,155.885,-2.196,5.050,-7.992,-1.037,0.505,-2.196,2.254
26,154.588,-0.574,5.050,-8.427,-0.243,-0.792,-0.574,0.978
27,155.016,-0.237,5.050,-8.285,-0.078,-0.364,-0.237,0.435
28,159.001,1.784,5.000,-6.725,0.935,3.621,1.784,4.036
29,155.920,-0.011,5.050,-7.984,0.032,0.540,-0.011,0.540
# CEP,1.411,P95,5.035,L_pat,2.825,W_pat,2.288
