sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,157.572,-0.008,5.000,-7.590,-0.004,2.192,-0.008,2.192
1,157.772,-2.989,5.000,-7.516,-1.492,2.391,-2.989,3.828
2,156.909,0.175,5.000,-7.815,0.087,1.528,0.175,1.538
3,152.576,2.266,5.050,-9.457,1.096,-2.804,2.266,3.606
4,158.402,1.436,5.000,-7.307,0.718,3.022,1.436,3.345
5,159.407,2.598,5.000,-6.962,1.303,4.027,2.598,4.792
6,152.799,-1.362,5.050,-9.386,-0.659,-2.581,-1.362,2.919
7,154.079,-2.660,5.050,-8.959,-1.292,-1.301,-2.660,2.961
8,157.540,1.385,5.000,-7.600,0.691,2.160,1.385,2.566
9,155.663,0.604,5.050,-8.438,0.295,0.283,0.604,0.667
10,159.181,1.006,5.000,-7.043,0.504,3.801,1.006,3.932
11,154.241,-0.897,5.050,-8.909,-0.436,-1.139,-0.897,1.450
12,159.077,0.809,5.000,-7.079,0.405,3.696,0.809,3.784
13,158.139,-1.495,5.000,-7.396,-0.747,2.759,-1.495,3.138
14,158.097,1.819,5.000,-7.410,0.909,2.717,1.819,3.269
15,157.108,-1.785,5.000,-7.745,-0.889,1.728,-1.785,2.484
16,153.596,1.121,5.050,-9.123,0.544,-1.785,1.121,2.107
17,159.425,1.061,5.000,-6.960,0.532,4.045,1.061,4.181
18,157.237,-0.144,5.050,-7.914,-0.071,1.857,-0.144,1.863
19,153.658,-0.662,5.050,-9.103,-0.321,-1.723,-0.662,1.845
20,156.365,-0.329,5.050,-8.204,-0.161,0.985,-0.329,1.039
21,156.131,2.632,5.050,-8.278,1.285,0.751,2.632,2.737
22,155.028,0.522,5.050,-8.649,0.254,-0.352,0.522,0.630
23,155.575,0.428,5.050,-8.467,0.209,0.195,0.428,0.470
24,156.265,0.290,5.050,-8.238,0.142,0.885,0.290,0.931
25,157.469,-0.284,5.000,-7.625,-0.142,2.089,-0.284,2.108
26,154.882,-0.351,5.050,-8.697,-0.171,-0.498,-0.351,0.610
27,157.410,-1.404,5.000,-7.644,-0.700,2.030,-1.404,2.468
28,156.386,2.450,5.050,-8.194,1.197,1.006,2.450,2.648
29,156.090,-1.776,5.050,-8.294,-0.867,0.710,-1.776,1.912
# CEP,2.468,P95,3.932,L_pat,3.856,W_pat,2.632
