sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,155.409,0.724,5.050,-7.990,0.355,0.029,0.724,0.725
1,154.509,2.986,5.050,-8.285,1.458,-0.872,2.986,3.111
2,155.217,2.708,5.000,-7.841,1.348,-0.163,2.708,2.713
3,153.764,1.423,5.050,-8.536,0.693,-1.616,1.423,2.153
4,155.124,-0.574,5.050,-8.085,-0.281,-0.256,-0.574,0.629
5,156.848,-1.746,5.000,-7.291,-0.873,1.468,-1.746,2.281
6,155.309,1.028,5.050,-8.023,0.503,-0.072,1.028,1.030
7,150.986,0.094,5.050,-9.458,0.046,-4.394,0.094,4.395
8,155.663,-0.316,5.000,-7.695,-0.157,0.283,-0.316,0.424
9,152.094,3.143,5.050,-9.085,1.525,-3.286,3.143,4.547
10,154.806,2.715,5.050,-8.187,1.327,-0.575,2.715,2.776
11,152.590,-1.672,5.050,-8.926,-0.812,-2.790,-1.672,3.252
12,154.750,-0.658,5.050,-8.210,-0.322,-0.630,-0.658,0.911
13,158.926,-0.198,5.000,-6.585,-0.100,3.546,-0.198,3.552
14,157.061,-1.878,5.000,-7.218,-0.940,1.681,-1.878,2.521
15,157.054,-1.159,5.000,-7.222,-0.580,1.674,-1.159,2.036
16,156.415,0.728,5.000,-7.440,0.363,1.034,0.728,1.265
17,154.516,4.537,5.050,-8.275,2.215,-0.865,4.537,4.619
18,155.544,0.449,5.050,-7.945,0.220,0.163,0.449,0.478
19,158.053,-1.824,5.000,-6.881,-0.916,2.673,-1.824,3.236
20,153.445,-0.920,5.050,-8.643,-0.448,-1.936,-0.920,2.143
21,155.930,1.775,5.000,-7.603,0.885,0.550,1.775,1.858
22,155.246,-2.967,5.000,-7.831,-1.477,-0.134,-2.967,2.970
23,157.290,0.835,5.000,-7.143,0.418,1.909,0.835,2.084
24,160.253,0.622,5.000,-6.131,0.314,4.873,0.622,4.913
25,155.378,-0.539,5.050,-8.001,-0.264,-0.002,-0.539,0.539
26,156.233,-0.243,5.000,-7.502,-0.121,0.853,-0.243,0.887
27,153.894,-1.161,5.050,-8.494,-0.566,-1.487,-1.161,1.886
28,157.930,0.892,5.000,-6.925,0.447,2.550,0.892,2.701
29,155.565,-0.964,5.050,-7.938,-0.472,0.185,-0.964,0.982
# CEP,2.143,P95,4.547,L_pat,3.160,W_pat,2.986
