sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,152.567,1.148,5.050,-9.699,0.468,-2.813,1.148,3.039
1,157.917,-0.460,5.000,-7.716,-0.319,2.537,-0.460,2.578
2,158.360,1.909,5.000,-7.564,0.863,2.979,1.909,3.538
3,157.496,2.951,5.000,-7.853,1.380,2.116,2.951,3.631
4,155.582,-3.026,5.050,-8.696,-1.560,0.202,-3.026,3.032
5,152.680,-0.971,5.050,-9.662,-0.556,-2.700,-0.971,2.870
6,157.980,1.029,5.050,-7.904,0.416,2.600,1.029,2.796
7,157.662,-1.195,5.050,-8.010,-0.673,2.282,-1.195,2.576
8,158.468,0.994,5.000,-7.529,0.406,3.088,0.994,3.244
9,157.798,3.051,5.050,-7.960,1.406,2.417,3.051,3.892
10,159.010,0.740,5.000,-7.345,0.280,3.630,0.740,3.705
11,157.222,-1.556,5.050,-8.156,-0.848,1.842,-1.556,2.411
12,158.861,0.699,5.000,-7.396,0.260,3.481,0.699,3.550
13,156.336,0.277,5.050,-8.452,0.047,0.956,0.277,0.995
14,157.868,-1.180,5.000,-7.731,-0.678,2.488,-1.180,2.754
15,154.580,0.420,5.050,-9.035,0.117,-0.800,0.420,0.904
16,157.119,3.315,5.050,-8.185,1.532,1.739,3.315,3.743
17,158.240,1.443,5.000,-7.606,0.631,2.859,1.443,3.203
18,157.554,1.455,5.000,-7.838,0.635,2.174,1.455,2.616
19,154.078,-0.289,5.050,-9.201,-0.227,-1.303,-0.289,1.334
20,160.374,-0.254,5.000,-6.881,-0.217,4.994,-0.254,5.000
21,157.916,1.724,5.000,-7.715,0.770,2.536,1.724,3.066
22,158.577,3.384,5.000,-7.485,1.600,3.197,3.384,4.655
23,157.813,-0.184,5.000,-7.751,-0.181,2.433,-0.184,2.440
24,155.305,1.207,5.050,-8.794,0.499,-0.075,1.207,1.209
25,157.268,-1.393,5.050,-8.141,-0.769,1.888,-1.393,2.346
26,157.753,-2.851,5.050,-7.975,-1.483,2.373,-2.851,3.709
27,161.140,0.616,5.000,-6.620,0.220,5.760,0.616,5.793
28,160.930,-0.299,5.000,-6.691,-0.241,5.550,-0.299,5.558
29,154.971,-0.372,5.050,-8.905,-0.268,-0.409,-0.372,0.553
# CEP,3.032,P95,5.000,L_pat,3.162,W_pat,3.051
