sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,154.067,1.184,5.050,-8.415,0.311,-1.313,1.184,1.768
1,157.396,-0.742,5.000,-7.083,-0.645,2.016,-0.742,2.149
2,151.643,0.120,5.050,-9.218,-0.206,-3.737,0.120,3.739
3,156.845,-1.401,5.000,-7.269,-0.974,1.465,-1.401,2.027
4,159.468,4.244,5.000,-6.367,1.864,4.088,4.244,5.892
5,155.631,1.159,5.000,-7.683,0.306,0.250,1.159,1.186
6,155.817,2.006,5.000,-7.619,0.728,0.437,2.006,2.053
7,154.677,-0.241,5.050,-8.212,-0.384,-0.704,-0.241,0.744
8,156.052,2.080,5.000,-7.539,0.766,0.672,2.080,2.186
9,155.233,0.112,5.000,-7.818,-0.216,-0.147,0.112,0.185
10,156.153,-0.149,5.000,-7.506,-0.347,0.772,-0.149,0.787
11,155.900,-0.232,5.000,-7.592,-0.388,0.520,-0.232,0.569
12,160.788,-1.721,5.000,-5.921,-1.146,5.408,-1.721,5.675
13,158.061,0.198,5.000,-6.858,-0.174,2.680,0.198,2.688
14,158.631,-0.281,5.000,-6.663,-0.415,3.251,-0.281,3.263
15,157.429,0.839,5.000,-7.073,0.147,2.049,0.839,2.214
16,153.603,1.668,5.050,-8.568,0.547,-1.777,1.668,2.438
17,152.516,0.530,5.050,-8.930,-0.007,-2.864,0.530,2.912
18,154.342,1.148,5.050,-8.323,0.294,-1.038,1.148,1.548
19,153.443,1.162,5.050,-8.622,0.300,-1.937,1.162,2.259
20,155.607,0.278,5.050,-7.902,-0.131,0.227,0.278,0.359
21,156.705,2.052,5.000,-7.317,0.754,1.325,2.052,2.443
22,156.361,1.216,5.000,-7.436,0.335,0.981,1.216,1.562
23,153.539,-3.775,5.050,-8.578,-2.104,-1.841,-3.775,4.200
24,154.957,0.819,5.050,-8.119,0.134,-0.423,0.819,0.922
25,153.102,0.887,5.050,-8.736,0.166,-2.279,0.887,2.445
26,153.735,2.573,5.050,-8.522,0.988,-1.645,2.573,3.054
27,153.614,1.521,5.050,-8.565,0.475,-1.767,1.521,2.331
28,154.187,-1.287,5.050,-8.373,-0.894,-1.193,-1.287,1.755
29,153.352,-0.098,5.050,-8.652,-0.313,-2.028,-0.098,2.031
# CEP,2.149,P95,4.200,L_pat,3.306,W_pat,2.573
