sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,136.545,0.777,5.000,-6.924,0.390,-18.835,0.777,18.851
1,134.200,-0.482,5.050,-7.931,-0.236,-21.180,-0.482,21.185
2,136.610,-0.105,5.000,-6.902,-0.052,-18.770,-0.105,18.770
3,135.882,1.736,5.000,-7.148,0.869,-19.498,1.736,19.575
4,131.803,-0.617,5.050,-8.728,-0.300,-23.577,-0.617,23.585
5,133.299,1.713,5.050,-8.229,0.837,-22.081,1.713,22.147
6,134.656,2.007,5.000,-7.564,1.002,-20.724,2.007,20.821
7,132.162,3.000,5.050,-8.604,1.461,-23.218,3.000,23.411
8,131.803,-0.331,5.050,-8.728,-0.161,-23.577,-0.331,23.579
9,135.924,-2.678,5.000,-7.131,-1.341,-19.457,-2.678,19.640
10,134.219,1.861,5.000,-7.713,0.927,-21.162,1.861,21.243
11,132.069,2.248,5.050,-8.637,1.094,-23.311,2.248,23.419
12,134.363,0.886,5.000,-7.666,0.442,-21.017,0.886,21.036
13,132.040,-0.845,5.050,-8.650,-0.412,-23.340,-0.845,23.356
14,134.529,3.918,5.000,-7.599,1.955,-20.851,3.918,21.216
15,132.402,0.541,5.050,-8.530,0.264,-22.979,0.541,22.985
16,136.104,0.787,5.000,-7.074,0.394,-19.276,0.787,19.292
17,130.760,-2.761,5.050,-9.069,-1.340,-24.620,-2.761,24.775
18,134.868,0.887,5.000,-7.494,0.443,-20.512,0.887,20.531
19,133.578,-1.610,5.050,-8.137,-0.787,-21.802,-1.610,21.861
20,135.103,3.861,5.000,-7.405,1.929,-20.277,3.861,20.642
21,133.080,2.530,5.050,-8.300,1.235,-22.300,2.530,22.443
22,132.095,-0.481,5.050,-8.632,-0.234,-23.285,-0.481,23.290
23,136.368,-0.366,5.000,-6.985,-0.183,-19.012,-0.366,19.016
24,130.596,-1.056,5.050,-9.128,-0.512,-24.784,-1.056,24.807
25,135.573,-0.021,5.000,-7.256,-0.011,-19.808,-0.021,19.808
26,134.343,-2.295,5.000,-7.669,-1.144,-21.037,-2.295,21.162
27,136.182,-0.996,5.000,-7.048,-0.499,-19.198,-0.996,19.224
28,137.746,-0.247,5.000,-6.515,-0.124,-17.634,-0.247,17.636
29,127.852,-1.577,5.050,-10.032,-0.759,-27.529,-1.577,27.574
# CEP,21.185,P95,24.775,L_pat,3.884,W_pat,3.000
