sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,155.039,-2.546,5.050,-8.463,-1.026,-0.341,-2.546,2.569
1,152.167,-0.909,5.050,-9.418,-0.226,-3.213,-0.909,3.339
2,154.823,-0.332,5.050,-8.538,0.054,-0.558,-0.332,0.649
3,156.752,-1.543,5.000,-7.685,-0.549,1.372,-1.543,2.064
4,155.100,-2.882,5.050,-8.442,-1.190,-0.280,-2.882,2.895
5,158.956,0.671,5.000,-6.936,0.559,3.576,0.671,3.639
6,159.470,-0.758,5.000,-6.761,-0.159,4.090,-0.758,4.160
7,156.715,0.881,5.050,-7.907,0.648,1.335,0.881,1.600
8,154.764,-0.309,5.050,-8.558,0.065,-0.617,-0.309,0.690
9,156.662,-1.649,5.000,-7.715,-0.601,1.282,-1.649,2.088
10,155.090,-0.595,5.050,-8.449,-0.075,-0.291,-0.595,0.662
11,154.762,-1.385,5.050,-8.558,-0.459,-0.619,-1.385,1.516
12,158.600,-0.583,5.000,-7.058,-0.070,3.220,-0.583,3.272
13,156.244,-2.121,5.050,-8.063,-0.821,0.864,-2.121,2.290
14,159.564,0.140,5.000,-6.729,0.293,4.184,0.140,4.186
15,156.631,-0.244,5.000,-7.726,0.099,1.251,-0.244,1.274
16,156.579,-1.569,5.050,-7.953,-0.552,1.199,-1.569,1.975
17,155.157,0.702,5.050,-8.426,0.558,-0.224,0.702,0.737
18,153.541,-0.650,5.050,-8.963,-0.101,-1.839,-0.650,1.950
19,156.812,-0.163,5.050,-7.876,0.137,1.432,-0.163,1.441
20,156.372,-1.154,5.000,-7.814,-0.355,0.992,-1.154,1.522
21,153.935,2.005,5.050,-8.829,1.190,-1.445,2.005,2.471
22,156.607,-0.052,5.000,-7.734,0.194,1.227,-0.052,1.228
23,154.900,0.813,5.050,-8.512,0.612,-0.480,0.813,0.945
24,160.850,-3.397,5.000,-6.283,-1.490,5.470,-3.397,6.439
25,158.525,0.023,5.000,-7.083,0.233,3.145,0.023,3.145
26,159.536,-0.863,5.000,-6.739,-0.212,4.155,-0.863,4.244
27,157.820,0.223,5.000,-7.323,0.333,2.440,0.223,2.450
28,153.978,1.144,5.050,-8.817,0.771,-1.402,1.144,1.810
29,154.511,1.371,5.050,-8.639,0.883,-0.869,1.371,1.623
# CEP,1.975,P95,4.186,L_pat,3.764,W_pat,2.546
