sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,162.034,-1.790,5.000,-6.407,-0.159,6.654,-1.790,6.890
1,153.129,-1.819,5.050,-9.604,-0.167,-2.251,-1.819,2.894
2,160.425,-0.768,5.000,-6.955,0.354,5.045,-0.768,5.103
3,159.502,-2.586,5.000,-7.269,-0.556,4.122,-2.586,4.866
4,155.118,-2.047,5.050,-8.946,-0.278,-0.263,-2.047,2.064
5,160.011,-0.499,5.000,-7.096,0.489,4.630,-0.499,4.657
6,158.285,0.338,5.050,-7.891,0.888,2.905,0.338,2.924
7,156.503,-2.785,5.050,-8.486,-0.639,1.123,-2.785,3.003
8,155.103,-2.052,5.050,-8.951,-0.281,-0.277,-2.052,2.071
9,162.293,-3.064,5.000,-6.316,-0.802,6.913,-3.064,7.562
10,156.952,-3.126,5.050,-8.336,-0.806,1.571,-3.126,3.499
11,163.489,0.223,5.000,-5.906,0.859,8.109,0.223,8.112
12,160.657,0.105,5.000,-6.875,0.792,5.277,0.105,5.278
13,156.044,-2.074,5.050,-8.639,-0.292,0.664,-2.074,2.178
14,155.330,-2.245,5.050,-8.876,-0.375,-0.050,-2.245,2.245
15,163.186,-0.361,5.000,-6.011,0.563,7.806,-0.361,7.814
16,156.559,-0.064,5.050,-8.467,0.688,1.179,-0.064,1.180
17,156.680,-3.422,5.050,-8.425,-0.950,1.300,-3.422,3.661
18,161.086,-2.497,5.000,-6.730,-0.514,5.706,-2.497,6.228
19,153.686,-0.745,5.050,-9.420,0.353,-1.695,-0.745,1.851
20,157.937,-3.707,5.000,-7.797,-1.112,2.557,-3.707,4.503
21,156.830,-0.243,5.050,-8.377,0.601,1.450,-0.243,1.470
22,159.453,-1.444,5.000,-7.287,0.015,4.072,-1.444,4.321
23,160.223,-2.558,5.000,-7.024,-0.543,4.843,-2.558,5.477
24,156.959,-2.195,5.050,-8.335,-0.352,1.579,-2.195,2.704
25,157.894,-2.047,5.050,-8.024,-0.280,2.514,-2.047,3.242
26,156.481,-1.622,5.050,-8.494,-0.072,1.101,-1.622,1.961
27,158.121,-3.302,5.000,-7.736,-0.911,2.741,-3.302,4.292
28,157.864,-2.388,5.050,-8.033,-0.447,2.484,-2.388,3.446
29,155.855,-2.292,5.050,-8.701,-0.398,0.475,-2.292,2.341
# CEP,3.446,P95,7.562,L_pat,4.570,W_pat,3.302
