sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,152.806,-3.203,5.050,-7.967,-0.989,-2.574,-3.203,4.110
1,150.960,1.422,5.050,-8.579,1.269,-4.420,1.422,4.643
2,154.173,-3.333,5.000,-7.293,-1.075,-1.207,-3.333,3.545
3,153.345,-4.111,5.000,-7.572,-1.461,-2.036,-4.111,4.587
4,151.904,2.178,5.050,-8.262,1.641,-3.476,2.178,4.102
5,152.281,-2.318,5.050,-8.143,-0.554,-3.099,-2.318,3.870
6,152.934,-0.350,5.000,-7.716,0.416,-2.446,-0.350,2.471
7,153.635,-1.433,5.000,-7.479,-0.125,-1.745,-1.433,2.258
8,156.595,-3.938,5.000,-6.465,-1.387,1.215,-3.938,4.121
9,151.665,-1.409,5.050,-8.349,-0.110,-3.716,-1.409,3.974
10,149.167,1.706,5.050,-9.173,1.401,-6.213,1.706,6.443
11,154.326,-1.053,5.000,-7.244,0.065,-1.054,-1.053,1.490
12,149.902,1.342,5.050,-8.930,1.227,-5.478,1.342,5.640
13,151.864,0.969,5.050,-8.280,1.051,-3.516,0.969,3.647
14,153.440,-0.568,5.000,-7.545,0.307,-1.940,-0.568,2.022
15,150.687,-3.557,5.050,-8.671,-1.155,-4.693,-3.557,5.888
16,152.596,2.891,5.000,-7.820,2.029,-2.784,2.891,4.013
17,154.893,1.986,5.000,-7.044,1.589,-0.487,1.986,2.045
18,154.060,0.183,5.000,-7.333,0.683,-1.320,0.183,1.333
19,150.976,-2.063,5.050,-8.578,-0.429,-4.404,-2.063,4.863
20,150.477,0.410,5.050,-8.742,0.775,-4.903,0.410,4.920
21,146.964,-0.856,5.050,-9.905,0.158,-8.416,-0.856,8.459
22,149.802,-0.381,5.050,-8.967,0.390,-5.578,-0.381,5.591
23,151.473,-1.611,5.050,-8.413,-0.208,-3.907,-1.611,4.226
24,152.518,0.381,5.000,-7.856,0.779,-2.862,0.381,2.887
25,154.413,-4.723,5.000,-7.206,-1.771,-0.968,-4.723,4.821
26,153.003,-0.595,5.050,-7.903,0.288,-2.378,-0.595,2.451
27,151.276,-1.477,5.050,-8.479,-0.143,-4.104,-1.477,4.362
28,149.914,-0.007,5.050,-8.930,0.572,-5.467,-0.007,5.467
29,154.465,-4.173,5.000,-7.191,-1.496,-0.915,-4.173,4.272
# CEP,4.110,P95,5.888,L_pat,3.583,W_pat,4.111
