sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,159.010,-1.432,5.000,-6.555,-0.720,3.630,-1.432,3.902
1,155.004,0.644,5.050,-8.125,0.315,-0.377,0.644,0.746
2,153.915,-0.271,5.050,-8.488,-0.132,-1.465,-0.271,1.490
3,155.793,4.861,5.000,-7.635,2.424,0.412,4.861,4.879
4,151.925,-1.901,5.050,-9.145,-0.922,-3.455,-1.901,3.943
5,153.638,-1.169,5.050,-8.579,-0.570,-1.742,-1.169,2.098
6,153.439,-0.798,5.050,-8.646,-0.389,-1.941,-0.798,2.099
7,152.287,-1.450,5.050,-9.027,-0.704,-3.094,-1.450,3.416
8,153.338,1.420,5.050,-8.678,0.691,-2.042,1.420,2.487
9,150.676,-3.525,5.050,-9.552,-1.704,-4.704,-3.525,5.878
10,157.797,-1.089,5.000,-6.970,-0.546,2.416,-1.089,2.650
11,153.768,-1.661,5.050,-8.535,-0.810,-1.612,-1.661,2.315
12,156.294,-0.694,5.000,-7.481,-0.347,0.914,-0.694,1.147
13,155.103,2.565,5.050,-8.088,1.254,-0.277,2.565,2.580
14,157.795,-0.572,5.000,-6.971,-0.287,2.415,-0.572,2.481
15,157.533,1.788,5.000,-7.058,0.896,2.153,1.788,2.798
16,155.297,0.221,5.000,-7.819,0.110,-0.083,0.221,0.236
17,158.501,0.643,5.000,-6.730,0.323,3.121,0.643,3.187
18,152.983,0.475,5.050,-8.797,0.231,-2.397,0.475,2.443
19,157.183,1.430,5.000,-7.178,0.716,1.803,1.430,2.301
20,155.272,0.819,5.050,-8.036,0.401,-0.108,0.819,0.827
21,155.275,2.368,5.000,-7.823,1.179,-0.105,2.368,2.370
22,157.051,-1.130,5.000,-7.224,-0.565,1.671,-1.130,2.017
23,153.789,0.211,5.050,-8.530,0.103,-1.591,0.211,1.605
24,157.332,0.461,5.000,-7.129,0.231,1.951,0.461,2.005
25,156.901,-0.335,5.000,-7.275,-0.168,1.521,-0.335,1.557
26,155.659,-1.218,5.050,-7.906,-0.596,0.279,-1.218,1.249
27,154.983,-1.683,5.050,-8.131,-0.823,-0.397,-1.683,1.729
28,155.734,-1.662,5.000,-7.669,-0.829,0.354,-1.662,1.699
29,154.280,-0.317,5.050,-8.366,-0.155,-1.100,-0.317,1.145
# CEP,2.099,P95,3.943,L_pat,3.744,W_pat,2.565
