sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,150.972,1.740,4.950,0.391,3.898,-4.409,1.740,4.740
1,167.300,2.771,4.950,6.591,4.752,11.920,2.771,12.238
2,154.433,-6.839,4.950,1.620,-0.780,-0.947,-6.839,6.904
3,145.553,-5.425,5.000,-1.942,-0.001,-9.827,-5.425,11.225
4,156.728,7.985,4.950,2.661,7.430,1.348,7.985,8.098
5,147.236,3.660,5.000,-1.272,4.780,-8.144,3.660,8.929
6,160.337,0.999,4.950,3.877,3.620,4.956,0.999,5.056
7,143.172,-0.606,5.000,-2.763,2.505,-12.208,-0.606,12.223
8,166.601,5.329,4.950,6.378,6.208,11.221,5.329,12.422
9,158.062,0.495,4.950,3.010,3.307,2.682,0.495,2.727
10,150.624,-5.355,4.950,0.214,0.038,-4.756,-5.355,7.162
11,155.710,-4.815,4.950,2.092,0.338,0.330,-4.815,4.826
12,158.208,4.780,4.950,3.140,5.695,2.828,4.780,5.553
13,148.347,4.041,5.000,-0.869,4.999,-7.033,4.041,8.111
14,157.585,-3.367,4.950,2.798,1.148,2.205,-3.367,4.024
15,142.287,-1.907,5.000,-3.083,1.823,-13.093,-1.907,13.231
16,160.511,1.307,4.950,3.948,3.796,5.131,1.307,5.295
17,162.116,-6.781,4.950,4.509,-0.771,6.736,-6.781,9.558
18,152.327,5.137,4.950,0.950,5.767,-3.053,5.137,5.976
19,158.153,-7.383,4.950,3.011,-1.096,2.773,-7.383,7.886
20,146.412,7.230,5.000,-1.500,6.633,-8.968,7.230,11.519
21,168.583,3.537,4.950,7.111,5.223,13.203,3.537,13.668
22,157.898,3.148,4.950,2.990,4.782,2.518,3.148,4.031
23,160.267,-6.904,4.950,3.807,-0.835,4.887,-6.904,8.458
24,149.972,-9.839,4.950,-0.006,-2.395,-5.408,-9.839,11.227
25,155.557,1.003,4.950,2.078,3.556,0.176,1.003,1.018
26,151.518,3.426,4.950,0.618,4.822,-3.863,3.426,5.163
27,159.727,-11.348,4.950,3.639,-3.332,4.347,-11.348,12.152
28,151.319,0.336,4.950,0.501,3.139,-4.062,0.336,4.076
29,150.015,2.934,5.000,-0.287,4.441,-5.365,2.934,6.115
# CEP,7.162,P95,12.422,L_pat,11.920,W_pat,7.985
