sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,160.184,-7.698,4.950,4.617,-1.044,4.803,-7.698,9.074
1,160.103,3.178,4.950,4.677,5.132,4.723,3.178,5.693
2,150.878,-4.673,4.950,1.121,0.653,-4.502,-4.673,6.489
3,157.284,3.492,4.950,3.609,5.250,1.904,3.492,3.978
4,157.432,-9.580,4.950,3.583,-2.091,2.051,-9.580,9.797
5,157.542,-4.496,4.950,3.612,0.769,2.162,-4.496,4.989
6,148.270,-1.863,5.000,-0.169,2.131,-7.110,-1.863,7.350
7,144.024,-1.209,5.000,-1.682,2.444,-11.356,-1.209,11.420
8,146.216,1.659,5.000,-0.869,3.976,-9.164,1.659,9.313
9,140.891,6.748,5.000,-2.677,6.541,-14.489,6.748,15.983
10,149.839,-8.866,4.950,0.746,-1.641,-5.542,-8.866,10.455
11,145.641,-8.346,5.000,-1.120,-1.311,-9.739,-8.346,12.827
12,151.693,-4.064,4.950,1.425,0.990,-3.687,-4.064,5.487
13,162.563,-7.505,4.950,5.530,-0.944,7.183,-7.505,10.389
14,158.329,-1.466,4.950,3.929,2.482,2.948,-1.466,3.293
15,147.640,-4.590,4.950,-0.067,0.691,-7.740,-4.590,8.999
16,161.374,1.666,4.950,5.136,4.299,5.993,1.666,6.221
17,153.303,-3.262,4.950,2.026,1.440,-2.077,-3.262,3.867
18,139.562,-3.394,5.000,-3.269,1.278,-15.818,-3.394,16.178
19,159.657,-3.969,4.950,4.416,1.075,4.277,-3.969,5.835
20,142.467,-0.882,5.000,-2.231,2.602,-12.914,-0.882,12.944
21,144.989,6.129,5.000,-1.232,6.304,-10.391,6.129,12.064
22,159.550,-0.971,4.950,4.399,2.774,4.170,-0.971,4.282
23,149.097,-3.467,4.950,0.470,1.306,-6.283,-3.467,7.177
24,149.428,8.174,4.950,0.778,7.633,-5.952,8.174,10.111
25,146.765,3.909,5.000,-0.638,5.172,-8.615,3.909,9.461
26,177.623,1.650,4.900,12.223,4.744,22.243,1.650,22.304
27,141.068,-1.211,5.000,-2.727,2.419,-14.313,-1.211,14.364
28,152.308,-8.697,4.950,1.657,-1.563,-3.072,-8.697,9.224
29,143.401,7.652,5.000,-1.766,7.064,-11.979,7.652,14.215
# CEP,9.224,P95,15.983,L_pat,15.526,W_pat,8.697
