sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,144.071,-9.763,5.000,-1.466,-1.120,-11.309,-9.763,14.940
1,152.822,0.078,4.950,2.126,4.268,-2.558,0.078,2.560
2,147.241,-7.992,4.950,0.005,-0.193,-8.139,-7.992,11.407
3,152.829,0.240,4.950,2.132,4.357,-2.551,0.240,2.562
4,152.413,-4.696,4.950,1.921,1.626,-2.967,-4.696,5.555
5,169.443,-7.436,4.900,8.980,0.121,14.062,-7.436,15.907
6,148.988,-8.668,4.950,0.647,-0.564,-6.392,-8.668,10.770
7,162.715,3.880,4.950,5.980,6.615,7.334,3.880,8.298
8,166.244,1.838,4.900,7.813,5.661,10.864,1.838,11.018
9,158.555,-10.100,4.950,4.229,-1.396,3.175,-10.100,10.588
10,146.661,-10.598,5.000,-0.537,-1.573,-8.719,-10.598,13.724
11,132.742,7.868,5.000,-5.256,7.852,-22.638,7.868,23.966
12,148.083,-2.204,4.950,0.342,2.955,-7.298,-2.204,7.623
13,133.107,-5.833,5.000,-5.306,0.917,-22.274,-5.833,23.025
14,156.651,-6.373,4.950,3.502,0.710,1.271,-6.373,6.499
15,135.509,1.728,5.000,-4.409,4.791,-19.872,1.728,19.947
16,154.050,-5.198,4.950,2.529,1.357,-1.330,-5.198,5.365
17,141.511,4.819,5.000,-2.247,6.486,-13.870,4.819,14.683
18,160.558,-5.808,4.950,4.991,1.044,5.177,-5.808,7.780
19,147.376,-2.062,4.950,0.085,3.025,-8.004,-2.062,8.266
20,147.183,-13.326,4.950,0.015,-3.086,-8.198,-13.326,15.646
21,164.580,-4.520,4.950,6.554,1.810,9.200,-4.520,10.250
22,140.792,-7.028,5.000,-2.630,0.316,-14.588,-7.028,16.193
23,148.911,-11.929,4.950,0.636,-2.344,-6.469,-11.929,13.571
24,150.031,-0.683,4.950,1.078,3.808,-5.349,-0.683,5.392
25,158.346,-3.867,4.950,4.159,2.133,2.966,-3.867,4.874
26,150.515,-8.937,4.950,1.210,-0.715,-4.865,-8.937,10.176
27,157.702,-1.696,4.950,3.938,3.351,2.321,-1.696,2.875
28,148.018,-8.377,4.950,0.290,-0.403,-7.362,-8.377,11.152
29,160.369,-7.013,4.950,4.915,0.355,4.989,-7.013,8.607
# CEP,10.250,P95,19.947,L_pat,14.484,W_pat,10.598
