sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,146.862,3.789,5.000,-1.404,4.842,-8.518,3.789,9.323
1,146.113,-2.431,5.000,-1.736,1.571,-9.267,-2.431,9.581
2,161.799,-13.252,4.950,4.457,-4.436,6.418,-13.252,14.724
3,149.429,-8.861,5.000,-0.550,-1.825,-5.951,-8.861,10.674
4,148.004,-2.486,5.000,-1.063,1.552,-7.377,-2.486,7.784
5,168.904,-14.785,4.950,7.247,-5.463,13.524,-14.785,20.037
6,145.933,-3.262,5.000,-1.803,1.134,-9.447,-3.262,9.995
7,168.373,3.426,4.900,7.522,5.273,12.993,3.426,13.437
8,149.116,-6.001,5.000,-0.673,-0.306,-6.264,-6.001,8.675
9,160.443,5.961,4.950,4.016,6.407,5.063,5.961,7.821
10,151.704,-1.910,4.950,0.622,1.918,-3.676,-1.910,4.143
11,144.536,5.338,5.000,-2.205,5.611,-10.844,5.338,12.087
12,157.820,-8.388,4.950,2.891,-1.656,2.440,-8.388,8.736
13,146.985,-12.156,5.000,-1.394,-3.543,-8.395,-12.156,14.773
14,156.201,-1.984,4.950,2.288,1.909,0.820,-1.984,2.147
15,153.942,1.141,4.950,1.479,3.611,-1.439,1.141,1.836
16,165.591,-4.556,4.950,5.843,0.500,10.210,-4.556,11.181
17,156.207,3.331,4.950,2.358,4.852,0.827,3.331,3.432
18,156.546,7.332,4.950,2.575,7.066,1.165,7.332,7.425
19,154.442,0.095,4.950,1.652,3.042,-0.938,0.095,0.943
20,151.650,-3.637,4.950,0.593,0.976,-3.730,-3.637,5.210
21,147.994,20.497,5.000,-0.503,13.542,-7.386,20.497,21.787
22,167.435,-6.237,4.900,7.041,-0.484,12.055,-6.237,13.573
23,163.359,-4.554,4.950,4.983,0.497,7.979,-4.554,9.187
24,162.575,1.615,4.950,4.740,4.003,7.194,1.615,7.373
25,141.379,-8.006,5.000,-3.406,-1.336,-14.001,-8.006,16.128
26,153.860,1.912,4.950,1.460,4.033,-1.520,1.912,2.443
27,167.442,-2.570,4.950,6.572,1.658,12.062,-2.570,12.333
28,160.378,-5.334,4.950,3.846,0.051,4.998,-5.334,7.310
29,153.125,4.657,4.950,1.235,5.521,-2.255,4.657,5.174
# CEP,8.736,P95,16.128,L_pat,15.589,W_pat,13.252
