sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,164.296,-5.328,4.950,3.703,-0.120,8.916,-5.328,10.387
1,142.311,-3.976,5.000,-4.583,0.582,-13.070,-3.976,13.661
2,159.881,12.112,4.950,2.350,9.481,4.501,12.112,12.922
3,161.697,6.681,4.950,2.873,6.558,6.316,6.681,9.194
4,156.176,-5.526,4.950,0.675,-0.225,0.795,-5.526,5.583
5,161.285,1.238,4.950,2.613,3.534,5.905,1.238,6.033
6,150.935,-0.465,5.000,-1.538,2.444,-4.446,-0.465,4.470
7,164.125,4.903,4.950,3.750,5.627,8.745,4.903,10.026
8,153.835,1.856,5.000,-0.477,3.698,-1.546,1.856,2.415
9,165.921,-2.503,4.950,4.328,1.481,10.541,-2.503,10.834
10,151.371,5.174,5.000,-1.309,5.409,-4.009,5.174,6.546
11,171.054,4.682,4.950,6.415,5.662,15.674,4.682,16.358
12,143.592,2.353,5.000,-4.095,3.833,-11.788,2.353,12.021
13,161.542,0.531,4.950,2.700,3.144,6.162,0.531,6.185
14,163.580,-7.499,4.950,3.439,-1.340,8.200,-7.499,11.112
15,146.727,7.451,5.000,-2.914,6.504,-8.654,7.451,11.420
16,151.108,-0.558,5.000,-1.477,2.397,-4.272,-0.558,4.309
17,154.241,-7.023,5.000,-0.372,-1.015,-1.139,-7.023,7.115
18,160.379,-3.469,4.950,2.234,0.913,4.999,-3.469,6.085
19,157.710,5.082,4.950,1.345,5.590,2.330,5.082,5.591
20,161.762,-2.102,4.950,2.758,1.680,6.382,-2.102,6.719
21,162.737,-5.064,4.950,3.115,0.028,7.357,-5.064,8.931
22,166.390,0.365,4.950,4.534,3.111,11.010,0.365,11.016
23,157.038,-1.116,4.950,1.008,2.191,1.658,-1.116,1.998
24,178.196,-5.075,4.900,9.652,0.024,22.816,-5.075,23.373
25,167.938,3.503,4.950,5.179,4.919,12.557,3.503,13.037
26,168.271,3.685,4.950,5.312,5.029,12.891,3.685,13.407
27,158.996,-0.589,4.950,1.738,2.497,3.616,-0.589,3.664
28,161.059,7.275,4.950,2.647,6.869,5.679,7.275,9.229
29,157.239,2.244,4.950,1.121,4.031,1.859,2.244,2.914
# CEP,8.931,P95,13.661,L_pat,12.926,W_pat,7.451
