sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,153.903,-4.661,4.950,1.937,-0.528,-1.477,-4.661,4.889
1,161.490,5.848,4.950,4.905,5.434,6.110,5.848,8.457
2,154.178,8.428,4.950,2.191,6.699,-1.202,8.428,8.513
3,163.836,1.378,4.950,5.731,2.925,8.456,1.378,8.567
4,158.782,2.488,4.950,3.810,3.489,3.402,2.488,4.215
5,157.777,-0.196,4.950,3.401,1.970,2.397,-0.196,2.405
6,152.204,2.892,4.950,1.350,3.624,-3.176,2.892,4.295
7,150.410,6.476,4.950,0.746,5.550,-4.970,6.476,8.163
8,170.801,-0.228,4.900,8.970,2.115,15.420,-0.228,15.422
9,163.890,7.480,4.950,5.873,6.420,8.509,7.480,11.330
10,153.592,8.526,4.950,1.974,6.738,-1.788,8.526,8.711
11,144.433,1.282,5.000,-1.826,2.615,-10.947,1.282,11.022
12,146.858,-0.203,5.000,-0.974,1.852,-8.522,-0.203,8.524
13,147.143,3.817,5.000,-0.833,3.978,-8.237,3.817,9.079
14,155.646,4.955,4.950,2.666,4.816,0.266,4.955,4.962
15,165.729,2.310,4.950,6.480,3.489,10.349,2.310,10.603
16,171.755,-5.743,4.900,9.348,-1.245,16.375,-5.743,17.353
17,152.198,-6.581,4.950,1.312,-1.580,-3.182,-6.581,7.310
18,152.935,-8.010,4.950,1.595,-2.372,-2.445,-8.010,8.375
19,154.594,8.083,4.950,2.338,6.520,-0.786,8.083,8.121
20,150.619,2.689,4.950,0.761,3.493,-4.761,2.689,5.468
21,164.712,-2.096,4.950,6.042,0.930,9.332,-2.096,9.564
22,152.796,-5.972,4.950,1.530,-1.249,-2.584,-5.972,6.507
23,168.669,10.927,4.900,8.389,8.748,13.289,10.927,17.205
24,168.655,6.965,4.900,8.244,6.400,13.275,6.965,14.991
25,153.188,8.168,4.950,1.814,6.533,-2.192,8.168,8.457
26,160.115,-1.173,4.950,4.280,1.436,4.735,-1.173,4.878
27,170.709,-10.029,4.900,8.974,-3.840,15.329,-10.029,18.319
28,148.698,21.630,5.000,0.237,13.331,-6.683,21.630,22.639
29,172.912,-1.393,4.900,9.824,1.422,17.532,-1.393,17.587
# CEP,8.513,P95,17.587,L_pat,15.110,W_pat,10.029
