sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,165.418,4.069,4.950,3.751,2.293,10.038,4.069,10.831
1,145.825,10.757,5.000,-3.633,5.538,-9.555,10.757,14.388
2,169.205,-3.885,4.950,5.195,-2.223,13.825,-3.885,14.361
3,144.464,11.872,5.000,-4.089,6.085,-10.916,11.872,16.128
4,167.777,6.894,4.950,4.685,3.919,12.397,6.894,14.185
5,176.370,1.370,4.900,8.485,0.829,20.990,1.370,21.034
6,161.040,1.685,4.950,2.091,0.933,5.660,1.685,5.906
7,162.500,7.178,4.950,2.689,3.995,7.120,7.178,10.110
8,164.293,-10.476,4.950,3.428,-5.864,8.913,-10.476,13.755
9,169.573,-1.542,4.950,5.321,-0.884,14.193,-1.542,14.276
10,164.802,3.020,4.950,3.510,1.698,9.422,3.020,9.894
11,168.642,11.067,4.950,5.105,6.301,13.262,11.067,17.273
12,168.510,5.338,4.950,4.943,3.045,13.129,5.338,14.173
13,137.621,5.203,5.000,-6.538,2.618,-17.759,5.203,18.506
14,165.344,6.959,4.950,3.758,3.917,9.964,6.959,12.154
15,156.736,12.759,4.950,0.655,6.937,1.355,12.759,12.831
16,166.563,5.833,4.950,4.205,3.300,11.182,5.833,12.612
17,174.981,6.018,4.900,7.973,3.612,19.601,6.018,20.504
18,175.725,1.688,4.900,8.226,1.018,20.345,1.688,20.415
19,171.662,4.300,4.950,6.148,2.486,16.282,4.300,16.840
20,165.709,5.489,4.950,3.876,3.095,10.328,5.489,11.696
21,161.315,0.222,4.950,2.191,0.123,5.934,0.222,5.939
22,160.130,7.021,4.950,1.800,3.873,4.749,7.021,8.477
23,164.925,5.984,4.950,3.586,3.363,9.545,5.984,11.265
24,162.585,10.791,4.950,2.790,5.999,7.205,10.791,12.975
25,158.585,16.738,4.950,1.455,9.138,3.205,16.738,17.042
26,151.322,11.086,5.000,-1.685,5.807,-4.058,11.086,11.805
27,154.470,12.291,5.000,-0.533,6.502,-0.910,12.291,12.324
28,163.737,14.740,4.950,3.332,8.212,8.357,14.740,16.944
29,155.695,2.683,4.950,0.122,1.458,0.315,2.683,2.702
# CEP,12.975,P95,20.415,L_pat,12.947,W_pat,12.759
