sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,147.793,3.378,5.000,-0.128,5.615,-7.587,3.378,8.305
1,155.736,0.815,4.950,3.130,4.472,0.356,0.815,0.890
2,148.391,3.626,5.000,0.093,5.758,-6.989,3.626,7.874
3,155.058,-0.830,4.950,2.849,3.545,-0.322,-0.830,0.890
4,151.359,-11.843,4.950,1.449,-2.562,-4.021,-11.843,12.507
5,167.569,-1.356,4.900,8.167,3.508,12.189,-1.356,12.264
6,149.779,-3.257,4.950,0.859,2.149,-5.601,-3.257,6.479
7,146.183,-8.931,5.000,-0.804,-0.924,-9.197,-8.931,12.820
8,157.693,-3.791,4.950,3.811,1.915,2.313,-3.791,4.441
9,141.721,-6.953,5.000,-2.392,0.122,-13.659,-6.953,15.327
10,141.214,8.448,5.000,-2.370,8.116,-14.167,8.448,16.494
11,164.695,4.687,4.950,6.665,6.869,9.314,4.687,10.427
12,162.494,-5.647,4.950,5.637,0.886,7.114,-5.647,9.083
13,137.127,2.378,5.000,-3.931,4.913,-18.254,2.378,18.408
14,148.810,-6.169,4.950,0.488,0.554,-6.570,-6.169,9.013
15,147.189,-0.828,4.950,-0.068,3.445,-8.191,-0.828,8.233
16,154.885,-13.495,4.950,2.783,-3.516,-0.495,-13.495,13.504
17,162.833,-1.527,4.950,5.805,3.258,7.453,-1.527,7.608
18,151.703,-8.176,4.950,1.555,-0.545,-3.677,-8.176,8.964
19,158.683,-1.185,4.950,4.215,3.396,3.303,-1.185,3.509
20,148.494,-1.596,4.950,0.401,3.043,-6.886,-1.596,7.069
21,157.179,-1.546,4.950,3.639,3.173,1.798,-1.546,2.371
22,162.231,0.193,4.950,5.599,4.235,6.851,0.193,6.853
23,147.285,-5.000,4.950,-0.067,1.185,-8.095,-5.000,9.515
24,136.768,-6.251,5.000,-4.127,0.481,-18.612,-6.251,19.634
25,145.731,-2.070,5.000,-0.945,2.705,-9.649,-2.070,9.869
26,165.436,-9.418,4.950,6.783,-1.301,10.056,-9.418,13.777
27,160.978,5.243,4.950,5.233,7.077,5.598,5.243,7.670
28,157.222,-1.186,4.950,3.660,3.375,1.842,-1.186,2.191
29,149.085,-6.748,4.950,0.588,0.239,-6.295,-6.748,9.229
# CEP,8.964,P95,16.494,L_pat,14.795,W_pat,9.418
