sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,150.863,-3.467,4.950,2.331,2.205,-4.518,-3.467,5.694
1,149.099,2.506,4.950,1.760,5.475,-6.281,2.506,6.762
2,149.302,2.303,4.950,1.831,5.368,-6.078,2.303,6.500
3,147.395,-2.125,4.950,1.056,2.911,-7.985,-2.125,8.263
4,154.152,-3.007,4.950,3.572,2.492,-1.228,-3.007,3.248
5,142.533,6.357,5.000,-0.913,7.265,-12.848,6.357,14.334
6,156.018,-8.524,4.950,4.259,-0.615,0.638,-8.524,8.547
7,147.511,-1.442,4.950,1.107,3.286,-7.870,-1.442,8.001
8,157.503,-5.004,4.950,4.832,1.388,2.123,-5.004,5.435
9,151.008,-2.073,4.950,2.400,2.980,-4.372,-2.073,4.839
10,143.214,1.934,5.000,-0.759,4.955,-12.166,1.934,12.319
11,144.561,6.933,5.000,-0.168,7.617,-10.820,6.933,12.850
12,152.041,-6.268,4.950,2.757,0.653,-3.340,-6.268,7.102
13,146.061,-4.274,4.950,0.547,1.726,-9.320,-4.274,10.253
14,142.584,-8.100,5.000,-1.061,-0.350,-12.796,-8.100,15.144
15,145.583,-4.742,4.950,0.369,1.468,-9.797,-4.742,10.884
16,148.999,-3.919,4.950,1.634,1.940,-6.381,-3.919,7.488
17,162.541,-2.074,4.950,6.810,3.123,7.160,-2.074,7.455
18,159.143,0.338,4.950,5.528,4.458,3.763,0.338,3.778
19,140.372,-2.780,5.000,-1.830,2.443,-15.008,-2.780,15.263
20,155.013,2.712,4.950,3.992,5.716,-0.367,2.712,2.737
21,132.950,4.658,5.000,-4.339,6.185,-22.431,4.658,22.909
22,162.516,-2.630,4.950,6.793,2.800,7.136,-2.630,7.605
23,147.421,10.608,4.950,1.357,9.831,-7.959,10.608,13.262
24,149.818,-4.644,4.950,1.933,1.546,-5.563,-4.644,7.246
25,152.501,0.242,4.950,2.992,4.287,-2.879,0.242,2.890
26,155.496,13.686,4.950,4.551,11.821,0.116,13.686,13.686
27,140.639,2.770,5.000,-1.665,5.350,-14.741,2.770,15.000
28,147.665,1.180,4.950,1.202,4.723,-7.715,1.180,7.805
29,146.580,-3.500,4.950,0.743,2.152,-8.801,-3.500,9.471
# CEP,7.805,P95,15.144,L_pat,11.799,W_pat,8.524
