sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,157.489,-6.819,4.950,2.759,-0.778,2.109,-6.819,7.137
1,159.373,-0.373,4.950,3.494,2.837,3.993,-0.373,4.010
2,140.733,-6.534,5.000,-3.637,-0.573,-14.648,-6.534,16.039
3,159.799,-1.615,4.950,3.643,2.144,4.419,-1.615,4.705
4,162.387,-0.272,4.950,4.641,2.929,7.006,-0.272,7.012
5,157.285,2.577,4.950,2.749,4.454,1.905,2.577,3.205
6,167.902,-5.316,4.900,7.226,0.064,12.522,-5.316,13.603
7,168.887,-1.701,4.900,7.639,2.228,13.507,-1.701,13.614
8,156.473,-7.498,4.950,2.381,-1.153,1.093,-7.498,7.577
9,156.611,2.375,4.950,2.493,4.331,1.231,2.375,2.675
10,164.670,2.334,4.950,5.560,4.449,9.290,2.334,9.579
11,161.563,-2.311,4.950,4.307,1.764,6.182,-2.311,6.600
12,142.229,-5.038,5.000,-3.114,0.200,-13.151,-5.038,14.083
13,157.911,-8.359,4.950,2.925,-1.640,2.531,-8.359,8.734
14,144.481,1.532,5.000,-2.281,3.630,-10.900,1.532,11.007
15,137.970,-1.204,5.000,-4.585,2.159,-17.410,-1.204,17.451
16,146.493,3.275,5.000,-1.543,4.567,-8.888,3.275,9.472
17,151.122,1.566,4.950,0.444,3.805,-4.258,1.566,4.537
18,156.679,6.184,4.950,2.596,6.437,1.299,6.184,6.319
19,153.372,1.485,4.950,1.273,3.792,-2.008,1.485,2.498
20,131.216,-1.243,5.000,-6.908,2.097,-24.164,-1.243,24.196
21,157.800,-4.316,4.950,2.875,0.619,2.420,-4.316,4.949
22,148.000,-0.945,5.000,-1.054,2.366,-7.380,-0.945,7.441
23,147.941,-0.246,5.000,-1.069,2.734,-7.439,-0.246,7.444
24,147.327,-12.662,5.000,-1.266,-3.813,-8.053,-12.662,15.006
25,151.236,1.066,4.950,0.479,3.534,-4.144,1.066,4.279
26,158.285,-7.380,4.950,3.060,-1.095,2.905,-7.380,7.932
27,149.158,0.805,5.000,-0.623,3.302,-6.222,0.805,6.274
28,154.545,6.214,4.950,1.797,6.403,-0.836,6.214,6.270
29,160.733,-5.538,4.950,3.981,-0.064,5.352,-5.538,7.702
# CEP,7.441,P95,16.039,L_pat,13.307,W_pat,7.498
