sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,168.798,-1.211,5.850,2.364,3.570,-2.379,-1.211,2.670
1,171.941,-0.175,5.850,3.304,4.039,0.763,-0.175,0.783
2,167.771,0.022,5.850,2.074,4.076,-3.406,0.022,3.406
3,174.128,-3.216,5.850,3.927,2.769,2.950,-3.216,4.364
4,176.650,-2.354,5.850,4.690,3.158,5.473,-2.354,5.957
5,169.446,4.167,5.850,2.622,5.833,-1.732,4.167,4.512
6,169.583,2.482,5.850,2.638,5.129,-1.594,2.482,2.950
7,172.054,-6.418,5.850,3.291,1.395,0.876,-6.418,6.477
8,173.316,2.439,5.850,3.746,5.162,2.139,2.439,3.243
9,166.159,3.946,5.850,1.650,5.691,-5.018,3.946,6.384
10,171.450,1.650,5.850,3.180,4.803,0.272,1.650,1.672
11,165.768,-2.063,5.850,1.467,3.188,-5.410,-2.063,5.790
12,164.116,-1.381,5.850,0.991,3.457,-7.062,-1.381,7.196
13,175.176,-2.906,5.850,4.243,2.909,3.999,-2.906,4.943
14,172.320,-4.513,5.850,3.380,2.205,1.142,-4.513,4.655
15,169.215,-1.988,5.850,2.480,3.248,-1.963,-1.988,2.794
16,180.578,2.853,5.850,5.944,5.448,9.401,2.853,9.824
17,170.139,-4.395,5.850,2.735,2.241,-1.038,-4.395,4.516
18,176.672,-0.890,5.850,4.711,3.786,5.495,-0.890,5.567
19,172.150,5.413,5.850,3.445,6.400,0.973,5.413,5.500
20,172.067,-0.480,5.850,3.338,3.911,0.890,-0.480,1.011
21,166.849,5.985,5.850,1.885,6.549,-4.329,5.985,7.386
22,171.974,6.173,5.850,3.406,6.716,0.796,6.173,6.224
23,163.678,-6.111,5.850,0.834,1.492,-7.499,-6.111,9.674
24,177.925,-0.342,5.850,5.095,4.035,6.747,-0.342,6.756
25,170.480,-4.581,5.850,2.834,2.165,-0.697,-4.581,4.634
26,170.203,-1.891,5.850,2.772,3.298,-0.974,-1.891,2.127
27,167.532,0.683,5.850,2.011,4.350,-3.645,0.683,3.708
28,171.333,-4.548,5.850,3.087,2.184,0.156,-4.548,4.551
29,169.596,2.797,5.850,2.646,5.261,-1.581,2.797,3.213
# CEP,4.551,P95,7.386,L_pat,5.783,W_pat,6.111
