sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,173.289,4.238,5.850,3.684,5.817,2.111,4.238,4.734
1,170.994,-1.696,5.850,2.929,3.283,-0.183,-1.696,1.706
2,170.526,-4.128,5.850,2.773,2.253,-0.651,-4.128,4.179
3,177.620,-5.055,5.850,4.883,1.899,6.442,-5.055,8.189
4,166.261,4.280,5.850,1.605,5.728,-4.916,4.280,6.518
5,166.106,-2.322,5.850,1.486,2.980,-5.071,-2.322,5.577
6,167.448,-4.656,5.850,1.864,2.014,-3.729,-4.656,5.965
7,171.307,3.139,5.850,3.078,5.324,0.129,3.139,3.142
8,166.459,-1.125,5.850,1.600,3.482,-4.718,-1.125,4.850
9,170.365,-2.435,5.850,2.737,2.966,-0.813,-2.435,2.567
10,171.370,3.850,5.850,3.107,5.624,0.192,3.850,3.854
11,178.819,1.401,5.850,5.306,4.689,7.641,1.401,7.769
12,171.174,0.253,5.850,3.002,4.107,-0.003,0.253,0.253
13,168.928,-3.101,5.850,2.308,2.675,-2.250,-3.101,3.831
14,167.876,-0.005,5.850,2.026,3.963,-3.302,-0.005,3.302
15,166.688,-2.519,5.850,1.655,2.902,-4.489,-2.519,5.148
16,178.175,1.939,5.850,5.118,4.911,6.997,1.939,7.261
17,176.896,2.888,5.850,4.746,5.299,5.719,2.888,6.407
18,166.924,-2.361,5.850,1.725,2.970,-4.253,-2.361,4.865
19,173.240,7.605,5.850,3.729,7.236,2.062,7.605,7.879
20,178.469,-0.262,5.850,5.179,3.969,7.292,-0.262,7.296
21,172.434,-3.087,5.850,3.345,2.707,1.256,-3.087,3.332
22,176.171,-1.596,5.850,4.473,3.373,4.994,-1.596,5.243
23,167.920,-2.207,5.850,2.019,3.042,-3.258,-2.207,3.935
24,169.645,-2.595,5.850,2.523,2.893,-1.532,-2.595,3.014
25,181.364,-3.361,5.800,6.353,2.704,10.186,-3.361,10.727
26,172.338,2.806,5.850,3.379,5.198,1.161,2.806,3.037
27,172.445,-4.467,5.850,3.339,2.121,1.267,-4.467,4.643
28,175.238,-5.807,5.850,4.164,1.565,4.061,-5.807,7.086
29,168.492,-0.348,5.850,2.204,3.826,-2.685,-0.348,2.708
# CEP,4.734,P95,7.879,L_pat,8.723,W_pat,5.055
