sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,174.448,1.620,5.850,4.413,4.865,3.270,1.620,3.650
1,178.922,-5.888,5.800,6.013,1.707,7.745,-5.888,9.729
2,176.379,-2.437,5.850,4.948,3.150,5.202,-2.437,5.744
3,162.071,-2.356,5.850,0.717,3.065,-9.106,-2.356,9.406
4,172.194,0.164,5.850,3.720,4.218,1.017,0.164,1.030
5,166.281,-5.124,5.850,1.927,1.940,-4.897,-5.124,7.087
6,166.461,-2.609,5.850,1.997,2.994,-4.716,-2.609,5.390
7,159.243,-1.025,5.900,-0.318,3.534,-11.934,-1.025,11.978
8,163.694,-0.188,5.850,1.208,3.978,-7.484,-0.188,7.486
9,171.419,-1.215,5.850,3.474,3.625,0.241,-1.215,1.239
10,166.857,-4.469,5.850,2.100,2.217,-4.320,-4.469,6.216
11,186.134,-0.155,5.800,8.317,4.331,14.957,-0.155,14.958
12,165.536,3.973,5.850,1.799,5.729,-5.642,3.973,6.900
13,171.464,-3.849,5.850,3.465,2.508,0.287,-3.849,3.860
14,174.352,3.202,5.850,4.407,5.538,3.174,3.202,4.509
15,167.918,4.546,5.850,2.510,6.005,-3.259,4.546,5.594
16,171.836,-5.570,5.850,3.566,1.779,0.659,-5.570,5.609
17,164.419,1.063,5.850,1.434,4.506,-6.758,1.063,6.841
18,171.921,-1.473,5.850,3.621,3.520,0.744,-1.473,1.650
19,174.703,4.120,5.850,4.527,5.934,3.526,4.120,5.422
20,169.548,-1.046,5.850,2.920,3.678,-1.629,-1.046,1.936
21,169.989,-0.308,5.850,3.059,3.994,-1.189,-0.308,1.228
22,162.992,-7.843,5.850,0.958,0.794,-8.185,-7.843,11.336
23,177.507,0.703,5.850,5.323,4.514,6.330,0.703,6.369
24,171.238,-0.814,5.850,3.424,3.793,0.060,-0.814,0.816
25,163.184,-3.323,5.850,1.033,2.672,-7.993,-3.323,8.656
26,172.829,-2.276,5.850,3.884,3.188,1.651,-2.276,2.812
27,172.872,-4.854,5.850,3.878,2.090,1.695,-4.854,5.141
28,162.786,4.574,5.850,1.003,5.938,-8.391,4.574,9.557
29,165.352,-4.670,5.850,1.658,2.125,-5.825,-4.670,7.466
# CEP,5.609,P95,11.336,L_pat,10.658,W_pat,5.570
