sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,169.772,1.013,5.850,3.883,5.838,-1.405,1.013,1.732
1,162.867,-1.748,5.850,1.799,4.583,-8.310,-1.748,8.492
2,175.014,-2.206,5.850,5.415,4.541,3.836,-2.206,4.425
3,170.929,-4.391,5.850,4.159,3.557,-0.248,-4.391,4.398
4,170.877,-11.152,5.850,4.104,0.669,-0.300,-11.152,11.156
5,166.567,-7.406,5.850,2.838,2.243,-4.610,-7.406,8.723
6,174.393,0.187,5.850,5.261,5.560,3.215,0.187,3.221
7,166.772,-3.112,5.850,2.935,4.056,-4.405,-3.112,5.393
8,170.265,0.662,5.850,4.025,5.698,-0.913,0.662,1.128
9,168.179,1.443,5.850,3.414,5.995,-2.998,1.443,3.328
10,169.823,-0.055,5.850,3.882,5.387,-1.355,-0.055,1.356
11,165.856,1.065,5.850,2.718,5.799,-5.322,1.065,5.427
12,167.450,2.558,5.850,3.216,6.451,-3.727,2.558,4.521
13,177.288,-6.587,5.800,6.386,2.716,6.111,-6.587,8.985
14,178.200,-1.009,5.800,6.737,5.194,7.023,-1.009,7.095
15,165.427,4.233,5.850,2.645,7.116,-5.750,4.233,7.140
16,165.324,-4.942,5.850,2.489,3.272,-5.854,-4.942,7.661
17,169.687,-8.524,5.850,3.758,1.786,-1.490,-8.524,8.653
18,155.881,-10.207,5.900,-0.514,1.016,-15.297,-10.207,18.389
19,168.480,-4.631,5.850,3.426,3.431,-2.697,-4.631,5.359
20,163.186,-3.071,5.850,1.878,4.035,-7.992,-3.071,8.561
21,166.561,-3.382,5.850,2.870,3.940,-4.616,-3.382,5.722
22,170.490,-5.245,5.850,4.020,3.189,-0.688,-5.245,5.290
23,173.990,-5.454,5.850,5.069,3.131,2.813,-5.454,6.136
24,161.898,-3.330,5.850,1.498,3.914,-9.279,-3.330,9.859
25,170.459,-4.787,5.850,4.015,3.384,-0.719,-4.787,4.840
26,173.819,-3.648,5.850,5.036,3.906,2.641,-3.648,4.504
27,161.517,-3.491,5.850,1.385,3.843,-9.660,-3.491,10.271
28,162.957,0.472,5.850,1.855,5.509,-8.221,0.472,8.234
29,169.277,-7.888,5.850,3.639,2.055,-1.901,-7.888,8.114
# CEP,5.722,P95,10.271,L_pat,7.744,W_pat,8.524
