sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,164.773,2.731,5.850,1.149,5.065,-6.405,2.731,6.963
1,175.046,3.309,5.850,4.196,5.451,3.868,3.309,5.091
2,178.483,-3.002,5.850,5.157,2.789,7.306,-3.002,7.898
3,177.433,4.217,5.850,4.929,5.875,6.256,4.217,7.545
4,170.003,2.391,5.850,2.681,4.992,-1.175,2.391,2.664
5,173.085,-8.039,5.850,3.516,0.607,1.908,-8.039,8.262
6,172.596,-5.689,5.850,3.377,1.604,1.418,-5.689,5.863
7,161.145,-2.395,5.850,0.044,2.913,-10.033,-2.395,10.315
8,167.632,0.883,5.850,1.964,4.331,-3.545,0.883,3.654
9,177.879,-2.954,5.850,4.975,2.805,6.701,-2.954,7.324
10,180.591,0.092,5.800,6.151,4.220,9.413,0.092,9.414
11,171.114,-2.728,5.850,2.956,2.848,-0.064,-2.728,2.729
12,171.186,0.252,5.850,3.005,4.106,0.008,0.252,0.252
13,180.987,-2.270,5.850,5.922,3.127,9.809,-2.270,10.068
14,159.575,7.356,5.900,-0.520,6.781,-11.603,7.356,13.738
15,175.291,-2.033,5.850,4.205,3.178,4.114,-2.033,4.588
16,163.589,5.325,5.850,0.840,6.120,-7.588,5.325,9.270
17,178.075,-1.410,5.850,5.048,3.471,6.897,-1.410,7.040
18,172.033,-4.077,5.850,3.219,2.284,0.856,-4.077,4.166
19,174.282,-1.357,5.850,3.910,3.457,3.105,-1.357,3.388
20,164.553,-2.380,5.850,1.033,2.944,-6.624,-2.380,7.039
21,167.731,-4.070,5.850,1.950,2.261,-3.446,-4.070,5.333
22,177.871,-3.382,5.850,4.969,2.621,6.693,-3.382,7.499
23,179.648,2.613,5.850,5.575,5.222,8.470,2.613,8.864
24,167.629,7.182,5.850,2.055,6.954,-3.548,7.182,8.011
25,175.974,0.886,5.850,4.441,4.431,4.797,0.886,4.878
26,180.461,-6.296,5.800,6.057,1.401,9.284,-6.296,11.217
27,173.827,1.814,5.850,3.810,4.799,2.649,1.814,3.211
28,170.378,2.938,5.850,2.800,5.226,-0.799,2.938,3.044
29,174.898,6.129,5.850,4.198,6.644,3.720,6.129,7.170
# CEP,7.039,P95,10.315,L_pat,10.250,W_pat,7.182
