sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,175.640,3.287,5.850,3.166,5.315,4.463,3.287,5.543
1,172.412,-5.145,5.850,2.134,1.739,1.235,-5.145,5.291
2,175.371,-5.065,5.850,3.007,1.787,4.194,-5.065,6.576
3,176.670,3.272,5.850,3.472,5.324,5.492,3.272,6.393
4,168.321,-3.041,5.850,0.950,2.594,-2.856,-3.041,4.172
5,174.997,6.754,5.850,3.031,6.761,3.820,6.754,7.760
6,176.197,2.323,5.850,3.319,4.916,5.019,2.323,5.531
7,180.254,0.768,5.850,4.512,4.308,9.076,0.768,9.109
8,167.840,3.665,5.850,0.877,5.365,-3.338,3.665,4.957
9,181.466,5.973,5.850,4.956,6.548,10.288,5.973,11.896
10,180.165,-1.281,5.850,4.463,3.431,8.987,-1.281,9.078
11,173.615,2.399,5.850,2.554,4.915,2.437,2.399,3.420
12,174.275,0.504,5.850,2.727,4.127,3.098,0.504,3.138
13,180.004,-2.517,5.850,4.403,2.900,8.827,-2.517,9.179
14,171.870,3.820,5.850,2.059,5.485,0.693,3.820,3.882
15,170.922,0.168,5.850,1.736,3.951,-0.256,0.168,0.306
16,172.300,-2.933,5.850,2.114,2.666,1.122,-2.933,3.141
17,171.292,-3.253,5.850,1.816,2.525,0.114,-3.253,3.255
18,166.638,0.289,5.850,0.488,3.958,-4.540,0.289,4.549
19,170.280,-0.221,5.850,1.544,3.782,-0.898,-0.221,0.925
20,172.923,-2.697,5.850,2.299,2.770,1.746,-2.697,3.212
21,176.886,-4.925,5.850,3.457,1.853,5.709,-4.925,7.540
22,173.668,3.099,5.850,2.579,5.209,2.490,3.099,3.975
23,175.975,4.344,5.850,3.282,5.765,4.798,4.344,6.472
24,173.873,3.903,5.850,2.651,5.549,2.696,3.903,4.744
25,175.837,0.944,5.850,3.194,4.330,4.660,0.944,4.754
26,186.074,3.578,5.800,6.650,5.699,14.896,3.578,15.320
27,173.998,-6.574,5.850,2.595,1.144,2.820,-6.574,7.153
28,178.123,0.047,5.850,3.865,3.976,6.945,0.047,6.945
29,175.245,1.950,5.850,3.031,4.747,4.068,1.950,4.511
# CEP,4.957,P95,9.179,L_pat,5.595,W_pat,5.973
