sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,171.448,-5.061,5.850,3.257,1.350,0.271,-5.061,5.069
1,177.111,6.635,5.850,5.079,6.394,5.934,6.635,8.901
2,175.263,-4.618,5.850,4.396,1.555,4.086,-4.618,6.166
3,167.110,-7.770,5.850,1.972,0.199,-4.068,-7.770,8.771
4,175.031,-5.789,5.850,4.322,1.052,3.853,-5.789,6.954
5,168.622,1.975,5.850,2.474,4.297,-2.556,1.975,3.230
6,178.675,0.713,5.850,5.466,3.874,7.498,0.713,7.531
7,179.626,-0.195,5.850,5.745,3.492,8.449,-0.195,8.451
8,178.533,0.312,5.850,5.418,3.699,7.356,0.312,7.362
9,177.585,3.781,5.850,5.175,5.180,6.407,3.781,7.439
10,161.824,4.650,5.850,0.517,5.325,-9.353,4.650,10.445
11,176.108,3.297,5.850,4.722,4.951,4.931,3.297,5.931
12,170.542,2.680,5.850,3.050,4.616,-0.636,2.680,2.754
13,163.074,-3.807,5.850,0.805,1.841,-8.103,-3.807,8.953
14,174.446,3.661,5.850,4.228,5.083,3.268,3.661,4.908
15,163.647,0.111,5.850,0.997,3.470,-7.531,0.111,7.531
16,172.559,0.510,5.850,3.626,3.721,1.382,0.510,1.473
17,167.891,1.674,5.850,2.255,4.163,-3.287,1.674,3.688
18,171.600,-4.594,5.850,3.303,1.549,0.422,-4.594,4.614
19,168.663,-0.464,5.850,2.462,3.274,-2.515,-0.464,2.557
20,163.974,2.516,5.850,1.117,4.470,-7.203,2.516,7.630
21,167.812,4.648,5.850,2.269,5.406,-3.365,4.648,5.738
22,173.380,5.699,5.850,3.939,5.932,2.202,5.699,6.110
23,161.191,-0.075,5.850,0.283,3.372,-9.986,-0.075,9.987
24,163.321,3.149,5.850,0.934,4.724,-7.857,3.149,8.464
25,167.802,3.761,5.850,2.254,5.035,-3.375,3.761,5.053
26,171.680,-1.470,5.850,3.346,2.874,0.502,-1.470,1.554
27,164.973,4.651,5.850,1.435,5.367,-6.205,4.651,7.754
28,177.402,-2.342,5.850,5.052,2.545,6.224,-2.342,6.650
29,173.896,-6.122,5.850,3.982,0.907,2.719,-6.122,6.698
# CEP,6.650,P95,8.953,L_pat,12.134,W_pat,6.122
