sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,181.531,5.159,5.850,3.039,2.183,10.353,5.159,11.567
1,185.721,9.281,5.850,4.323,3.970,14.543,9.281,17.252
2,173.251,12.274,5.850,0.678,5.077,2.073,12.274,12.448
3,179.360,11.542,5.850,2.458,4.850,8.183,11.542,14.149
4,190.143,5.857,5.850,5.625,2.539,18.965,5.857,19.849
5,186.520,3.343,5.850,4.517,1.435,15.343,3.343,15.703
6,182.134,7.727,5.850,3.237,3.274,10.956,7.727,13.407
7,182.259,15.724,5.850,3.381,6.649,11.081,15.724,19.236
8,177.649,7.867,5.850,1.915,3.294,6.471,7.867,10.186
9,176.108,11.818,5.850,1.506,4.924,4.931,11.818,12.806
10,183.386,8.209,5.850,3.614,3.490,12.209,8.209,14.712
11,183.498,5.434,5.850,3.625,2.312,12.320,5.434,13.466
12,185.528,8.465,5.850,4.256,3.620,14.350,8.465,16.661
13,189.555,10.877,5.850,5.499,4.702,18.377,10.877,21.355
14,183.984,12.869,5.850,3.850,5.473,12.807,12.869,18.156
15,184.054,3.608,5.850,3.781,1.538,12.877,3.608,13.373
16,180.188,7.745,5.850,2.662,3.264,9.011,7.745,11.882
17,182.497,4.419,5.850,3.322,1.875,11.320,4.419,12.152
18,184.595,7.609,5.850,3.969,3.246,13.418,7.609,15.425
19,180.825,11.338,5.850,2.888,4.783,9.648,11.338,14.887
20,177.678,-2.650,5.850,1.894,-1.110,6.501,-2.650,7.020
21,183.912,10.700,5.850,3.798,4.552,12.734,10.700,16.633
22,178.847,7.535,5.850,2.264,3.165,7.670,7.535,10.752
23,191.272,10.958,5.850,6.023,4.760,20.094,10.958,22.888
24,181.602,6.212,5.850,3.068,2.629,10.425,6.212,12.135
25,180.828,9.607,5.850,2.869,4.055,9.650,9.607,13.617
26,176.530,6.936,5.850,1.580,2.896,5.353,6.936,8.761
27,187.295,6.751,5.850,4.771,2.902,16.117,6.751,17.474
28,185.389,11.554,5.850,4.252,4.935,14.212,11.554,18.316
29,186.520,7.388,5.850,4.544,3.169,15.343,7.388,17.029
# CEP,14.149,P95,19.849,L_pat,6.873,W_pat,12.274
