sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,164.293,4.397,5.850,1.655,6.400,-6.885,4.397,8.169
1,161.580,-2.381,5.850,0.778,3.559,-9.598,-2.381,9.888
2,156.931,-1.705,5.900,-0.781,3.736,-14.246,-1.705,14.348
3,166.679,-4.670,5.850,2.250,2.645,-4.498,-4.670,6.484
4,172.617,-6.750,5.850,3.997,1.801,1.439,-6.750,6.902
5,164.053,0.705,5.850,1.532,4.865,-7.124,0.705,7.159
6,169.724,1.304,5.850,3.212,5.190,-1.454,1.304,1.953
7,169.804,-3.678,5.850,3.181,3.088,-1.373,-3.678,3.926
8,173.034,4.321,5.850,4.250,6.518,1.857,4.321,4.703
9,174.313,-10.886,5.850,4.494,0.035,3.136,-10.886,11.328
10,169.937,-3.726,5.850,3.220,3.068,-1.240,-3.726,3.927
11,177.878,-6.191,5.850,5.583,2.070,6.700,-6.191,9.123
12,164.482,-0.746,5.850,1.641,4.266,-6.695,-0.746,6.736
13,172.699,-3.711,5.850,4.042,3.098,1.521,-3.711,4.011
14,162.534,-5.335,5.850,1.033,2.341,-8.643,-5.335,10.157
15,165.891,0.241,5.850,2.066,4.694,-5.286,0.241,5.292
16,167.365,1.283,5.850,2.513,5.149,-3.813,1.283,4.023
17,157.311,4.121,5.900,-0.606,6.082,-13.867,4.121,14.466
18,169.662,-2.037,5.850,3.154,3.780,-1.515,-2.037,2.539
19,173.058,-0.967,5.850,4.178,4.271,1.880,-0.967,2.114
20,164.242,4.504,5.850,1.642,6.444,-6.935,4.504,8.270
21,160.974,1.228,5.850,0.640,5.043,-10.203,1.228,10.277
22,168.665,-0.288,5.850,2.878,4.506,-2.512,-0.288,2.529
23,156.602,-5.056,5.900,-0.899,2.383,-14.576,-5.056,15.428
24,169.936,2.678,5.850,3.296,5.772,-1.241,2.678,2.952
25,167.637,-1.218,5.850,2.563,4.103,-3.541,-1.218,3.744
26,166.373,-3.574,5.850,2.168,3.103,-4.804,-3.574,5.988
27,168.853,-2.986,5.850,2.905,3.371,-2.324,-2.986,3.784
28,159.236,-3.685,5.850,0.088,3.001,-11.941,-3.685,12.497
29,173.350,-1.114,5.850,4.264,4.212,2.173,-1.114,2.442
# CEP,5.988,P95,14.348,L_pat,11.037,W_pat,6.191
