sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,161.547,-4.221,5.850,1.761,3.814,-9.630,-4.221,10.515
1,172.343,-12.029,5.850,4.920,0.568,1.165,-12.029,12.085
2,161.344,-7.902,5.850,1.672,2.276,-9.833,-7.902,12.615
3,161.882,-2.613,5.850,1.876,4.488,-9.296,-2.613,9.656
4,178.078,-5.093,5.800,7.043,3.679,6.901,-5.093,8.576
5,169.262,2.740,5.850,4.148,6.849,-1.915,2.740,3.343
6,169.690,-4.440,5.850,4.171,3.805,-1.487,-4.440,4.683
7,161.195,0.863,5.850,1.721,5.926,-9.982,0.863,10.020
8,162.671,-4.341,5.850,2.090,3.775,-8.506,-4.341,9.550
9,151.974,-4.418,5.900,-1.230,3.588,-19.203,-4.418,19.705
10,163.123,-1.300,5.850,2.258,5.052,-8.054,-1.300,8.159
11,162.384,-0.769,5.850,2.047,5.264,-8.794,-0.769,8.827
12,159.682,-6.144,5.850,1.199,2.997,-11.496,-6.144,13.034
13,172.207,-6.464,5.850,4.907,2.962,1.029,-6.464,6.546
14,162.709,2.590,5.850,2.195,6.668,-8.468,2.590,8.856
15,160.174,0.122,5.850,1.411,5.603,-11.004,0.122,11.004
16,162.330,-3.460,5.850,1.999,4.140,-8.847,-3.460,9.500
17,169.499,-5.647,5.850,4.102,3.289,-1.678,-5.647,5.891
18,154.123,-3.098,5.900,-0.609,4.138,-17.054,-3.098,17.333
19,172.170,0.255,5.850,4.981,5.843,0.993,0.255,1.025
20,159.810,-10.379,5.850,1.213,1.236,-11.368,-10.379,15.393
21,168.327,-5.030,5.850,3.758,3.540,-2.850,-5.030,5.782
22,173.059,1.281,5.850,5.267,6.298,1.881,1.281,2.276
23,158.905,-3.645,5.850,0.995,4.027,-12.273,-3.645,12.802
24,161.976,-4.908,5.850,1.880,3.531,-9.202,-4.908,10.429
25,165.755,-7.552,5.850,2.973,2.450,-5.423,-7.552,9.298
26,165.268,3.774,5.850,2.974,7.208,-5.909,3.774,7.012
27,168.700,-7.289,5.850,3.850,2.582,-2.477,-7.289,7.699
28,168.024,-0.462,5.850,3.723,5.473,-3.154,-0.462,3.188
29,167.611,-7.725,5.850,3.522,2.390,-3.566,-7.725,8.508
# CEP,8.856,P95,15.393,L_pat,9.325,W_pat,7.902
