sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,171.918,5.160,5.850,4.886,7.181,0.740,5.160,5.213
1,160.329,-2.831,5.850,1.327,3.652,-10.849,-2.831,11.212
2,169.095,-3.043,5.850,3.914,3.648,-2.083,-3.043,3.688
3,165.122,-6.053,5.850,2.710,2.341,-6.055,-6.053,8.562
4,167.730,-8.214,5.850,3.471,1.440,-3.447,-8.214,8.908
5,163.097,-12.735,5.850,2.097,-0.476,-8.080,-12.735,15.082
6,163.372,0.226,5.850,2.254,4.960,-7.806,0.226,7.809
7,169.738,-2.989,5.850,4.107,3.678,-1.439,-2.989,3.317
8,160.043,-6.729,5.850,1.216,2.028,-11.135,-6.729,13.010
9,171.000,-3.895,5.850,4.476,3.303,-0.177,-3.895,3.899
10,163.623,3.603,5.850,2.378,6.374,-7.555,3.603,8.370
11,166.253,-2.948,5.850,3.069,3.660,-4.924,-2.948,5.739
12,167.268,-5.758,5.850,3.347,2.480,-3.909,-5.758,6.959
13,167.978,3.006,5.850,3.662,6.196,-3.199,3.006,4.390
14,172.796,-1.826,5.850,5.039,4.209,1.618,-1.826,2.440
15,170.657,-5.253,5.850,4.361,2.719,-0.521,-5.253,5.279
16,171.863,-1.621,5.850,4.760,4.286,0.686,-1.621,1.760
17,163.415,-3.692,5.850,2.224,3.321,-7.762,-3.692,8.596
18,173.641,-3.915,5.850,5.272,3.319,2.464,-3.915,4.626
19,165.973,-5.768,5.850,2.963,2.466,-5.204,-5.768,7.769
20,170.495,-6.492,5.850,4.304,2.188,-0.683,-6.492,6.528
21,168.635,1.194,5.850,3.829,5.441,-2.542,1.194,2.808
22,161.682,-5.773,5.850,1.700,2.437,-9.496,-5.773,11.113
23,164.566,-6.174,5.850,2.545,2.286,-6.612,-6.174,9.046
24,161.982,0.936,5.850,1.855,5.238,-9.195,0.936,9.242
25,162.706,-0.067,5.850,2.054,4.829,-8.471,-0.067,8.471
26,157.274,-0.853,5.850,0.458,4.439,-13.903,-0.853,13.930
27,171.031,2.758,5.850,4.573,6.143,-0.146,2.758,2.762
28,159.791,-4.653,5.850,1.155,2.890,-11.387,-4.653,12.301
29,167.564,0.139,5.850,3.495,4.979,-3.614,0.139,3.616
# CEP,6.959,P95,13.010,L_pat,8.674,W_pat,6.729
