sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,167.508,-5.623,5.850,1.877,1.610,-3.669,-5.623,6.714
1,178.014,-2.481,5.850,5.020,3.010,6.837,-2.481,7.273
2,175.594,-3.372,5.850,4.285,2.608,4.417,-3.372,5.557
3,172.032,-1.141,5.850,3.242,3.527,0.854,-1.141,1.425
4,169.648,1.324,5.850,2.562,4.540,-1.530,1.324,2.023
5,182.582,1.077,5.800,6.782,4.682,11.405,1.077,11.455
6,177.696,3.105,5.850,4.991,5.404,6.519,3.105,7.220
7,163.595,-1.972,5.850,0.757,3.106,-7.583,-1.972,7.835
8,166.650,0.705,5.850,1.674,4.246,-4.527,0.705,4.582
9,169.841,1.552,5.850,2.622,4.637,-1.337,1.552,2.048
10,168.861,2.674,5.850,2.347,5.095,-2.316,2.674,3.538
11,170.357,3.612,5.850,2.803,5.509,-0.821,3.612,3.705
12,168.286,2.979,5.850,2.182,5.215,-2.892,2.979,4.152
13,160.555,-2.329,5.900,-0.352,2.890,-10.622,-2.329,10.874
14,170.672,0.184,5.850,2.852,4.072,-0.505,0.184,0.538
15,175.054,-3.608,5.850,4.122,2.503,3.877,-3.608,5.296
16,177.879,4.463,5.850,5.068,5.988,6.702,4.463,8.052
17,181.433,-4.023,5.800,6.370,2.412,10.255,-4.023,11.016
18,173.292,-1.240,5.850,3.616,3.497,2.115,-1.240,2.452
19,177.313,-1.614,5.850,4.816,3.376,6.136,-1.614,6.345
20,166.146,-0.592,5.850,1.513,3.701,-5.032,-0.592,5.066
21,167.207,-2.597,5.850,1.806,2.874,-3.971,-2.597,4.745
22,171.890,-0.248,5.850,3.209,3.903,0.712,-0.248,0.754
23,174.311,-1.707,5.850,3.915,3.308,3.134,-1.707,3.569
24,171.186,-3.859,5.850,2.969,2.371,0.009,-3.859,3.859
25,173.928,-9.075,5.850,3.766,0.167,2.751,-9.075,9.483
26,167.590,1.768,5.850,1.962,4.700,-3.587,1.768,3.999
27,179.647,0.614,5.850,5.547,4.361,8.470,0.614,8.492
28,173.880,-0.776,5.850,3.796,3.700,2.703,-0.776,2.812
29,165.635,4.959,5.850,1.432,6.000,-5.543,4.959,7.437
# CEP,4.745,P95,10.874,L_pat,10.106,W_pat,4.959
