time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,-17981.14,-0.00,0.0000
0.50,21.8414,0.0051,0.0306,0.0681,0.3805,-158920.84,-60471.62,0.0036
1.00,41.5448,0.0402,0.1186,0.5646,1.6804,-307318.99,-516418.74,0.0234
1.50,57.1815,0.1315,0.2527,1.8927,3.6533,-451610.69,-1649873.52,0.0688
2.00,67.2209,0.2978,0.4158,4.2973,5.9200,-491953.26,-2912348.29,0.1467
2.50,70.6802,0.5485,0.5866,7.7584,7.8137,-494532.89,-3864109.79,0.2609
3.00,67.2209,0.8818,0.7420,11.9715,8.8743,-496121.56,-4402753.50,0.4116
3.50,57.1815,1.2842,0.8592,16.4477,8.8323,-499712.72,-4413587.74,0.5953
4.00,41.5448,1.7314,0.9185,20.5981,7.5635,-497749.01,-3764740.15,0.8050
4.50,21.8414,2.1905,0.9051,23.8076,5.0879,-500000.00,-2543969.28,1.0311
5.00,0.0000,2.6229,0.8110,25.5186,1.6160,-285923.12,-462040.48,1.2617
5.50,-21.8414,2.9879,0.6359,25.1827,-3.0237,-138569.95,418991.27,1.4843
6.00,-41.5448,3.2466,0.3877,22.3843,-8.1380,1923.58,-15654.16,1.6866
6.50,-57.1815,3.3659,0.0816,17.0402,-13.1040,265772.86,-3482677.99,1.8576
7.00,-67.2209,3.3221,-0.2610,9.3042,-17.6022,433726.66,-7634540.27,1.9890
7.50,-70.6802,3.1031,-0.6144,-0.3799,-20.8094,450405.43,-9372671.23,2.0763
8.00,-67.2209,2.7105,-0.9507,-11.1551,-21.9127,481153.36,-10543371.99,2.1188
8.50,-57.1815,2.1598,-1.2427,-21.9158,-20.7363,500000.00,-10368161.97,2.1211
9.00,-41.5448,1.4793,-1.4663,-31.5134,-17.2888,500000.00,-8644376.85,2.0923
9.50,-21.8414,0.7081,-1.6028,-38.8640,-11.8168,416166.46,-4917762.30,2.0454
10.00,-0.0000,-0.1070,-1.6405,-43.0270,-4.6457,194870.46,-905317.66,1.9963
10.50,21.8414,-0.9153,-1.5760,-43.2461,3.8192,-99275.85,-379152.18,1.9601
11.00,41.5448,-1.6667,-1.4144,-39.0518,12.8484,-396406.98,-5093200.84,1.9483
11.50,57.1815,-2.3156,-1.1688,-30.4054,21.4643,-494878.09,-10622207.87,1.9650
12.00,67.2209,-2.8248,-0.8594,-17.8761,28.2397,-500000.00,-14119848.86,2.0064
12.50,70.6802,-3.1685,-0.5112,-2.6364,32.2070,-500000.00,-16103479.36,2.0633
13.00,67.2209,-3.3342,-0.1521,13.7815,32.9051,-486832.25,-16019276.18,2.1239
13.50,57.1815,-3.3235,0.1901,29.6921,30.1886,-489891.17,-14789133.83,2.1782
14.00,41.5448,-3.1512,0.4899,43.4434,24.3357,-497154.57,-12098628.32,2.2189
14.50,21.8414,-2.8442,0.7264,53.5984,15.9205,-419677.01,-6681452.09,2.2425
15.00,0.0000,-2.4378,0.8855,59.0228,5.5730,-206597.70,-1151378.23,2.2491
15.50,-21.8414,-1.9727,0.9605,58.9240,-5.9821,37387.59,-223658.14,2.2410
16.00,-41.5448,-1.4911,0.9530,52.9752,-17.6242,344823.55,-6077225.72,2.2220
16.50,-57.1815,-1.0320,0.8723,41.3993,-28.2942,479235.97,-13559592.97,2.1962
17.00,-67.2209,-0.6283,0.7344,25.0742,-36.4577,500000.00,-18228868.93,2.1672
17.50,-70.6802,-0.3037,0.5599,5.5459,-40.9984,498916.81,-20454792.73,2.1375
18.00,-67.2209,-0.0706,0.3724,-15.2285,-41.4001,500000.00,-20700054.11,2.1084
18.50,-57.1815,0.0704,0.1954,-35.1524,-37.6248,481748.22,-18125663.11,2.0805
19.00,-41.5448,0.1302,0.0505,-52.2030,-30.0037,464408.47,-13933959.96,2.0538
19.50,-21.8414,0.1292,-0.0454,-64.6352,-19.3063,366187.38,-7069711.71,2.0280
20.00,-0.0000,0.0948,-0.0815,-71.1199,-6.4150,159174.07,-1021105.63,2.0032
20.50,21.8414,0.0583,-0.0541,-70.8138,7.6258,-80748.90,-615773.42,1.9792
21.00,41.5448,0.0507,0.0326,-63.4779,21.4655,-352302.60,-7562365.16,1.9561
