time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000
0.50,21.8414,0.0051,0.0306,0.0572,0.3374,500000.00,168693.79,0.0036
1.00,41.5448,0.0402,0.1186,0.1318,0.0631,500000.00,31558.35,0.0234
1.50,57.1815,0.1315,0.2527,0.2128,0.3371,500000.00,168554.28,0.0688
2.00,67.2209,0.2978,0.4158,0.5275,0.9582,500000.00,479107.97,0.1467
2.50,70.6802,0.5485,0.5866,1.1853,1.6635,500000.00,831762.76,0.2609
3.00,67.2209,0.8818,0.7420,2.1584,2.1747,500000.00,1087372.10,0.4116
3.50,57.1815,1.2842,0.8592,3.2859,2.2458,22681.81,50938.02,0.5953
4.00,41.5448,1.7314,0.9185,4.5920,2.8497,-500000.00,-1424825.20,0.8050
4.50,21.8414,2.1905,0.9051,6.3121,3.8637,-500000.00,-1931850.16,1.0311
5.00,0.0000,2.6229,0.8110,8.2780,3.8227,-500000.00,-1911337.00,1.2617
5.50,-21.8414,2.9879,0.6359,9.9608,2.7495,-500000.00,-1374727.61,1.4843
6.00,-41.5448,3.2466,0.3877,10.8848,0.8299,-500000.00,-414932.22,1.6866
6.50,-57.1815,3.3659,0.0816,10.7019,-1.6163,-500000.00,808129.83,1.8576
7.00,-67.2209,3.3221,-0.2610,9.2482,-4.1815,-500000.00,2090729.57,1.9890
7.50,-70.6802,3.1031,-0.6144,6.5737,-6.4283,-500000.00,3214170.49,2.0763
8.00,-67.2209,2.7105,-0.9507,2.9416,-7.9511,-500000.00,3975534.41,2.1188
8.50,-57.1815,2.1598,-1.2427,-1.2023,-8.4328,203672.72,-1717534.73,2.1211
9.00,-41.5448,1.4793,-1.4663,-5.7145,-9.3796,500000.00,-4689813.26,2.0923
9.50,-21.8414,0.7081,-1.6028,-10.5128,-9.5536,500000.00,-4776787.78,2.0454
10.00,-0.0000,-0.1070,-1.6405,-15.0059,-8.1702,500000.00,-4085105.27,1.9963
10.50,21.8414,-0.9153,-1.5760,-18.4504,-5.4051,500000.00,-2702528.73,1.9601
11.00,41.5448,-1.6667,-1.4144,-20.2395,-1.6225,500000.00,-811255.47,1.9483
11.50,57.1815,-2.3156,-1.1688,-19.9866,2.6714,500000.00,1335698.45,1.9650
12.00,67.2209,-2.8248,-0.8594,-17.5799,6.8935,500000.00,3446771.35,2.0064
12.50,70.6802,-3.1685,-0.5112,-13.2035,10.4577,500000.00,5228826.54,2.0633
13.00,67.2209,-3.3342,-0.1521,-7.3194,12.8487,355042.40,4561834.55,2.1239
13.50,57.1815,-3.3235,0.1901,-0.5272,14.0365,-487710.66,-6845766.44,2.1782
14.00,41.5448,-3.1512,0.4899,6.9294,15.4536,-500000.00,-7726793.73,2.2189
14.50,21.8414,-2.8442,0.7264,14.5829,14.8137,-500000.00,-7406866.45,2.2425
15.00,0.0000,-2.4378,0.8855,21.4033,12.1541,-500000.00,-6077034.34,2.2491
15.50,-21.8414,-1.9727,0.9605,26.4509,7.7945,-500000.00,-3897260.16,2.2410
16.00,-41.5448,-1.4911,0.9530,29.0012,2.2672,-500000.00,-1133604.34,2.2220
16.50,-57.1815,-1.0320,0.8723,28.6357,-3.7479,-500000.00,1873965.65,2.1962
17.00,-67.2209,-0.6283,0.7344,25.2964,-9.5046,-500000.00,4752300.08,2.1672
17.50,-70.6802,-0.3037,0.5599,19.2960,-14.2791,-500000.00,7139565.24,2.1375
18.00,-67.2209,-0.0706,0.3724,11.2856,-17.4567,-205745.04,3591638.73,2.1084
18.50,-57.1815,0.0704,0.1954,2.0010,-19.3109,500000.00,-9655469.29,2.0805
19.00,-41.5448,0.1302,0.0505,-8.0641,-20.5297,500000.00,-10264859.73,2.0538
19.50,-21.8414,0.1292,-0.0454,-18.0979,-19.1872,500000.00,-9593586.48,2.0280
20.00,-0.0000,0.0948,-0.0815,-26.8470,-15.4416,500000.00,-7720778.30,2.0032
20.50,21.8414,0.0583,-0.0541,-33.2095,-9.7352,500000.00,-4867579.73,1.9792
21.00,41.5448,0.0507,0.0326,-36.3654,-2.7414,500000.00,-1370703.22,1.9561
21.50,57.1815,0.0991,0.1677,-35.8730,4.7139,500000.00,2356968.32,1.9338
22.00,67.2209,0.2236,0.3339,-31.7219,11.7484,500000.00,5874177.82,1.9125
22.50,70.6802,0.4346,0.5099,-24.3360,17.5241,500000.00,8762060.00,1.8927
23.00,67.2209,0.7312,0.6722,-14.5264,21.3444,78034.41,1665593.72,1.8755
23.50,57.1815,1.1007,0.7982,-3.1431,23.7450,-500000.00,-11872491.90,1.8626
24.00,41.5448,1.5199,0.8676,9.1039,24.7539,-500000.00,-12376970.58,1.8563
24.50,21.8414,1.9564,0.8656,21.1140,22.8085,-500000.00,-11404261.22,1.8583
25.00,0.0000,2.3721,0.7838,31.4550,18.1437,-500000.00,-9071853.57,1.8697
25.50,-21.8414,2.7267,0.6217,38.8919,11.3050,-500000.00,-5652482.09,1.8899
26.00,-41.5448,2.9816,0.3867,42.5273,3.0842,-500000.00,-1542107.91,1.9163
26.50,-57.1815,3.1037,0.0937,41.9027,-5.5710,-500000.00,2785508.58,1.9448
27.00,-67.2209,3.0691,-0.2361,37.0503,-13.6650,-500000.00,6832495.30,1.9710
27.50,-70.6802,2.8657,-0.5773,28.4885,-20.2657,-500000.00,10132831.53,1.9905
28.00,-67.2209,2.4945,-0.9024,17.1640,-24.6088,30333.55,-746473.51,2.0005
28.50,-57.1815,1.9705,-1.1846,4.0218,-27.4552,500000.00,-13727592.36,2.0000
29.00,-41.5448,1.3212,-1.3998,-10.0472,-28.2740,500000.00,-14136996.79,1.9904
29.50,-21.8414,0.5849,-1.5296,-23.7004,-25.8116,500000.00,-12905822.16,1.9752
30.00,-0.0000,-0.1922,-1.5625,-35.3575,-20.3684,500000.00,-10184201.09,1.9591
30.50,21.8414,-0.9607,-1.4951,-43.6738,-12.5768,500000.00,-6288401.48,1.9470
31.00,41.5448,-1.6714,-1.3326,-47.6891,-3.3282,500000.00,-1664121.30,1.9430
31.50,57.1815,-2.2796,-1.0882,-46.9331,6.3280,500000.00,3163989.62,1.9487
32.00,67.2209,-2.7493,-0.7820,-41.4755,15.3019,500000.00,7650931.71,1.9635
32.50,70.6802,-3.0555,-0.4389,-31.9155,22.5833,500000.00,11291634.45,1.9845
33.00,67.2209,-3.1867,-0.0867,-19.3143,27.3527,-122304.33,-3345357.18,2.0077
33.50,57.1815,-3.1453,0.2470,-4.6964,30.5632,-500000.00,-15281596.52,2.0291
34.00,41.5448,-2.9470,0.5370,10.8960,31.2111,-500000.00,-15605533.11,2.0453
34.50,21.8414,-2.6191,0.7626,25.9172,28.3057,-500000.00,-14152859.30,2.0547
35.00,0.0000,-2.1975,0.9098,38.6640,22.2030,-500000.00,-11101487.32,2.0567
35.50,-21.8414,-1.7234,0.9725,47.7011,13.6089,-500000.00,-6804444.70,2.0525
36.00,-41.5448,-1.2389,0.9524,52.0176,3.4984,-500000.00,-1749221.73,2.0435
36.50,-57.1815,-0.7832,0.8592,51.1350,-6.9939,-500000.00,3496941.99,2.0317
37.00,-67.2209,-0.3892,0.7091,45.1557,-16.6995,-500000.00,8349764.54,2.0186
37.50,-70.6802,-0.0801,0.5232,34.7482,-24.5436,-500000.00,12271789.44,2.0053
38.00,-67.2209,0.1320,0.3252,21.0703,-29.6611,200381.32,-5943530.36,1.9923
38.50,-57.1815,0.2471,0.1390,5.2129,-33.1695,500000.00,-16584767.55,1.9797
39.00,-41.5448,0.2766,-0.0137,-11.6545,-33.6648,500000.00,-16832382.19,1.9674
39.50,-21.8414,0.2419,-0.1158,-27.8163,-30.3800,500000.00,-15189982.62,1.9552
40.00,-0.0000,0.1712,-0.1562,-41.4666,-23.7182,-100000.00,2371824.79,1.9432
40.50,21.8414,0.0966,-0.1314,-50.7299,-13.0087,-200000.00,2601745.37,1.9314
41.00,41.5448,0.0501,-0.0451,-54.1861,-0.7035,-300000.00,211036.60,1.9197
41.50,57.1815,0.0599,0.0913,-51.3707,11.8497,-400000.00,-4739871.70,1.9082
42.00,67.2209,0.1470,0.2608,-42.5022,23.2919,-500000.00,-11645953.00,1.8970
42.50,70.6802,0.3226,0.4418,-28.4505,32.3983,-500000.00,-16199166.69,1.8863
43.00,67.2209,0.5868,0.6110,-10.6983,37.9668,-500000.00,-18983395.41,1.8765
43.50,57.1815,0.9277,0.7451,8.8265,39.4314,-500000.00,-19715712.38,1.8684
44.00,41.5448,1.3227,0.8241,28.0220,36.6661,-400000.00,-14666434.82,1.8632
44.50,21.8414,1.7400,0.8326,44.7747,29.7533,-300000.00,-8926003.03,1.8619
45.00,0.0000,2.1421,0.7621,57.1863,19.4606,-200000.00,-3892114.70,1.8652
45.50,-21.8414,2.4888,0.6118,63.8335,6.9028,-100000.00,-690275.39,1.8731
46.00,-41.5448,2.7417,0.3888,63.9129,-6.5778,0.00,-0.00,1.8845
46.50,-57.1815,2.8679,0.1077,57.3195,-19.5537,100000.00,-1955369.59,1.8977
47.00,-67.2209,2.8432,-0.2106,44.6520,-30.6626,200000.00,-6132523.45,1.9101
47.50,-70.6802,2.6552,-0.5410,27.1441,-38.7483,300000.00,-11624496.35,1.9193
48.00,-67.2209,2.3047,-0.8564,6.5307,-42.9794,400000.00,-17191779.33,1.9237
48.50,-57.1815,1.8059,-1.1299,-15.1371,-42.9333,300000.00,-12879977.14,1.9225
49.00,-41.5448,1.1858,-1.3379,-35.5867,-38.1566,200000.00,-7631321.96,1.9165
49.50,-21.8414,0.4820,-1.4620,-52.5683,-29.1883,100000.00,-2918833.75,1.9075
50.00,-0.0000,-0.2603,-1.4910,-64.2119,-16.9942,0.00,-0.00,1.8982
50.50,21.8414,-0.9925,-1.4214,-69.2160,-2.8632,-100000.00,286321.91,1.8914
51.00,41.5448,-1.6661,-1.2587,-66.9766,11.7281,-200000.00,-2345621.12,1.8894
51.50,57.1815,-2.2377,-1.0158,-57.6433,25.2690,-300000.00,-7580697.96,1.8930
52.00,67.2209,-2.6719,-0.7130,-42.0968,36.3697,-400000.00,-14547873.40,1.9020
52.50,70.6802,-2.9448,-0.3749,-21.8524,43.9027,-500000.00,-21951356.07,1.9144
53.00,67.2209,-3.0456,-0.0293,1.1007,47.1160,-500000.00,-23558016.10,1.9281
53.50,57.1815,-2.9774,0.2964,24.4465,45.4669,-400000.00,-18186763.64,1.9404
54.00,41.5448,-2.7567,0.5772,45.7243,38.9236,-300000.00,-11677083.22,1.9495
54.50,21.8414,-2.4112,0.7926,62.6469,28.2016,-200000.00,-5640322.31,1.9541
55.00,0.0000,-1.9773,0.9290,73.3929,14.4335,-100000.00,-1443348.16,1.9544
55.50,-21.8414,-1.4964,0.9804,76.7877,-0.9503,0.00,-0.00,1.9507
56.00,-41.5448,-1.0108,0.9489,72.4156,-16.3692,100000.00,-1636924.33,1.9444
56.50,-57.1815,-0.5597,0.8444,60.6552,-30.2543,200000.00,-6050862.33,1.9366
57.00,-67.2209,-0.1758,0.6835,42.6332,-41.2065,300000.00,-12361937.34,1.9282
57.50,-70.6802,0.1179,0.4874,20.1038,-48.1364,400000.00,-19254570.38,1.9199
58.00,-67.2209,0.3098,0.2802,-4.7350,-50.3719,300000.00,-15111571.91,1.9119
58.50,-57.1815,0.4003,0.0860,-29.3457,-47.2419,200000.00,-9448389.99,1.9041
