time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000
0.50,21.8414,0.0051,0.0306,0.0572,0.3374,3.26,1.10,0.0036
1.00,41.5448,0.0402,0.1186,0.4366,1.2623,-45.71,-57.70,0.0234
1.50,57.1815,0.1315,0.2527,1.3830,2.5627,6684.08,17129.15,0.0688
2.00,67.2209,0.2978,0.4158,3.0096,3.9315,13449.83,52877.78,0.1467
2.50,70.6802,0.5485,0.5866,5.2708,5.0480,14154.48,71451.12,0.2609
3.00,67.2209,0.8818,0.7420,7.9669,5.6255,13491.74,75897.49,0.4116
3.50,57.1815,1.2842,0.8592,10.7667,5.4317,11539.55,62679.73,0.5953
4.00,41.5448,1.7314,0.9185,13.2478,4.3395,8512.34,36939.00,0.8050
4.50,21.8414,2.1905,0.9051,14.9559,2.3515,4760.71,11194.77,1.0311
5.00,0.0000,2.6229,0.8110,15.4726,-0.3918,864.10,-338.56,1.2617
5.50,-21.8414,2.9879,0.6359,14.4823,-3.6238,-644.58,2335.84,1.4843
6.00,-41.5448,3.2466,0.3877,11.8270,-6.9849,7276.97,-50828.75,1.6866
6.50,-57.1815,3.3659,0.0816,7.5409,-10.0751,11285.73,-113704.99,1.8576
7.00,-67.2209,3.3221,-0.2610,1.8701,-12.4551,13325.53,-165970.42,1.9890
7.50,-70.6802,3.1031,-0.6144,-4.7309,-13.7408,13923.36,-191317.62,2.0763
8.00,-67.2209,2.7105,-0.9507,-11.6399,-13.6525,115.96,-1583.21,2.1188
8.50,-57.1815,2.1598,-1.2427,-18.1216,-12.0244,-11888.66,142953.97,2.1211
9.00,-41.5448,1.4793,-1.4663,-23.4109,-8.9049,-8957.15,79762.10,2.0923
9.50,-21.8414,0.7081,-1.6028,-26.8195,-4.5524,-5458.07,24847.18,2.0454
10.00,-0.0000,-0.1070,-1.6405,-27.8206,0.6508,-1868.59,-1216.16,1.9963
10.50,21.8414,-0.9153,-1.5760,-26.1110,6.1988,1556.31,9647.32,1.9601
11.00,41.5448,-1.6667,-1.4144,-21.6614,11.5125,6069.82,69878.79,1.9483
11.50,57.1815,-2.3156,-1.1688,-14.7382,15.9981,11019.89,176296.77,1.9650
12.00,67.2209,-2.8248,-0.8594,-5.8935,19.1184,13476.37,257645.95,2.0064
12.50,70.6802,-3.1685,-0.5112,4.0811,20.4614,14091.09,288323.05,2.0633
13.00,67.2209,-3.3342,-0.1521,14.2281,19.7831,13466.61,266411.62,2.1239
13.50,57.1815,-3.3235,0.1901,23.5178,17.0431,11742.16,200123.07,2.1782
14.00,41.5448,-3.1512,0.4899,30.9548,12.4197,9070.72,112655.69,2.2189
14.50,21.8414,-2.8442,0.7264,35.6863,6.3005,5411.29,34093.88,2.2425
15.00,0.0000,-2.4378,0.8855,37.0992,-0.7498,-720.27,540.04,2.2491
15.50,-21.8414,-1.9727,0.9605,34.8971,-8.0392,-7418.07,59635.58,2.2410
16.00,-41.5448,-1.4911,0.9530,29.1454,-14.8259,-10098.68,149721.92,2.2220
16.50,-57.1815,-1.0320,0.8723,20.2751,-20.4007,-12055.55,245941.39,2.1962
17.00,-67.2209,-0.6283,0.7344,9.0526,-24.1440,-13480.73,325478.22,2.1672
17.50,-70.6802,-0.3037,0.5599,-3.4848,-25.6023,-13971.20,357694.38,2.1375
18.00,-67.2209,-0.0706,0.3724,-16.1266,-24.5432,-13390.20,328638.14,2.1084
18.50,-57.1815,0.0704,0.1954,-27.6083,-20.9864,-11709.36,245737.28,2.0805
19.00,-41.5448,0.1302,0.0505,-36.7400,-15.2095,-4988.73,75875.93,2.0538
19.50,-21.8414,0.1292,-0.0454,-42.5337,-7.7364,7300.91,-56482.45,2.0280
20.00,-0.0000,0.0948,-0.0815,-44.3135,0.7182,6202.08,4454.29,2.0032
20.50,21.8414,0.0583,-0.0541,-41.7827,9.3638,6588.11,61689.63,1.9792
21.00,41.5448,0.0507,0.0326,-35.0637,17.3291,10115.67,175295.75,1.9561
21.50,57.1815,0.0991,0.1677,-24.7077,23.7841,12348.41,293696.08,1.9338
22.00,67.2209,0.2236,0.3339,-11.6491,28.0410,13573.37,380611.07,1.9125
22.50,70.6802,0.4346,0.5099,2.8826,29.6163,13956.30,413334.30,1.8927
23.00,67.2209,0.7312,0.6722,17.4788,28.2856,13372.18,378239.70,1.8755
23.50,57.1815,1.1007,0.7982,30.6906,24.1131,11649.51,280905.73,1.8626
24.00,41.5448,1.5199,0.8676,41.1738,17.4521,-4247.94,-74135.29,1.8563
24.50,21.8414,1.9564,0.8656,47.8355,8.9459,-8545.36,-76446.21,1.8583
25.00,0.0000,2.3721,0.7838,49.9411,-0.6259,-6748.46,4224.13,1.8697
25.50,-21.8414,2.7267,0.6217,47.1840,-10.3448,-8147.28,84282.33,1.8899
