time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,-1620.50,-0.00,0.0000
0.50,22.7604,0.0074,0.0444,0.0838,0.4932,-500000.00,-246624.98,0.0053
1.00,43.9698,0.0586,0.1733,0.9431,3.0480,-500000.00,-1524011.87,0.0341
1.50,62.1826,0.1928,0.3741,3.2036,6.0273,-500000.00,-3013667.06,0.1008
2.00,76.1578,0.4415,0.6274,6.9648,8.9716,-500000.00,-4485783.50,0.2171
2.50,84.9430,0.8248,0.9082,12.0887,11.4001,-500000.00,-5700072.66,0.3907
3.00,87.9395,1.3496,1.1880,18.2044,12.8721,-500000.00,-6436071.58,0.6253
3.50,84.9430,2.0077,1.4368,24.7421,13.0424,-500000.00,-6521204.19,0.9198
4.00,76.1578,2.7763,1.6256,30.9936,11.7070,-500000.00,-5853483.52,1.2682
4.50,62.1826,3.6189,1.7286,36.1903,8.8327,-500000.00,-4416365.39,1.6605
5.00,43.9698,4.4871,1.7253,39.5924,4.5683,-500000.00,-2284134.84,2.0825
5.50,22.7604,5.3242,1.6022,40.5785,-0.7655,-500000.00,382770.51,2.5175
6.00,0.0000,6.0684,1.3540,38.7248,-6.7041,-204854.64,1373357.65,2.9467
6.50,-22.7604,6.6578,0.9846,33.6871,-13.3915,500000.00,-6695770.29,3.3510
7.00,-43.9698,7.0348,0.5067,25.0153,-21.1023,500000.00,-10551163.20,3.7121
7.50,-62.1826,7.1500,-0.0583,12.8449,-27.2626,500000.00,-13631301.67,4.0142
8.00,-76.1578,6.9667,-0.6817,-1.8750,-31.2054,500000.00,-15602692.84,4.2451
8.50,-84.9430,6.4642,-1.3295,-17.9092,-32.4612,500000.00,-16230594.62,4.3978
9.00,-87.9395,5.6394,-1.9640,-33.8474,-30.8069,500000.00,-15403466.64,4.4718
9.50,-84.9430,4.5088,-2.5464,-48.2353,-26.2912,500000.00,-13145591.87,4.4736
10.00,-76.1578,3.1079,-3.0395,-59.7113,-19.2334,500000.00,-9616696.87,4.4182
10.50,-62.1826,1.4898,-3.4102,-67.1360,-10.1973,500000.00,-5098657.52,4.3283
11.00,-43.9698,-0.2773,-3.6313,-69.7032,0.0588,500000.00,29394.25,4.2335
11.50,-22.7604,-2.1134,-3.6841,-67.0205,10.6503,500000.00,5325163.83,4.1668
12.00,-0.0000,-3.9316,-3.5591,-59.1525,20.6465,500000.00,10323250.49,4.1576
12.50,22.7604,-5.6429,-3.2574,-46.6235,29.1548,500000.00,14577409.72,4.2244
13.00,43.9698,-7.1613,-2.7904,-30.3771,35.4022,-500000.00,-17701103.90,4.3686
13.50,62.1826,-8.4092,-2.1793,-11.0893,41.2037,-500000.00,-20601845.25,4.5747
14.00,76.1578,-9.3216,-1.4543,10.2336,43.4742,-500000.00,-21737119.47,4.8169
14.50,84.9430,-9.8506,-0.6523,31.7506,41.9681,-500000.00,-20984031.53,5.0660
15.00,87.9395,-9.9680,0.1848,51.5829,36.7789,-500000.00,-18389452.26,5.2954
15.50,84.9430,-9.6672,1.0132,67.9818,28.3305,-500000.00,-14165246.04,5.4850
16.00,76.1578,-8.9636,1.7893,79.4856,17.3371,-500000.00,-8668560.46,5.6221
16.50,62.1826,-7.8935,2.4725,85.0489,4.7384,-500000.00,-2369204.74,5.7019
17.00,43.9698,-6.5124,3.0280,84.1354,-8.3854,-500000.00,4192722.65,5.7266
