time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000
0.50,2.8052,0.0075,0.0443,0.0830,0.4876,61270.84,29873.70,0.0053
1.00,5.0548,0.0575,0.1669,0.5860,1.6285,204647.71,333269.24,0.0335
1.50,6.3032,0.1829,0.3400,1.6906,2.8161,353885.55,996568.37,0.0959
2.00,6.3032,0.3992,0.5234,3.2923,3.5324,443903.84,1568047.58,0.1981
2.50,5.0548,0.7007,0.6732,5.0688,3.4437,432751.93,1490251.16,0.3384
3.00,2.8052,1.0602,0.7502,6.5858,2.4528,308228.60,756009.59,0.5087
3.50,0.0000,1.4343,0.7285,7.4184,0.7024,88273.72,62007.51,0.6954
4.00,-2.8052,1.7708,0.6003,7.2615,-1.4692,-184634.59,271273.63,0.8822
4.50,-5.0548,2.0188,0.3781,6.0093,-3.6109,-453763.40,1638477.05,1.0526
5.00,-6.3032,2.1383,0.0924,3.7882,-5.2595,-500000.00,2629729.84,1.1929
5.50,-6.3032,2.1078,-0.2138,0.8398,-6.4281,-500000.00,3214053.12,1.2941
6.00,-5.0548,1.9289,-0.4935,-2.4904,-6.7091,-500000.00,3354539.74,1.3535
6.50,-2.8052,1.6259,-0.7043,-5.6569,-5.7314,-500000.00,2865684.49,1.3748
7.00,-0.0000,1.2412,-0.8168,-7.9900,-3.3819,-424996.25,1437313.91,1.3663
7.50,2.8052,0.8275,-0.8199,-8.8857,-0.0369,-4635.95,171.02,1.3390
8.00,5.0548,0.4381,-0.7229,-8.1624,3.0110,378381.62,1139308.89,1.3033
8.50,6.3032,0.1168,-0.5533,-6.0795,5.3058,500000.00,2652900.86,1.2669
9.00,6.3032,-0.1097,-0.3510,-2.9985,6.9039,500000.00,3451957.03,1.2334
9.50,5.0548,-0.2362,-0.1608,0.6638,7.5480,500000.00,3773993.00,1.2033
10.00,2.8052,-0.2792,-0.0226,4.3207,6.8356,500000.00,3417789.46,1.1759
10.50,0.0000,-0.2723,0.0357,7.2478,4.6331,500000.00,2316551.85,1.1503
11.00,-2.8052,-0.2587,0.0043,8.7336,1.1285,141813.72,160036.08,1.1263
11.50,-5.0548,-0.2814,-0.1067,8.4576,-2.3245,-292112.27,679017.59,1.1041
12.00,-6.3032,-0.3742,-0.2697,6.6372,-4.9481,-500000.00,2474048.91,1.0844
12.50,-6.3032,-0.5532,-0.4449,3.7010,-6.6862,-500000.00,3343103.69,1.0688
13.00,-5.0548,-0.8137,-0.5883,0.1093,-7.4842,-500000.00,3742116.93,1.0605
13.50,-2.8052,-1.1297,-0.6613,-3.5542,-6.9244,-500000.00,3462180.12,1.0630
14.00,-0.0000,-1.4588,-0.6377,-6.5608,-4.8585,-500000.00,2429252.28,1.0791
14.50,2.8052,-1.7498,-0.5098,-8.1878,-1.4623,-183766.08,268727.51,1.1080
15.00,5.0548,-1.9531,-0.2902,-8.0727,2.0200,253846.98,512773.34,1.1451
15.50,6.3032,-2.0298,-0.0094,-6.3935,4.6917,500000.00,2345867.43,1.1828
16.00,6.3032,-1.9594,0.2900,-3.5920,6.4083,500000.00,3204165.71,1.2136
16.50,5.0548,-1.7445,0.5610,-0.1388,7.2124,500000.00,3606211.20,1.2325
17.00,2.8052,-1.4102,0.7615,3.3957,6.6843,500000.00,3342133.51,1.2379
17.50,0.0000,-0.9998,0.8623,6.2947,4.6715,500000.00,2335752.11,1.2319
18.00,-2.8052,-0.5665,0.8526,7.8448,1.3437,168856.56,226891.01,1.2187
18.50,-5.0548,-0.1641,0.7421,7.6984,-2.0265,-254668.13,516096.17,1.2029
19.00,-6.3032,0.1633,0.5585,6.0346,-4.6248,-500000.00,2312396.43,1.1877
19.50,-6.3032,0.3889,0.3423,3.2825,-6.2799,-500000.00,3139928.18,1.1743
20.00,-5.0548,0.5077,0.1383,-0.0942,-7.0377,-500000.00,3518840.10,1.1626
