time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,-0.00,-0.00,0.0000
0.50,2.8052,0.0075,0.0443,0.0830,0.4876,10000.00,4875.68,0.0053
1.00,5.0548,0.0575,0.1669,0.6172,1.7515,10000.00,17514.72,0.0335
1.50,6.3032,0.1829,0.3400,1.8980,3.3882,10000.00,33881.58,0.0959
2.00,6.3032,0.3992,0.5234,3.9738,4.8350,10000.00,48350.20,0.1981
2.50,5.0548,0.7007,0.6732,6.6068,5.5327,-10000.00,-55327.31,0.3384
3.00,2.8052,1.0602,0.7502,9.3218,5.1117,-10000.00,-51117.10,0.5087
3.50,0.0000,1.4343,0.7285,11.4921,3.3510,-10000.00,-33509.87,0.6954
4.00,-2.8052,1.7708,0.6003,12.4695,0.3890,-10000.00,-3889.91,0.8822
4.50,-5.0548,2.0188,0.3781,11.7516,-3.3363,-10000.00,33363.46,1.0526
5.00,-6.3032,2.1383,0.0924,9.1153,-7.1631,-10000.00,71631.32,1.1929
5.50,-6.3032,2.1078,-0.2138,4.6986,-10.3329,-10000.00,103329.04,1.2941
6.00,-5.0548,1.9289,-0.4935,-0.9891,-12.1446,-10000.00,121446.34,1.3535
6.50,-2.8052,1.6259,-0.7043,-7.1340,-12.1041,10000.00,-121041.11,1.3748
7.00,-0.0000,1.2412,-0.8168,-12.7638,-10.0857,10000.00,-100857.45,1.3663
7.50,2.8052,0.8275,-0.8199,-16.9105,-6.2357,10000.00,-62357.12,1.3390
8.00,5.0548,0.4381,-0.7229,-18.7834,-1.1075,10000.00,-11074.64,1.3033
8.50,6.3032,0.1168,-0.5533,-17.9403,4.4781,10000.00,44780.65,1.2669
9.00,6.3032,-0.1097,-0.3510,-14.3868,9.5772,10000.00,95771.58,1.2334
9.50,5.0548,-0.2362,-0.1608,-8.5953,13.2963,10000.00,132962.78,1.2033
10.00,2.8052,-0.2792,-0.0226,-1.4367,14.9602,10000.00,149601.87,1.1759
10.50,0.0000,-0.2723,0.0357,5.9634,14.2425,-10000.00,-142425.04,1.1503
11.00,-2.8052,-0.2587,0.0043,12.4314,11.2809,-10000.00,-112808.57,1.1263
11.50,-5.0548,-0.2814,-0.1067,16.9400,6.5160,-10000.00,-65160.21,1.1041
12.00,-6.3032,-0.3742,-0.2697,18.7800,0.7598,-10000.00,-7598.35,1.0844
12.50,-6.3032,-0.5532,-0.4449,17.6986,-5.0016,-10000.00,50016.47,1.0688
13.00,-5.0548,-0.8137,-0.5883,13.9426,-9.7877,-10000.00,97876.74,1.0605
13.50,-2.8052,-1.1297,-0.6613,8.2097,-12.8014,-10000.00,128014.24,1.0630
14.00,-0.0000,-1.4588,-0.6377,1.5190,-13.5739,10000.00,-135738.54,1.0791
14.50,2.8052,-1.7498,-0.5098,-4.9884,-12.0935,10000.00,-120934.90,1.1080
15.00,5.0548,-1.9531,-0.2902,-10.2450,-8.6601,10000.00,-86601.24,1.1451
15.50,6.3032,-2.0298,-0.0094,-13.4357,-3.9658,10000.00,-39657.85,1.1828
16.00,6.3032,-1.9594,0.2900,-14.1495,1.0917,10000.00,10916.96,1.2136
16.50,5.0548,-1.7445,0.5610,-12.4398,5.5813,10000.00,55813.30,1.2325
17.00,2.8052,-1.4102,0.7615,-8.7969,8.7147,10000.00,87147.14,1.2379
17.50,0.0000,-0.9998,0.8623,-4.0384,9.9911,10000.00,99910.96,1.2319
18.00,-2.8052,-0.5665,0.8526,0.8595,9.2842,-10000.00,-92841.83,1.2187
18.50,-5.0548,-0.1641,0.7421,4.9673,6.9027,-10000.00,-69027.19,1.2029
19.00,-6.3032,0.1633,0.5585,7.5690,3.3768,-10000.00,-33767.66,1.1877
19.50,-6.3032,0.3889,0.3423,8.2826,-0.5131,-10000.00,5130.73,1.1743
20.00,-5.0548,0.5077,0.1383,7.1328,-3.9472,-10000.00,39472.43,1.1626
20.50,-2.8052,0.5361,-0.0129,4.5293,-6.2326,-10000.00,62326.35,1.1517
21.00,-0.0000,0.5083,-0.0834,1.1668,-6.9393,3339.60,-23174.60,1.1408
21.50,2.8052,0.4681,-0.0629,-2.1372,-6.0139,10000.00,-60138.65,1.1300
22.00,5.0548,0.4591,0.0388,-4.6147,-3.7047,10000.00,-37047.19,1.1195
22.50,6.3032,0.5159,0.1941,-5.6994,-0.5529,10000.00,-5528.65,1.1099
23.00,6.3032,0.6556,0.3635,-5.1484,2.7115,10000.00,27115.23,1.1021
23.50,5.0548,0.8744,0.5033,-3.0949,5.3409,10000.00,53408.58,1.0979
24.00,2.8052,1.1474,0.5747,-0.0172,6.7276,10000.00,67276.17,1.0989
24.50,0.0000,1.4333,0.5518,3.3656,6.5323,-10000.00,-65322.51,1.1066
25.00,-2.8052,1.6820,0.4267,6.2601,4.8035,-10000.00,-48035.37,1.1207
25.50,-5.0548,1.8449,0.2119,7.9587,1.8299,-10000.00,-18298.92,1.1390
26.00,-6.3032,1.8839,-0.0622,7.9831,-1.7751,-10000.00,17750.70,1.1575
26.50,-6.3032,1.7798,-0.3531,6.2054,-5.2482,-10000.00,52482.26,1.1720
27.00,-5.0548,1.5358,-0.6141,2.8843,-7.8340,-10000.00,78339.73,1.1796
27.50,-2.8052,1.1778,-0.8033,-1.3792,-8.9413,-6168.77,55156.53,1.1796
28.00,-0.0000,0.7495,-0.8918,-5.7590,-8.2779,10000.00,-82778.98,1.1734
28.50,2.8052,0.3046,-0.8692,-9.3757,-5.9282,10000.00,-59281.70,1.1639
29.00,5.0548,-0.1027,-0.7454,-11.4637,-2.2564,10000.00,-22564.26,1.1541
29.50,6.3032,-0.4285,-0.5485,-11.5240,2.0533,10000.00,20533.13,1.1458
30.00,6.3032,-0.6458,-0.3192,-9.4425,6.1703,10000.00,61703.15,1.1394
30.50,5.0548,-0.7499,-0.1029,-5.5232,9.2805,10000.00,92804.82,1.1341
31.00,2.8052,-0.7577,0.0597,-0.4388,10.7485,10000.00,107485.14,1.1292
31.50,0.0000,-0.7040,0.1404,4.8930,10.2466,-10000.00,-102465.90,1.1237
32.00,-2.8052,-0.6329,0.1286,9.4958,7.8717,-10000.00,-78716.64,1.1178
32.50,-5.0548,-0.5893,0.0340,12.5103,3.9904,-10000.00,-39904.08,1.1117
33.00,-6.3032,-0.6083,-0.1162,13.3520,-0.6842,-10000.00,6841.67,1.1059
33.50,-6.3032,-0.7082,-0.2823,11.8392,-5.2789,-10000.00,52789.24,1.1011
34.00,-5.0548,-0.8860,-0.4209,8.2322,-8.9286,-10000.00,89286.49,1.0982
34.50,-2.8052,-1.1179,-0.4932,3.1862,-10.9435,-10000.00,109435.18,1.0985
35.00,-0.0000,-1.3637,-0.4731,-2.3714,-10.9431,10000.00,-109431.48,1.1027
35.50,2.8052,-1.5742,-0.3529,-7.4297,-8.9788,10000.00,-89788.18,1.1106
36.00,5.0548,-1.7017,-0.1447,-11.0748,-5.3824,10000.00,-53824.39,1.1208
36.50,6.3032,-1.7092,0.1211,-12.6533,-0.8460,10000.00,-8459.53,1.1308
37.00,6.3032,-1.5780,0.4023,-11.9081,3.7635,10000.00,37635.28,1.1379
37.50,5.0548,-1.3121,0.6524,-9.0247,7.5719,10000.00,75719.31,1.1404
38.00,2.8052,-0.9378,0.8298,-4.5913,9.8673,10000.00,98672.64,1.1380
38.50,0.0000,-0.4993,0.9060,0.5177,10.2364,-10000.00,-102364.29,1.1321
39.00,-2.8052,-0.0506,0.8707,5.3261,8.6911,-10000.00,-86910.85,1.1249
39.50,-5.0548,0.3544,0.7342,8.9344,5.5207,-10000.00,-55207.29,1.1186
40.00,-6.3032,0.6714,0.5250,10.6823,1.3763,-10000.00,-13762.90,1.1142
40.50,-6.3032,0.8741,0.2841,10.2864,-2.9109,-10000.00,29108.92,1.1115
41.00,-5.0548,0.9579,0.0571,7.8900,-6.4941,-10000.00,64941.13,1.1098
41.50,-2.8052,0.9404,-0.1151,4.0283,-8.6781,-10000.00,86781.42,1.1079
42.00,-0.0000,0.8568,-0.2038,-0.4832,-9.0550,10000.00,-90549.55,1.1053
42.50,2.8052,0.7523,-0.1986,-4.7266,-7.6297,10000.00,-76296.80,1.1019
43.00,5.0548,0.6725,-0.1087,-7.8546,-4.6749,10000.00,-46748.68,1.0979
43.50,6.3032,0.6533,0.0386,-9.2487,-0.8162,10000.00,-8162.16,1.0939
44.00,6.3032,0.7141,0.2039,-8.6532,3.1456,10000.00,31456.46,1.0903
44.50,5.0548,0.8530,0.3436,-6.2228,6.3970,10000.00,63969.99,1.0880
45.00,2.8052,1.0469,0.4189,-2.4879,8.2746,10000.00,82746.15,1.0875
45.50,-0.0000,1.2566,0.4036,1.7559,8.3985,-10000.00,-83984.81,1.0895
46.00,-2.8052,1.4340,0.2899,5.6231,6.7953,-10000.00,-67952.65,1.0938
46.50,-5.0548,1.5320,0.0898,8.3077,3.7509,-10000.00,-37508.51,1.0994
47.00,-6.3032,1.5143,-0.1667,9.2368,-0.1048,-10000.00,1048.20,1.1045
47.50,-6.3032,1.3629,-0.4374,8.2000,-3.9759,-10000.00,39759.16,1.1075
48.00,-5.0548,1.0822,-0.6762,5.3932,-7.0617,-10000.00,70616.64,1.1073
48.50,-2.8052,0.6990,-0.8417,1.3794,-8.7183,-10000.00,87182.97,1.1039
49.00,-0.0000,0.2575,-0.9058,-3.0239,-8.5896,10000.00,-85895.97,1.0986
49.50,2.8052,-0.1881,-0.8586,-6.9218,-6.7279,10000.00,-67278.86,1.0933
50.00,5.0548,-0.5841,-0.7105,-9.5115,-3.4440,10000.00,-34440.15,1.0894
50.50,6.3032,-0.8864,-0.4902,-10.2355,0.6101,10000.00,6101.43,1.0876
51.00,6.3032,-1.0691,-0.2393,-8.9082,4.6218,10000.00,46218.05,1.0874
51.50,5.0548,-1.1282,-0.0033,-5.7574,7.7796,10000.00,77796.02,1.0878
52.00,2.8052,-1.0819,0.1764,-1.3817,9.4362,10000.00,94362.30,1.0877
52.50,0.0000,-0.9661,0.2711,3.3660,9.2390,-10000.00,-92389.85,1.0867
53.00,-2.8052,-0.8269,0.2701,7.5589,7.2501,-10000.00,-72500.77,1.0845
53.50,-5.0548,-0.7106,0.1826,10.3685,3.7954,-10000.00,-37953.57,1.0817
54.00,-6.3032,-0.6543,0.0359,11.2197,-0.4549,-10000.00,4548.60,1.0785
54.50,-6.3032,-0.6780,-0.1306,9.9196,-4.6678,-10000.00,46678.46,1.0755
55.00,-5.0548,-0.7809,-0.2734,6.6981,-8.0128,-10000.00,80127.53,1.0732
55.50,-2.8052,-0.9408,-0.3534,2.1652,-9.8251,-10000.00,98251.08,1.0721
56.00,-0.0000,-1.1193,-0.3446,-2.8068,-9.7389,10000.00,-97388.72,1.0726
56.50,2.8052,-1.2691,-0.2387,-7.2664,-7.8078,10000.00,-78078.35,1.0744
57.00,5.0548,-1.3437,-0.0477,-10.3576,-4.3549,10000.00,-43549.16,1.0771
57.50,6.3032,-1.3074,0.1987,-11.4778,-0.0530,10000.00,-529.92,1.0793
58.00,6.3032,-1.1427,0.4586,-10.4088,4.2577,10000.00,42576.63,1.0798
58.50,5.0548,-0.8543,0.6861,-7.3605,7.7346,10000.00,77346.37,1.0781
59.00,2.8052,-0.4690,0.8401,-2.9292,9.6992,10000.00,96991.70,1.0744
59.50,-0.0000,-0.0312,0.8928,2.0192,9.7697,-10000.00,-97697.14,1.0699
60.00,-2.8052,0.4052,0.8345,6.5315,7.9849,-10000.00,-79848.67,1.0662
60.50,-5.0548,0.7865,0.6761,9.7430,4.6541,-10000.00,-46541.09,1.0642
61.00,-6.3032,1.0693,0.4464,11.0363,0.4398,-10000.00,-4398.25,1.0642
61.50,-6.3032,1.2279,0.1871,10.1741,-3.8244,-10000.00,38243.94,1.0656
62.00,-5.0548,1.2591,-0.0558,7.3449,-7.2986,-10000.00,72985.60,1.0673
62.50,-2.8052,1.1818,-0.2410,3.1236,-9.3021,-10000.00,93020.54,1.0683
63.00,-0.0000,1.0327,-0.3395,-1.6437,-9.4476,10000.00,-94475.70,1.0680
63.50,2.8052,0.8587,-0.3406,-6.0195,-7.7648,10000.00,-77647.95,1.0665
64.00,5.0548,0.7069,-0.2535,-9.1501,-4.5521,10000.00,-45521.41,1.0642
64.50,6.3032,0.6154,-0.1054,-10.4230,-0.4599,10000.00,-4599.36,1.0615
65.00,6.3032,0.6052,0.0643,-9.6000,3.6901,10000.00,36900.76,1.0587
65.50,5.0548,0.6760,0.2118,-6.8629,7.0684,10000.00,70684.28,1.0564
66.00,2.8052,0.8067,0.2981,-2.7751,9.0027,10000.00,90027.50,1.0547
66.50,0.0000,0.9594,0.2969,1.8317,9.1110,-10000.00,-91110.42,1.0540
67.00,-2.8052,1.0874,0.1998,6.0371,7.4250,-10000.00,-74249.85,1.0543
67.50,-5.0548,1.1450,0.0185,9.0039,4.2417,-10000.00,-42416.51,1.0550
68.00,-6.3032,1.0967,-0.2175,10.1349,0.2070,-10000.00,-2069.79,1.0553
68.50,-6.3032,0.9253,-0.4666,9.2044,-3.8642,-10000.00,38641.57,1.0544
69.00,-5.0548,0.6356,-0.6831,6.4028,-7.1509,-10000.00,71508.60,1.0520
69.50,-2.8052,0.2545,-0.8264,2.2977,-8.9901,-10000.00,89901.32,1.0484
