time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000
0.50,19.8582,0.0133,0.0789,0.1480,0.8686,109158.04,94818.46,0.0094
1.00,37.1812,0.1022,0.2958,1.0411,2.8836,362375.61,1044959.23,0.0595
1.50,49.8405,0.3234,0.5973,2.9864,4.9317,500000.00,2465871.63,0.1697
2.00,56.4383,0.7013,0.9094,5.8423,6.3709,500000.00,3185438.90,0.3484
2.50,56.4873,1.2217,1.1556,9.1651,6.6731,500000.00,3336570.15,0.5915
3.00,50.4157,1.8355,1.2750,12.2258,5.2639,500000.00,2631972.95,0.8838
3.50,39.4089,2.4700,1.2362,14.1223,2.0439,256853.81,524992.92,1.2026
4.00,25.1359,3.0457,1.0430,14.1821,-1.9829,-249180.53,494094.09,1.5219
4.50,9.4267,3.4932,0.7319,12.3407,-5.4251,-500000.00,2712550.24,1.8179
5.00,-6.0227,3.7675,0.3605,8.9450,-8.0549,-500000.00,4027428.96,2.0724
5.50,-19.8582,3.8543,-0.0080,4.4561,-9.6764,-500000.00,4838187.87,2.2748
6.00,-31.1586,3.7688,-0.3215,-0.4633,-9.7132,-500000.00,4856608.51,2.4227
6.50,-39.4089,3.5470,-0.5508,-4.9619,-8.0054,-500000.00,4002692.78,2.5197
7.00,-44.3930,3.2323,-0.6954,-8.2244,-4.8548,-500000.00,2427385.74,2.5733
7.50,-46.0558,2.8617,-0.7804,-9.6872,-0.9405,-118187.85,111154.51,2.5923
8.00,-44.3930,2.4552,-0.8456,-9.4150,1.9549,245668.66,480264.99,2.5844
8.50,-39.4089,2.0126,-0.9311,-8.0871,3.1926,401204.84,1280895.66,2.5560
9.00,-31.1586,1.5162,-1.0628,-6.5087,2.9287,368039.80,1077881.45,2.5120
9.50,-19.8582,0.9417,-1.2419,-5.3220,1.6628,208960.10,347462.69,2.4575
10.00,-6.0227,0.2706,-1.4423,-4.8642,0.1027,12909.85,1326.25,2.3990
10.50,9.4267,-0.4962,-1.6157,-5.1074,-1.0272,-129089.45,132605.92,2.3462
11.00,25.1359,-1.3309,-1.7044,-5.6982,-1.1836,-148740.56,176051.72,2.3114
11.50,39.4089,-2.1778,-1.6572,-6.0861,-0.1536,-19302.09,2964.76,2.3059
12.00,50.4157,-2.9604,-1.4452,-5.7069,1.8839,236740.29,445990.67,2.3356
12.50,56.4873,-3.5959,-1.0724,-4.1715,4.4038,500000.00,2201892.91,2.3964
13.00,56.4383,-4.0123,-0.5781,-1.3754,6.8046,500000.00,3402304.53,2.4751
13.50,49.8405,-4.1649,-0.0302,2.5814,8.8913,500000.00,4445649.06,2.5548
14.00,37.1812,-4.0474,0.4887,7.3058,9.7291,500000.00,4864570.70,2.6205
14.50,19.8582,-3.6943,0.8999,11.9748,8.5779,500000.00,4288942.23,2.6632
