time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000
0.50,19.8582,0.0133,0.0789,0.1480,0.8686,97473.12,84668.53,0.0094
1.00,37.1812,0.1022,0.2958,1.0483,2.9117,283126.51,824368.47,0.0595
1.50,49.8405,0.3234,0.5973,3.0549,5.1458,405438.12,2086303.51,0.1697
2.00,56.4383,0.7013,0.9094,6.0679,6.7782,372668.27,2526014.60,0.3484
2.50,56.4873,1.2217,1.1556,9.6528,7.3040,155678.09,1137070.62,0.5915
3.00,50.4157,1.8355,1.2750,13.2025,6.5676,-217140.83,-1426102.74,0.8838
3.50,39.4089,2.4700,1.2362,16.1145,4.7574,-500000.00,-2378693.31,1.2026
4.00,25.1359,3.0457,1.0430,17.8414,1.9078,-500000.00,-953892.37,1.5219
4.50,9.4267,3.4932,0.7319,17.8430,-1.9998,-500000.00,999879.51,1.8179
5.00,-6.0227,3.7675,0.3605,15.8256,-6.0007,-500000.00,3000365.41,2.0724
5.50,-19.8582,3.8543,-0.0080,11.9908,-9.1227,-500000.00,4561350.98,2.2748
6.00,-31.1586,3.7688,-0.3215,6.9743,-10.6397,-500000.00,5319843.60,2.4227
6.50,-39.4089,3.5470,-0.5508,1.6734,-10.2514,-500000.00,5125686.73,2.5197
7.00,-44.3930,3.2323,-0.6954,-2.9859,-8.1415,-500000.00,4070755.54,2.5733
7.50,-46.0558,2.8617,-0.7804,-6.2774,-4.9035,-120533.80,591031.49,2.5923
8.00,-44.3930,2.4552,-0.8456,-8.0688,-2.2673,352191.61,-798527.76,2.5844
8.50,-39.4089,2.0126,-0.9311,-8.8960,-1.1343,500000.00,-567139.03,2.5560
9.00,-31.1586,1.5162,-1.0628,-9.4145,-1.0661,500000.00,-533065.40,2.5120
9.50,-19.8582,0.9417,-1.2419,-10.0847,-1.7143,500000.00,-857157.69,2.4575
10.00,-6.0227,0.2706,-1.4423,-11.1950,-2.7459,500000.00,-1372974.87,2.3990
10.50,9.4267,-0.4962,-1.6157,-12.7968,-3.5715,500000.00,-1785745.93,2.3462
11.00,25.1359,-1.3309,-1.7044,-14.6214,-3.5360,500000.00,-1767981.17,2.3114
11.50,39.4089,-2.1778,-1.6572,-16.1037,-2.1460,500000.00,-1072977.02,2.3059
12.00,50.4157,-2.9604,-1.4452,-16.5146,0.7346,500000.00,367309.08,2.3356
12.50,56.4873,-3.5959,-1.0724,-15.1708,4.7803,500000.00,2390160.63,2.3964
13.00,56.4383,-4.0123,-0.5781,-11.6647,9.2280,500000.00,4614001.38,2.4751
13.50,49.8405,-4.1649,-0.0302,-6.0501,13.0304,500000.00,6515189.76,2.5548
14.00,37.1812,-4.0474,0.4887,1.0752,15.1051,500000.00,7552547.40,2.6205
14.50,19.8582,-3.6943,0.8999,8.6229,14.6172,500000.00,7308580.30,2.6632
15.00,0.0000,-3.1753,1.1461,15.2012,11.2210,209809.33,2354267.61,2.6813
15.50,-19.8582,-2.5798,1.2050,19.5762,5.8920,-500000.00,-2945991.45,2.6782
16.00,-37.1812,-1.9990,1.0931,21.2149,0.4293,-500000.00,-214656.13,2.6601
16.50,-49.8405,-1.5068,0.8617,19.8716,-5.8220,-500000.00,2910975.48,2.6334
17.00,-56.4383,-1.1453,0.5830,15.4884,-11.5044,-500000.00,5752187.56,2.6028
17.50,-56.4873,-0.9189,0.3328,8.6764,-15.3529,-500000.00,7676460.28,2.5709
18.00,-50.4157,-0.7973,0.1724,0.5934,-16.4884,-500000.00,8244216.27,2.5393
18.50,-39.4089,-0.7258,0.1345,-7.3043,-14.6175,-500000.00,7308727.14,2.5085
19.00,-25.1359,-0.6424,0.2171,-13.5754,-10.0903,-196101.94,1978735.87,2.4782
19.50,-9.4267,-0.4940,0.3869,-17.2831,-4.5348,500000.00,-2267396.80,2.4483
20.00,6.0227,-0.2500,0.5899,-18.4272,-0.0119,500000.00,-5943.73,2.4186
