time,x_ref,z,zdot,x_rel,xrel_dot,F_pto,power,fowt_rms_cumul
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,24271.49,0.00,0.0000
0.50,21.8414,0.0051,0.0306,0.0424,0.2792,-159626.49,-44563.58,0.0036
1.00,41.5448,0.0402,0.1186,0.4919,1.5954,-337219.84,-537989.95,0.0234
1.50,57.1815,0.1315,0.2527,1.8009,3.6619,-458207.35,-1677924.30,0.0688
2.00,67.2209,0.2978,0.4158,4.2181,5.9610,-494701.76,-2948898.92,0.1467
2.50,70.6802,0.5485,0.5866,7.7044,7.8723,-500000.00,-3936149.09,0.2609
3.00,67.2209,0.8818,0.7420,11.9516,8.9507,-499861.28,-4474106.76,0.4116
3.50,57.1815,1.2842,0.8592,16.4675,8.9140,-500000.00,-4457008.43,0.5953
4.00,41.5448,1.7314,0.9185,20.6565,7.6344,-498109.51,-3802748.06,0.8050
4.50,21.8414,2.1905,0.9051,23.8973,5.1418,-500000.00,-2570889.66,1.0311
5.00,0.0000,2.6229,0.8110,25.6299,1.6476,-192650.32,-317417.50,1.2617
5.50,-21.8414,2.9879,0.6359,25.2469,-3.2398,2027.20,-6567.76,1.4843
6.00,-41.5448,3.2466,0.3877,22.2561,-8.6828,215737.76,-1873205.62,1.6866
6.50,-57.1815,3.3659,0.0816,16.5264,-14.0849,419437.43,-5907728.79,1.8576
7.00,-67.2209,3.3221,-0.2610,8.2510,-18.7601,491472.11,-9220072.03,1.9890
7.50,-70.6802,3.1031,-0.6144,-1.9731,-21.7951,500000.00,-10897547.29,2.0763
8.00,-67.2209,2.7105,-0.9507,-13.1747,-22.6209,494969.50,-11196657.24,2.1188
8.50,-57.1815,2.1598,-1.2427,-24.1862,-21.0271,494695.88,-10402040.93,2.1211
9.00,-41.5448,1.4793,-1.4663,-33.8109,-17.1089,486835.77,-8329236.25,2.0923
9.50,-21.8414,0.7081,-1.6028,-40.9565,-11.1876,475187.98,-5316215.09,2.0454
10.00,-0.0000,-0.1070,-1.6405,-44.7530,-3.8223,254504.17,-972782.14,1.9963
10.50,21.8414,-0.9153,-1.5760,-44.5304,4.7474,7030.51,33376.38,1.9601
11.00,41.5448,-1.6667,-1.4144,-39.8938,13.6756,-196229.34,-2683563.24,1.9483
11.50,57.1815,-2.3156,-1.1688,-30.9321,21.8914,-404513.22,-8855351.78,1.9650
12.00,67.2209,-2.8248,-0.8594,-18.2277,28.5088,-483516.17,-13784443.50,2.0064
12.50,70.6802,-3.1685,-0.5112,-2.8520,32.4772,-500000.00,-16238601.84,2.0633
13.00,67.2209,-3.3342,-0.1521,13.7059,33.1902,-498013.24,-16529177.15,2.1239
13.50,57.1815,-3.3235,0.1901,29.7637,30.4875,-480326.21,-14643926.55,2.1782
14.00,41.5448,-3.1512,0.4899,43.6491,24.5694,-484637.14,-11907233.23,2.2189
14.50,21.8414,-2.8442,0.7264,53.8986,16.0627,-453784.13,-7288983.90,2.2425
15.00,0.0000,-2.4378,0.8855,59.3975,5.7265,-254687.30,-1458475.33,2.2491
15.50,-21.8414,-1.9727,0.9605,59.3836,-5.7990,23926.23,-138749.25,2.2410
16.00,-41.5448,-1.4911,0.9530,53.5088,-17.5134,182285.43,-3192441.19,2.2220
16.50,-57.1815,-1.0320,0.8723,42.0594,-27.9053,346346.04,-9664891.26,2.1962
17.00,-67.2209,-0.6283,0.7344,25.9700,-35.9125,500000.00,-17956253.75,2.1672
17.50,-70.6802,-0.3037,0.5599,6.6602,-40.6752,486789.25,-19800265.49,2.1375
