t,v_in,v_ref,v_out,i_L,d,mode,error
0.00000000,10.00000000,15.00000000,0.00000000,0.00000000,0.09151500,1,15.00000000
0.00002000,10.00000000,15.00000000,0.02014505,3.99755793,0.09590710,1,14.97985495
0.00004000,10.00000000,15.00000000,0.08006650,7.98063324,0.10005045,1,14.91993350
0.00006000,10.00000000,15.00000000,0.17896814,11.93517902,0.10393795,1,14.82103186
0.00008000,10.00000000,15.00000000,0.31595794,15.84762254,0.10756331,1,14.68404206
0.00010000,10.00000000,15.00000000,0.49005620,19.70486793,0.11092103,1,14.50994380
0.00012000,10.00000000,15.00000000,0.70020303,23.49429553,0.11400642,1,14.29979697
0.00014000,10.00000000,15.00000000,0.94526507,27.20375866,0.11681553,1,14.05473493
0.00016000,10.00000000,15.00000000,1.22404142,30.82157839,0.11934519,1,13.77595858
0.00018000,10.00000000,15.00000000,1.53526898,34.33653702,0.12159296,1,13.46473102
0.00020000,10.00000000,15.00000000,1.87762693,37.73787073,0.12355712,1,13.12237307
0.00022000,10.00000000,15.00000000,2.24974069,41.01526212,0.12523668,1,12.75025931
0.00024000,10.00000000,15.00000000,2.65018510,44.15883288,0.12663140,1,12.34981490
0.00026000,10.00000000,15.00000000,3.07748711,47.15913736,0.12774173,1,11.92251289
0.00028000,10.00000000,15.00000000,3.53012788,50.00715723,0.12856884,1,11.46987212
0.00030000,10.00000000,15.00000000,4.00654439,52.69429773,0.12911466,1,10.99345561
0.00032000,10.00000000,15.00000000,4.50513057,55.21238590,0.12938181,1,10.49486943
0.00034000,10.00000000,15.00000000,5.02423816,57.55367098,0.12937369,1,9.97576184
0.00036000,10.00000000,15.00000000,5.56217713,59.71082737,0.12909443,1,9.43782287
0.00038000,10.00000000,15.00000000,6.11721597,61.67696036,0.12854892,1,8.88278403
0.00040000,10.00000000,15.00000000,6.68758172,63.44561473,0.12774284,1,8.31241828
0.00042000,10.00000000,15.00000000,7.27146003,65.01078656,0.12668264,1,7.72853997
0.00044000,10.00000000,15.00000000,7.86699510,66.36693811,0.12537557,1,7.13300490
0.00046000,10.00000000,15.00000000,8.47228978,67.50901604,0.12382970,1,6.52771022
0.00048000,10.00000000,15.00000000,9.08540579,68.43247280,0.12205392,1,5.91459421
0.00050000,10.00000000,15.00000000,9.70436422,69.13329123,0.12005795,1,5.29563578
0.00052000,10.00000000,15.00000000,10.32714638,69.60801217,0.11785234,1,4.67285362
0.00054000,10.00000000,15.00000000,10.95169507,69.85376495,0.11544850,1,4.04830493
0.00056000,10.00000000,15.00000000,11.57591636,69.86830043,0.11285866,1,3.42408364
0.00058000,10.00000000,15.00000000,12.19768203,69.65002634,0.11009592,1,2.80231797
0.00060000,10.00000000,15.00000000,12.81483272,69.19804435,0.10717418,1,2.18516728
0.00062000,10.00000000,15.00000000,13.42518172,68.51218857,0.10410818,1,1.57481828
0.00064000,10.00000000,15.00000000,14.02651983,67.59306470,0.10091343,1,0.97348017
0.00066000,10.00000000,15.00000000,14.61662092,66.44208938,0.09760624,1,0.38337908
0.00068000,10.00000000,15.00000000,15.19324861,65.06152878,0.09420363,1,-0.19324861
0.00070000,10.00000000,15.00000000,15.75416385,63.45453581,0.09072332,1,-0.75416385
0.00072000,10.00000000,15.00000000,16.29713358,61.62518497,0.08718366,1,-1.29713358
0.00074000,10.00000000,15.00000000,16.81994042,59.57850396,0.08360358,1,-1.81994042
0.00076000,10.00000000,15.00000000,17.32039334,57.32050105,0.08000251,1,-2.32039334
0.00078000,10.00000000,15.00000000,17.79633932,54.85818720,0.07640033,1,-2.79633932
0.00080000,10.00000000,15.00000000,18.24567591,52.19959202,0.07281723,1,-3.24567591
0.00082000,10.00000000,15.00000000,18.66636466,49.35377239,0.06927366,1,-3.66636466
0.00084000,10.00000000,15.00000000,19.05644519,46.33081307,0.06579020,1,-4.05644519
0.00086000,10.00000000,15.00000000,19.41404984,43.14181807,0.06238747,1,-4.41404984
0.00088000,10.00000000,15.00000000,19.73741879,39.79889230,0.05908596,1,-4.73741879
0.00090000,10.00000000,15.00000000,20.02491526,36.31511263,0.05590598,1,-5.02491526
0.00092000,10.00000000,15.00000000,20.27504082,32.70448790,0.05286747,1,-5.27504082
0.00094000,10.00000000,15.00000000,20.48645040,28.98190756,0.04998987,1,-5.48645040
0.00096000,10.00000000,15.00000000,20.65796682,25.16307869,0.04729203,1,-5.65796682
0.00098000,10.00000000,15.00000000,20.78859461,21.26445160,0.04479202,1,-5.78859461
0.00100000,10.00000000,15.00000000,20.87753276,17.30313419,0.04250704,1,-5.87753276
0.00102000,10.00000000,15.00000000,20.92418629,13.29679568,0.04045327,1,-5.92418629
0.00104000,10.00000000,15.00000000,20.92817627,9.26356054,0.03864575,1,-5.92817627
0.00106000,10.00000000,15.00000000,20.88934805,5.22189350,0.03709826,1,-5.88934805
0.00108000,10.00000000,15.00000000,20.80777764,1.19047713,0.03582322,1,-5.80777764
0.00110000,10.00000000,15.00000000,20.68377581,0.00000000,0.03483162,1,-5.68377581
