t_s,T_out_C,phi_out,n_occ,u_fan_ms,Ta_sp_C,phi_room,phi_measured,omega_room_gkg,phi_in,H_gh,Tp_C,Re,Sh,hm,ref_phi,error_pct
0.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.153387,0.150000,2.499433,0.054543,214.817218,16.663998,8877.921688,51.305789,0.013099,0.450000,30.000000
30.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.154612,0.152155,2.519472,0.054985,214.673130,16.681200,8877.401084,51.304556,0.013099,0.450000,29.784452
60.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.155830,0.153387,2.539408,0.055424,214.529871,16.698302,8876.883566,51.303330,0.013099,0.450000,29.661328
90.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.157042,0.154612,2.559241,0.055860,214.387433,16.715304,8876.369113,51.302111,0.013100,0.450000,29.538848
120.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.158248,0.155830,2.578971,0.056295,214.245813,16.732209,8875.857704,51.300899,0.013100,0.450000,29.417007
150.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.159447,0.157042,2.598600,0.056727,214.105005,16.749015,8875.349319,51.299695,0.013100,0.450000,29.295802
180.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.160640,0.158248,2.618127,0.057157,213.965003,16.765723,8874.843937,51.298497,0.013100,0.450000,29.175231
210.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.161827,0.159447,2.637554,0.057585,213.825803,16.782335,8874.341539,51.297307,0.013101,0.450000,29.055289
240.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.163008,0.160640,2.656881,0.058010,213.687399,16.798851,8873.842103,51.296123,0.013101,0.450000,28.935972
270.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.164183,0.161827,2.676108,0.058433,213.549787,16.815271,8873.345611,51.294947,0.013101,0.450000,28.817279
300.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.165351,0.163008,2.695236,0.058855,213.412961,16.831597,8872.852042,51.293777,0.013101,0.450000,28.699205
330.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.166513,0.164183,2.714265,0.059273,213.276917,16.847828,8872.361378,51.292614,0.013102,0.450000,28.581747
360.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.167670,0.165351,2.733196,0.059690,213.141648,16.863966,8871.873599,51.291458,0.013102,0.450000,28.464901
390.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.168820,0.166513,2.752030,0.060105,213.007151,16.880010,8871.388685,51.290308,0.013102,0.450000,28.348665
420.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.169964,0.167670,2.770766,0.060517,212.873421,16.895962,8870.906618,51.289166,0.013102,0.450000,28.233035
450.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.171103,0.168820,2.789406,0.060927,212.740452,16.911822,8870.427378,51.288029,0.013103,0.450000,28.118008
480.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.172235,0.169964,2.807950,0.061335,212.608241,16.927591,8869.950947,51.286900,0.013103,0.450000,28.003580
510.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.173361,0.171103,2.826399,0.061741,212.476781,16.943270,8869.477307,51.285777,0.013103,0.450000,27.889749
540.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.174482,0.172235,2.844752,0.062145,212.346068,16.958858,8869.006439,51.284661,0.013103,0.450000,27.776511
570.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.175597,0.173361,2.863011,0.062547,212.216099,16.974356,8868.538324,51.283551,0.013103,0.450000,27.663863
600.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.176706,0.174482,2.881176,0.062946,212.086867,16.989766,8868.072945,51.282447,0.013104,0.450000,27.551802
630.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.177809,0.175597,2.899248,0.063344,211.958368,17.005087,8867.610283,51.281350,0.013104,0.450000,27.440324
660.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.178906,0.176706,2.917226,0.063739,211.830598,17.020321,8867.150320,51.280259,0.013104,0.450000,27.329427
690.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.179998,0.177809,2.935112,0.064133,211.703552,17.035467,8866.693039,51.279175,0.013104,0.450000,27.219108
720.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.181084,0.178906,2.952905,0.064524,211.577226,17.050527,8866.238423,51.278097,0.013104,0.450000,27.109363
750.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.182165,0.179998,2.970608,0.064913,211.451615,17.065500,8865.786453,51.277025,0.013105,0.450000,27.000189
780.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.183239,0.181084,2.988219,0.065301,211.326714,17.080388,8865.337113,51.275959,0.013105,0.450000,26.891583
810.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.184309,0.182165,3.005739,0.065686,211.202520,17.095191,8864.890384,51.274899,0.013105,0.450000,26.783542
840.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.185372,0.183239,3.023169,0.066069,211.079027,17.109909,8864.446251,51.273846,0.013105,0.450000,26.676064
870.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.186430,0.184309,3.040510,0.066450,210.956231,17.124544,8864.004696,51.272799,0.013106,0.450000,26.569144
900.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.187483,0.185372,3.057761,0.066830,210.834129,17.139094,8863.565703,51.271757,0.013106,0.450000,26.462781
930.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.188530,0.186430,3.074924,0.067207,210.712715,17.153562,8863.129254,51.270722,0.013106,0.450000,26.356971
960.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.189572,0.187483,3.091998,0.067582,210.591986,17.167948,8862.695333,51.269692,0.013106,0.450000,26.251711
990.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.190608,0.188530,3.108985,0.067956,210.471937,17.182251,8862.263925,51.268669,0.013106,0.450000,26.146998
1020.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.191639,0.189572,3.125884,0.068327,210.352563,17.196474,8861.835011,51.267651,0.013107,0.450000,26.042829
1050.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.192664,0.190608,3.142696,0.068697,210.233862,17.210615,8861.408577,51.266639,0.013107,0.450000,25.939202
1080.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.193685,0.191639,3.159422,0.069064,210.115828,17.224676,8860.984607,51.265633,0.013107,0.450000,25.836114
1110.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.194699,0.192664,3.176062,0.069430,209.998457,17.238658,8860.563083,51.264633,0.013107,0.450000,25.733561
1140.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.195709,0.193685,3.192616,0.069794,209.881746,17.252560,8860.143992,51.263638,0.013107,0.450000,25.631541
1170.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.196714,0.194699,3.209085,0.070156,209.765690,17.266383,8859.727316,51.262650,0.013108,0.450000,25.530051
1200.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.197713,0.195709,3.225470,0.070516,209.650286,17.280127,8859.313041,51.261666,0.013108,0.450000,25.429088
1230.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.198707,0.196714,3.241770,0.070874,209.535528,17.293794,8858.901150,51.260689,0.013108,0.450000,25.328649
1260.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.199695,0.197713,3.257986,0.071230,209.421414,17.307384,8858.491630,51.259717,0.013108,0.450000,25.228732
1290.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.200679,0.198707,3.274120,0.071585,209.307939,17.320897,8858.084463,51.258750,0.013108,0.450000,25.129333
1320.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.201658,0.199695,3.290170,0.071937,209.195100,17.334333,8857.679636,51.257789,0.013109,0.450000,25.030450
1350.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.202631,0.200679,3.306138,0.072288,209.082892,17.347693,8857.277134,51.256834,0.013109,0.450000,24.932081
1380.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.203600,0.201658,3.322024,0.072637,208.971311,17.360978,8856.876940,51.255884,0.013109,0.450000,24.834222
1410.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.204563,0.202631,3.337828,0.072984,208.860355,17.374188,8856.479042,51.254939,0.013109,0.450000,24.736871
1440.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.205522,0.203600,3.353551,0.073330,208.750018,17.387323,8856.083424,51.254000,0.013109,0.450000,24.640025
1470.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.206475,0.204563,3.369193,0.073673,208.640297,17.400385,8855.690071,51.253066,0.013109,0.450000,24.543681
1500.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.207424,0.205522,3.384755,0.074015,208.531189,17.413372,8855.298969,51.252138,0.013110,0.450000,24.447837
1530.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.208367,0.206475,3.400237,0.074355,208.422689,17.426287,8854.910105,51.251214,0.013110,0.450000,24.352490
1560.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.209306,0.207424,3.415640,0.074693,208.314795,17.439129,8854.523463,51.250296,0.013110,0.450000,24.257637
1590.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.210240,0.208367,3.430963,0.075030,208.207501,17.451898,8854.139029,51.249384,0.013110,0.450000,24.163276
1620.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.211169,0.209306,3.446208,0.075365,208.100805,17.464596,8853.756790,51.248476,0.013110,0.450000,24.069404
1650.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.212093,0.210240,3.461375,0.075698,207.994704,17.477223,8853.376732,51.247573,0.013111,0.450000,23.976019
1680.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.213012,0.211169,3.476464,0.076029,207.889192,17.489778,8852.998840,51.246676,0.013111,0.450000,23.883118
1710.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.213927,0.212093,3.491475,0.076359,207.784267,17.502263,8852.623102,51.245784,0.013111,0.450000,23.790698
1740.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.214837,0.213012,3.506409,0.076686,207.679926,17.514679,8852.249503,51.244896,0.013111,0.450000,23.698757
1770.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.215742,0.213927,3.521267,0.077013,207.576164,17.527024,8851.878030,51.244014,0.013111,0.450000,23.607292
1800.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.216643,0.214837,3.536048,0.077337,207.472978,17.539300,8851.508671,51.243137,0.013111,0.450000,23.516301
1830.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.217539,0.215742,3.550754,0.077660,207.370365,17.551508,8851.141410,51.242264,0.013112,0.450000,23.425781
1860.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.218430,0.216643,3.565384,0.077981,207.268322,17.563647,8850.776236,51.241397,0.013112,0.450000,23.335730
1890.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.219316,0.217539,3.579939,0.078301,207.166844,17.575718,8850.413135,51.240535,0.013112,0.450000,23.246145
1920.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.220198,0.218430,3.594419,0.078618,207.065928,17.587722,8850.052094,51.239677,0.013112,0.450000,23.157024
1950.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.221076,0.219316,3.608825,0.078935,206.965571,17.599658,8849.693100,51.238824,0.013112,0.450000,23.068364
1980.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.221949,0.220198,3.623157,0.079249,206.865770,17.611528,8849.336141,51.237976,0.013113,0.450000,22.980164
2010.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.222817,0.221076,3.637416,0.079562,206.766522,17.623332,8848.981203,51.237133,0.013113,0.450000,22.892419
2040.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.223681,0.221949,3.651602,0.079873,206.667822,17.635070,8848.628275,51.236294,0.013113,0.450000,22.805129
2070.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.224540,0.222817,3.665714,0.080183,206.569668,17.646742,8848.277343,51.235461,0.013113,0.450000,22.718290
2100.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.225395,0.223681,3.679755,0.080491,206.472057,17.658349,8847.928395,51.234631,0.013113,0.450000,22.631901
2130.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.226246,0.224540,3.693723,0.080798,206.374984,17.669892,8847.581419,51.233807,0.013113,0.450000,22.545958
2160.000000,-20.000000,0.200000,0.000000,1.000000,40.000000,0.227092,0.225395,3.707620,0.081102,206.278448,17.681370,8847.236402,51.232987,0.013114,0.450000,22.460460
