t_s,T_out_C,phi_out,n_occ,u_fan_ms,Ta_sp_C,phi_room,phi_measured,omega_room_gkg,phi_in,H_gh,Tp_C,Re,Sh,hm,ref_phi,error_pct
0.000000,-10.000000,0.350000,0.000000,2.350000,40.000000,0.204018,0.200000,3.328880,0.072406,320.460435,17.352164,20814.284727,78.574749,0.020095,0.450000,25.000000
30.000000,-10.000000,0.350000,0.000000,2.450000,40.000000,0.206095,0.201985,3.362965,0.073134,326.843227,17.379888,21697.953058,80.226032,0.020519,0.450000,24.801462
60.000000,-10.000000,0.350000,0.000000,2.550000,40.000000,0.208217,0.204018,3.397772,0.073879,333.066967,17.408202,22581.409386,81.843691,0.020934,0.450000,24.598224
90.000000,-10.000000,0.350000,0.000000,2.650000,40.000000,0.210381,0.206095,3.433278,0.074640,339.139877,17.437085,23464.650270,83.429676,0.021342,0.450000,24.390452
120.000000,-10.000000,0.350000,0.000000,2.750000,40.000000,0.212586,0.208217,3.469459,0.075415,345.069428,17.466514,24347.672458,84.985756,0.021741,0.450000,24.178300
150.000000,-10.000000,0.350000,0.000000,2.850000,40.000000,0.214830,0.210381,3.506294,0.076206,350.862436,17.496468,25230.472878,86.513539,0.022134,0.450000,23.961914
180.000000,-10.000000,0.350000,0.000000,2.950000,40.000000,0.217113,0.212586,3.543762,0.077010,356.525142,17.526929,26113.048629,88.014496,0.022519,0.450000,23.741437
210.000000,-10.000000,0.350000,0.000000,3.050000,40.000000,0.219432,0.214830,3.581843,0.077828,362.063281,17.557876,26995.396975,89.489973,0.022899,0.450000,23.517002
240.000000,-10.000000,0.350000,0.000000,3.150000,40.000000,0.221788,0.217113,3.620518,0.078660,367.482136,17.589292,27877.515337,90.941206,0.023272,0.450000,23.288736
270.000000,-10.000000,0.350000,0.000000,3.250000,40.000000,0.224178,0.219432,3.659769,0.079504,372.786591,17.621159,28759.401286,92.369335,0.023639,0.450000,23.056764
300.000000,-10.000000,0.350000,0.000000,3.350000,40.000000,0.226602,0.221788,3.699577,0.080361,377.981174,17.653460,29641.052540,93.775412,0.024001,0.450000,22.821203
330.000000,-10.000000,0.350000,0.000000,3.450000,40.000000,0.229059,0.224178,3.739927,0.081230,383.070090,17.686179,30522.466952,95.160412,0.024357,0.450000,22.582166
360.000000,-10.000000,0.350000,0.000000,3.500000,40.000000,0.231524,0.226602,3.780420,0.082111,385.314770,17.719300,30961.337687,95.843075,0.024534,0.450000,22.339761
390.000000,-10.000000,0.350000,0.000000,3.500000,40.000000,0.233974,0.229059,3.820672,0.082994,384.792307,17.752497,30957.846696,95.838640,0.024535,0.450000,22.094094
420.000000,-10.000000,0.350000,0.000000,3.500000,40.000000,0.236409,0.231524,3.860684,0.083873,384.273548,17.785454,30954.381726,95.834238,0.024536,0.450000,21.847585
450.000000,-10.000000,0.350000,0.000000,3.500000,40.000000,0.238830,0.233974,3.900457,0.084746,383.758462,17.818172,30950.942540,95.829868,0.024537,0.450000,21.602576
480.000000,-10.000000,0.350000,0.000000,3.500000,40.000000,0.241235,0.236409,3.939994,0.085613,383.247018,17.850655,30947.528904,95.825530,0.024538,0.450000,21.359058
510.000000,-10.000000,0.350000,0.000000,3.500000,40.000000,0.243627,0.238830,3.979296,0.086476,382.739184,17.882904,30944.140587,95.821224,0.024539,0.450000,21.117020
540.000000,-10.000000,0.350000,0.000000,3.500000,40.000000,0.246003,0.241235,4.018364,0.087333,382.234930,17.914921,30940.777361,95.816949,0.024539,0.450000,20.876454
570.000000,-10.000000,0.350000,0.000000,3.500000,40.000000,0.248365,0.243627,4.057200,0.088185,381.734227,17.946709,30937.438999,95.812706,0.024540,0.450000,20.637349
